,date,stock_ticker,price,insider_name,relationship,transaction_type,shares,value,shares_total,xml_link
4,2025-02-03,AAPL,226.3501,LEVINSON ARTHUR D,Director,Sale,1516,343146.75,4159576,https://www.sec.gov/Archives/edgar/data/320193/000032019325000019/wk-form4_1738711997.xml
8,2024-12-16,AAPL,248.61,WILLIAMS JEFFREY E,Officer (COO),Sale,13925,3461894.25,476019,https://www.sec.gov/Archives/edgar/data/320193/000032019324000132/wk-form4_1734564614.xml
9,2024-12-16,AAPL,249.5,WILLIAMS JEFFREY E,Officer (COO),Sale,34752,8670624.0,441267,https://www.sec.gov/Archives/edgar/data/320193/000032019324000132/wk-form4_1734564614.xml
10,2024-12-16,AAPL,250.58,WILLIAMS JEFFREY E,Officer (COO),Sale,42939,10759654.62,398328,https://www.sec.gov/Archives/edgar/data/320193/000032019324000132/wk-form4_1734564614.xml
11,2024-12-16,AAPL,251.1,WILLIAMS JEFFREY E,Officer (COO),Sale,8384,2105222.4,389944,https://www.sec.gov/Archives/edgar/data/320193/000032019324000132/wk-form4_1734564614.xml
12,2024-11-15,AAPL,224.68,LEVINSON ARTHUR D,Director,Sale,75000,16851000.0,4284576,https://www.sec.gov/Archives/edgar/data/320193/000032019324000130/wk-form4_1732059096.xml
13,2024-11-18,AAPL,228.66,LEVINSON ARTHUR D,Director,Sale,75000,17149500.0,4209576,https://www.sec.gov/Archives/edgar/data/320193/000032019324000130/wk-form4_1732059096.xml
14,2024-11-19,AAPL,229.28,LEVINSON ARTHUR D,Director,Sale,50000,11464000.0,4159576,https://www.sec.gov/Archives/edgar/data/320193/000032019324000130/wk-form4_1732059096.xml
15,2024-11-18,AAPL,228.87,KONDO CHRIS,Officer (Principal Accounting Officer),Sale,4130,945233.1,15419,https://www.sec.gov/Archives/edgar/data/320193/000032019324000129/wk-form4_1732059042.xml
19,2024-10-04,AAPL,226.52,Maestri Luca,"Officer (Senior Vice President, CFO)",Sale,59305,13433768.6,107788,https://www.sec.gov/Archives/edgar/data/320193/000032019324000114/wk-form4_1728426607.xml
