issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
TGT,,2025-03-12,"Grant, Award, or Other Acquisition",0,1841,0.0,20197
AAPL,,2025-02-01,Exercise or Conversion of Derivative Security,,1516,,8607
BAC,,2024-08-19,Gift,0,3000,0.0,0
BAC,,2024-08-19,Gift,0,3000,0.0,3000
TGT,,2024-03-13,"Grant, Award, or Other Acquisition",0,1148,0.0,17753
AAPL,,2024-02-01,Exercise or Conversion of Derivative Security,,1852,,7091
TGT,,2023-03-08,"Grant, Award, or Other Acquisition",0.0000,1166.0000,0.0,15959.0000
AAPL,,2023-02-01,Exercise or Conversion of Derivative Security,,1685,,5239
TGT,,2022-03-09,"Grant, Award, or Other Acquisition",0.0000,878.0000,0.0,14435.0000
AAPL,,2022-02-01,Exercise or Conversion of Derivative Security,,1986,,3554
TGT,,2021-03-10,"Grant, Award, or Other Acquisition",0.0000,1004.0000,0.0,13408.0000
AAPL,,2021-02-01,Exercise or Conversion of Derivative Security,,281,,1568
TGT,,2020-03-11,"Grant, Award, or Other Acquisition",0.0000,1711.0000,0.0,12175.0000
TGT,,2019-03-13,"Grant, Award, or Other Acquisition",0.0000,2338.0000,0.0,10196.0000
TGT,,2018-03-14,"Grant, Award, or Other Acquisition",0.0000,2538.0000,0.0,7595.0000
TGT,,2017-01-11,"Grant, Award, or Other Acquisition",0.0000,2377.0000,0.0,4803.0000
DIS,,2016-03-31,"Grant, Award, or Other Acquisition",98.34,417.70,41076.62,74668.45
TGT,,2016-03-09,"Grant, Award, or Other Acquisition",0.0000,2364.0000,0.0,2364.0000
DIS,,2016-02-22,Exercise or Conversion of Derivative Security,28.06,6000,168360.0,63890.75
DIS,,2016-02-22,Exercise or Conversion of Derivative Security,16.225,10360,168091.0,74250.75
DIS,,2015-12-31,"Grant, Award, or Other Acquisition",107.59,874.50,94087.46,57890.75
DIS,,2015-09-30,"Grant, Award, or Other Acquisition",101.61,906,92058.66,57016.25
DIS,,2015-06-30,"Grant, Award, or Other Acquisition",113.70,522.80,59442.36,56110.25
DIS,,2015-06-04,Sale,110.70,397,43947.9,55587.45
DIS,,2015-03-31,"Grant, Award, or Other Acquisition",106.81,842.10,89944.7,55984.45
