issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
AAPL,,2024-10-04,Sale,226.52,59305,13433768.6,107788
AAPL,,2024-10-01,Exercise or Conversion of Derivative Security,,127282,,235070
AAPL,,2024-10-01,Tax Withholding (RSU Vesting),226.21,67977,15377077.17,167093
AAPL,,2024-04-11,Sale,173.19,12700,2199513.0,148282
AAPL,,2024-04-11,Sale,174.12,27600,4805712.0,120682
AAPL,,2024-04-11,Sale,175.02,12894,2256707.88,107788
AAPL,,2024-04-01,Exercise or Conversion of Derivative Security,,113309,,221097
AAPL,,2024-04-01,Tax Withholding (RSU Vesting),170.03,60115,10221353.45,160982
AAPL,,2023-10-06,Sale,177.89,32010,5694258.9,139346
AAPL,,2023-10-09,Sale,178.55,19000,3392450.0,120346
AAPL,,2023-10-09,Sale,178.91,12685,2269473.35,107661
AAPL,,2023-10-01,Exercise or Conversion of Derivative Security,,136268,,243929
AAPL,,2023-10-01,Tax Withholding (RSU Vesting),171.21,72573,12425223.33,171356
AAPL,,2023-04-13,Sale,165.25,69996,11566839.0,107661
AAPL,,2023-04-06,Sale,164.92,200,32984.0,177657
AAPL,,2022-12-13,Gift,0,703,0.0,109970
AAPL,,2023-04-01,Exercise or Conversion of Derivative Security,,149684,,259809
AAPL,,2023-04-01,Tax Withholding (RSU Vesting),164.90,79488,13107571.2,180321
AAPL,,2023-04-03,Gift,0,2464,0.0,177857
AAPL,,2022-10-28,Sale,154.70,14274,2208187.8,272698
AAPL,,2022-10-28,Sale,155.63,85147,13251427.61,187551
AAPL,,2022-10-28,Sale,156.46,69678,10901819.88,117873
AAPL,,2022-10-28,Sale,157.20,7200,1131840.0,110673
AAPL,,2022-10-01,Exercise or Conversion of Derivative Security,,365600,,476273
AAPL,,2022-10-01,Tax Withholding (RSU Vesting),138.20,189301,26161398.2,286972
AAPL,,2022-08-17,Sale,174.66,66390,11595677.4,141018
AAPL,,2022-08-17,Sale,175.60,30345,5328582.0,110673
AAPL,,2022-08-17,Sale,174.66,66390,11595677.4,141018
AAPL,,2022-08-17,Sale,175.60,30345,5328582.0,110673
AAPL,,2022-04-01,Exercise or Conversion of Derivative Security,,204932,,315605
AAPL,,2022-04-01,Tax Withholding (RSU Vesting),174.31,108197,18859819.07,207408
AAPL,,2021-10-19,Sale,148.62,165829,24645505.98,110501
AAPL,,2021-10-01,Exercise or Conversion of Derivative Security,,354392,,464893
AAPL,,2021-10-01,Tax Withholding (RSU Vesting),142.65,188563,26898511.95,276330
AAPL,,2021-05-03,Sale,132.58,87612,11615598.96,143961
AAPL,,2021-05-03,Sale,133.34,29760,3968198.4,114201
AAPL,,2021-05-03,Sale,133.93,3700,495541.0,110501
AAPL,,2021-04-01,Exercise or Conversion of Derivative Security,,257348,,367849
AAPL,,2021-04-01,Tax Withholding (RSU Vesting),123,136276,16761948.0,231573
AAPL,,2020-10-09,Sale,116.89,243431,28454649.59,110272
AAPL,,2020-10-01,Exercise or Conversion of Derivative Security,,519080,,629352
AAPL,,2020-10-01,Tax Withholding (RSU Vesting),116.79,275649,32193046.71,353703
AAPL,,2020-04-07,Sale,260.10,3203,833100.3,65427
AAPL,,2020-04-07,Sale,260.97,3185,831189.45,62242
AAPL,,2020-04-07,Sale,262.09,4395,1151885.55,57847
