issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
IOT,Director,2025-03-17,Sale,38.0325,6800,258621.0,389279
IOT,Director,2025-03-17,Sale,39.015,15700,612535.5,373579
CFLT,Director,2025-02-25,Conversion of Security,,34375,,57063
CFLT,Director,2025-02-25,Sale,30.57,34375,1050843.75,22688
ZM,,2025-01-15,Conversion of Security,0,25000,0.0,26514
ZM,,2025-01-15,Sale,80.0971,12511,1002094.82,14003
ZM,,2025-01-15,Sale,80.5589,12489,1006100.1,1514
IOT,Director,2024-12-26,Sale,45.3661,22500,1020737.25,396079
CFLT,Director,2024-12-09,Conversion of Security,,34375,,57063
CFLT,Director,2024-12-09,Sale,32.69,34375,1123718.75,22688
ZM,,2024-10-29,Conversion of Security,0,12500,0.0,14014
ZM,,2024-10-29,Sale,75.0396,12500,937995.0,1514
ZM,,2024-10-14,Conversion of Security,0,12500,0.0,14014
ZM,,2024-10-14,Sale,68.0903,10558,718897.39,3456
ZM,,2024-10-14,Sale,69.0424,840,57995.62,2616
ZM,,2024-10-14,Sale,70.4302,1102,77614.08,1514
IOT,Director,2024-09-16,Sale,45.7475,3446,157645.89,427339
IOT,Director,2024-09-16,Sale,46.6729,6623,309114.62,420716
IOT,Director,2024-09-16,Sale,47.3793,2137,101249.56,418579
IOT,Director,2024-09-04,"Grant, Award, or Other Acquisition",0,1293,0.0,430785
NOW,,2024-07-30,Sale,801,3391,2716191.0,3975
IOT,Director,2024-07-10,"Grant, Award, or Other Acquisition",0,5685,0.0,429492
IOT,Director,2024-06-17,Sale,27.5448,6700,184550.16,429313
IOT,Director,2024-06-17,Sale,28.4001,5506,156370.95,423807
ZM,,2024-06-12,Exercise or Conversion of Derivative Security,0,128,0.0,1514
CFLT,Director,2024-06-12,"Grant, Award, or Other Acquisition",0,7160,0.0,22688
ZM,,2024-06-07,Exercise or Conversion of Derivative Security,0,126,0.0,1386
NOW,,2024-05-23,"Grant, Award, or Other Acquisition",0,428,0.0,7366
IOT,Director,2024-03-18,Sale,36.205,7093,256802.07,441126
IOT,Director,2024-03-18,Sale,36.9527,5113,188939.16,436013
ZM,,2024-03-07,Exercise or Conversion of Derivative Security,0,126,0.0,1260
IOT,,2023-12-18,Sale,34.5185,10024,346013.44,450401
IOT,,2023-12-18,Sale,34.8702,2182,76086.78,448219
ZM,,2023-12-07,Exercise or Conversion of Derivative Security,0,126,0.0,1134
ESTC,,2023-10-02,Exercise or Conversion of Derivative Security,19.87,25000,496750.0,32729
ESTC,,2023-10-02,Sale,81.32,22800,1854096.0,9929
ESTC,,2023-10-02,Sale,82.04,2200,180488.0,7729
IOT,,2023-09-26,Sale,23.3761,12206,285328.68,460425
CFLT,,2023-09-11,Conversion of Security,,16625,,30828
CFLT,,2023-09-11,Sale,33.53,8365,280478.45,22463
CFLT,,2023-09-11,Sale,34.06,8260,281335.6,14203
ZM,,2023-09-07,Exercise or Conversion of Derivative Security,0,126,0.0,1008
ESTC,,2023-09-01,Exercise or Conversion of Derivative Security,19.87,25000,496750.0,32729
ESTC,,2023-09-01,Sale,72.20,1700,122740.0,31029
ESTC,,2023-09-01,Sale,73.09,1650,120598.5,29379
ESTC,,2023-09-01,Sale,74.56,9330,695644.8,20049
ESTC,,2023-09-01,Sale,75.32,11220,845090.4,8829
ESTC,,2023-09-01,Sale,76.04,1100,83644.0,7729
ESTC,,2023-08-01,Exercise or Conversion of Derivative Security,19.87,25000,496750.0,32729
ESTC,,2023-08-01,Sale,65.59,5069,332475.71,27660
ESTC,,2023-08-01,Sale,66.49,19931,1325212.19,7729
ZM,,2023-07-19,Conversion of Security,0,5000,0.0,5882
ZM,,2023-07-19,Sale,75,5000,375000.0,882
ESTC,,2023-07-03,Exercise or Conversion of Derivative Security,19.87,25000,496750.0,32729
ESTC,,2023-07-03,Sale,64.28,11135,715757.8,21594
ESTC,,2023-07-03,Sale,64.80,13865,898452.0,7729
IOT,,2023-06-29,"Grant, Award, or Other Acquisition",0.00,7233,0.0,472631
IOT,,2023-06-16,Sale,28.6251,7917,226624.92,469687
IOT,,2023-06-16,Sale,28.8904,4289,123910.93,465398
CFLT,,2023-06-12,Conversion of Security,,16625,,30828
CFLT,,2023-06-12,Sale,36.12,9041,326560.92,21787
CFLT,,2023-06-12,Sale,36.74,7584,278636.16,14203
ZM,,2023-06-07,Exercise or Conversion of Derivative Security,0,126,0.0,882
CFLT,,2023-06-01,"Grant, Award, or Other Acquisition",0.00,5399,0.0,14203
NOW,,2023-06-01,"Grant, Award, or Other Acquisition",0,598,0.0,6938
CFLT,,2023-05-30,Conversion of Security,,49875,,57563
CFLT,,2023-05-30,Sale,30.03,49875,1497746.25,7688
IOT,,2023-03-16,Sale,18.9907,9154,173840.87,477604
ZM,,2023-03-07,Exercise or Conversion of Derivative Security,0,126,0.0,756
IOT,,2022-12-15,Conversion of Security,0.00,244123,0.0,492861
IOT,,2022-12-16,Sale,12.7454,6103,77785.18,486758
ZM,,2022-12-07,Exercise or Conversion of Derivative Security,0,126,0.0,630
IOT,,2022-11-22,Conversion of Security,0.00,152576,0.0,248738
