issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
IOT,Officer (SEE REMARKS),2025-03-20,Sale,39.7304,10843,430796.73,272422
IOT,Officer (SEE REMARKS),2025-03-20,Sale,40.3477,500,20173.85,271922
IOT,Officer (SEE REMARKS),2025-03-17,Sale,38.0141,9222,350566.03,284618
IOT,Officer (SEE REMARKS),2025-03-17,Sale,39.0079,12696,495244.3,271922
IOT,Officer (SEE REMARKS),2025-03-07,Sale,35.0834,11237,394232.17,350911
IOT,Officer (SEE REMARKS),2025-03-07,Sale,35.8656,14637,524964.79,336274
IOT,Officer (SEE REMARKS),2025-03-07,Sale,36.8515,2032,74882.25,334242
IOT,Officer (SEE REMARKS),2025-03-07,Sale,37.8554,1836,69502.51,332406
IOT,Officer (SEE REMARKS),2025-03-07,Sale,38.7615,1300,50389.95,331106
IOT,Officer (SEE REMARKS),2025-03-10,Sale,33.5065,1773,59407.02,323066
IOT,Officer (SEE REMARKS),2025-03-10,Sale,34.4278,1938,66721.08,321128
IOT,Officer (SEE REMARKS),2025-03-10,Sale,35.62,192,6839.04,320936
IOT,Officer (SEE REMARKS),2025-02-20,Sale,52.5923,2195,115440.1,337954
IOT,Officer (SEE REMARKS),2025-02-20,Sale,53.7709,4228,227343.37,333726
IOT,Officer (SEE REMARKS),2025-02-20,Sale,54.7777,2220,121606.49,331506
IOT,Officer (SEE REMARKS),2025-02-20,Sale,56.78,200,11356.0,331306
IOT,Officer (SEE REMARKS),2025-02-20,Sale,57.58,200,11516.0,331106
IOT,Officer (SEE REMARKS),2025-02-14,Sale,59,13000,767000.0,331106
IOT,Officer (SEE REMARKS),2025-02-03,Sale,49.9662,2415,120668.37,347721
IOT,Officer (SEE REMARKS),2025-02-03,Sale,50.8511,9034,459388.84,338687
IOT,Officer (SEE REMARKS),2025-02-03,Sale,51.4312,7581,389899.93,331106
IOT,Officer (SEE REMARKS),2025-01-21,Sale,47.0228,6343,298265.62,333806
IOT,Officer (SEE REMARKS),2025-01-21,Sale,47.3199,2700,127763.73,331106
IOT,Officer (SEE REMARKS),2025-01-02,Sale,43.6824,24978,1091098.99,331306
IOT,Officer (SEE REMARKS),2025-01-02,Sale,44.30,200,8860.0,331106
IOT,Officer (SEE REMARKS),2024-12-20,Sale,42.7432,3400,145326.88,351666
IOT,Officer (SEE REMARKS),2024-12-20,Sale,43.9456,18636,818970.2,333030
IOT,Officer (SEE REMARKS),2024-12-20,Sale,44.339,1924,85308.24,331106
IOT,Officer (SEE REMARKS),2024-12-16,Sale,45.4478,14847,674763.49,344363
IOT,Officer (SEE REMARKS),2024-12-16,Sale,46.3976,11091,514595.78,333272
IOT,Officer (SEE REMARKS),2024-12-16,Sale,47.1171,2166,102055.64,331106
IOT,Officer (SEE REMARKS),2024-12-18,Gift,0,538,0.0,196010
IOT,Officer (SEE REMARKS),2024-12-10,Sale,45.5184,4810,218943.5,387437
IOT,Officer (SEE REMARKS),2024-12-10,Sale,46.6299,727,33899.94,386710
IOT,Officer (SEE REMARKS),2024-12-10,Sale,47.36,96,4546.56,386614
IOT,Officer (SEE REMARKS),2024-12-11,Gift,0,2733,0.0,169144
IOT,Officer (SEE REMARKS),2024-11-21,Sale,55.0481,12500,688101.25,396784
IOT,Officer (SEE REMARKS),2024-11-15,Sale,49.5431,9207,456143.32,396884
IOT,Officer (SEE REMARKS),2024-11-15,Sale,50.24,100,5024.0,396784
