issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
IOT,Officer (SEE REMARKS),2025-03-17,Sale,37.9994,21461,815505.12,671315
IOT,Officer (SEE REMARKS),2025-03-17,Sale,38.9919,32673,1273982.35,638642
IOT,Officer (SEE REMARKS),2025-03-10,Sale,33.633,6867,230957.81,768935
IOT,Officer (SEE REMARKS),2025-03-10,Sale,34.3385,13934,478472.66,755001
IOT,Officer (SEE REMARKS),2025-02-03,Sale,49.9579,2684,134087.0,773118
IOT,Officer (SEE REMARKS),2025-02-03,Sale,50.8543,9828,499796.06,763290
IOT,Officer (SEE REMARKS),2025-02-03,Sale,51.4327,8289,426325.65,755001
IOT,Officer (SEE REMARKS),2025-01-02,Sale,43.6805,21232,927424.38,755201
IOT,Officer (SEE REMARKS),2025-01-02,Sale,44.175,200,8835.0,755001
IOT,Officer (SEE REMARKS),2024-12-16,Sale,45.4808,36271,1649634.1,783359
IOT,Officer (SEE REMARKS),2024-12-16,Sale,46.4325,23161,1075423.13,760198
IOT,Officer (SEE REMARKS),2024-12-16,Sale,47.1128,5197,244845.22,755001
IOT,Officer (SEE REMARKS),2024-12-09,Sale,50.387,18536,933973.43,884264
IOT,Officer (SEE REMARKS),2024-12-09,Sale,51.1675,1600,81868.0,882664
IOT,Officer (SEE REMARKS),2024-11-01,Sale,46.372,19737,915244.16,883064
IOT,Officer (SEE REMARKS),2024-11-01,Sale,47.4475,400,18979.0,882664
IOT,Officer (SEE REMARKS),2024-10-01,Sale,46.7834,20447,956580.18,882964
IOT,Officer (SEE REMARKS),2024-10-01,Sale,47.4933,300,14247.99,882664
IOT,Officer (SEE REMARKS),2024-09-16,Sale,45.7076,50276,2297995.3,899030
IOT,Officer (SEE REMARKS),2024-09-16,Sale,46.4098,16366,759542.79,882664
IOT,Officer (SEE REMARKS),2024-09-09,Sale,43.6745,2000,87349.0,1028817
IOT,Officer (SEE REMARKS),2024-09-09,Sale,44.7977,4397,196975.49,1024420
IOT,Officer (SEE REMARKS),2024-09-09,Sale,45.9864,14094,648132.32,1010326
IOT,Officer (SEE REMARKS),2024-08-01,Sale,36.5761,15990,584851.84,1014827
