Date,Action,Analyst,Rating Change,Price Target Change
2024-08-02,Reiterated,Monness Crespi & Hardt,Buy,$205 → $245
2024-11-01,Reiterated,Maxim Group,Hold,$203 → $215
2024-12-02,Reiterated,UBS,Neutral,$236
2024-12-26,Reiterated,Wedbush,Outperform,$300 → $325
2025-01-03,Reiterated,Bernstein,Outperform,$240 → $260
2025-01-07,Downgrade,MoffettNathanson,Neutral → Sell,$188
2025-01-21,Downgrade,Jefferies,Hold → Underperform,$211.84 → $200.75
2025-01-21,Downgrade,Loop Capital,Buy → Hold,$230
2025-01-23,Reiterated,Goldman,Buy,$286 → $280
2025-01-24,Reiterated,BofA Securities,Buy,$256 → $253
2025-01-28,Reiterated,TD Cowen,Buy,
2025-01-29,Downgrade,Oppenheimer,Outperform → Perform,
2025-01-31,Reiterated,KeyBanc Capital Markets,Underweight,$200
2025-03-18,Reiterated,Evercore ISI,Outperform,$260 → $275
