issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
AAPL,,2024-11-05,Gift,0.0,8000,0.0,179043
AAPL,,2024-10-01,Exercise or Conversion of Derivative Security,,127282,,314325
AAPL,,2024-10-01,Tax Withholding (RSU Vesting),226.21,66263,14989353.23,248062
AAPL,,2024-10-02,Sale,223.79,5850,1309171.5,242212
AAPL,,2024-10-02,Sale,224.59,6454,1449503.86,235758
AAPL,,2024-10-02,Sale,225.87,7550,1705318.5,228208
AAPL,,2024-10-02,Sale,226.82,38170,8657719.4,190038
AAPL,,2024-10-02,Sale,227.24,2995,680583.8,187043
AAPL,,2024-08-05,Sale,206.42,97600,20146592.0,193943
AAPL,,2024-08-05,Sale,207.05,2400,496920.0,191543
AAPL,,2024-08-07,Gift,0.0,4500,0.0,187043
AAPL,,2024-05-10,Gift,0.0,1850,0.0,291543
AAPL,,2024-04-01,Exercise or Conversion of Derivative Security,,113309,,406702
AAPL,,2024-04-01,Tax Withholding (RSU Vesting),170.03,58577,9959847.31,348125
AAPL,,2024-04-02,Sale,168.9,54732,9244234.8,293393
AAPL,,2023-11-16,Gift,0.0,123448,0.0,293266
AAPL,,2023-11-16,Gift,0.0,123448,0.0,123448
AAPL,,2023-11-17,Sale,188.79,123448,23305747.92,0
AAPL,,2023-10-01,Exercise or Conversion of Derivative Security,,136268,,552982
AAPL,,2023-10-01,Tax Withholding (RSU Vesting),171.21,70732,12110025.72,482250
AAPL,,2023-10-03,Sale,171.62,25850,4436377.0,456400
AAPL,,2023-10-03,Sale,172.23,32886,5663955.78,423514
AAPL,,2023-10-03,Sale,173.24,6800,1178032.0,416714
AAPL,,2023-08-08,Gift,0.0,5600,0.0,416714
AAPL,,2023-05-10,Gift,0.0,2900,0.0,422313
AAPL,,2022-12-09,Gift,0.0,2275,0.0,425059
AAPL,,2023-04-01,Exercise or Conversion of Derivative Security,,149684,,574897
AAPL,,2023-04-01,Tax Withholding (RSU Vesting),164.9,77459,12772989.1,497438
AAPL,,2023-04-03,Sale,164.71,33407,5502466.97,464031
AAPL,,2023-04-03,Sale,165.81,38818,6436412.58,425213
AAPL,,2022-10-01,Exercise or Conversion of Derivative Security,,365600,,792934
AAPL,,2022-10-01,Tax Withholding (RSU Vesting),138.2,184461,25492510.2,608473
AAPL,,2022-10-03,Sale,138.44,5400,747576.0,603073
AAPL,,2022-10-03,Sale,139.15,13199,1836640.85,589874
AAPL,,2022-10-03,Sale,140.34,27669,3883067.46,562205
AAPL,,2022-10-03,Sale,141.19,56271,7944902.49,505934
AAPL,,2022-10-03,Sale,142.45,65350,9309107.5,440584
AAPL,,2022-10-03,Sale,142.93,13250,1893822.5,427334
AAPL,,2022-08-03,Sale,161.46,700,113022.0,451634
AAPL,,2022-08-03,Sale,162.43,2928,475595.04,448706
AAPL,,2022-08-03,Sale,163.69,5073,830399.37,443633
AAPL,,2022-08-03,Sale,164.69,5031,828555.39,438602
AAPL,,2022-08-03,Sale,165.91,5568,923786.88,433034
AAPL,,2022-08-03,Sale,166.28,5700,947796.0,427334
AAPL,,2022-05-04,Sale,159.94,9136,1461211.84,468198
AAPL,,2022-05-04,Sale,160.82,5316,854919.12,462882
AAPL,,2022-05-04,Sale,161.93,4006,648691.58,458876
AAPL,,2022-05-04,Sale,162.77,900,146493.0,457976
AAPL,,2022-05-04,Sale,163.94,1550,254107.0,456426
AAPL,,2022-05-04,Sale,165.06,1800,297108.0,454626
AAPL,,2022-05-04,Sale,165.95,2292,380357.4,452334
AAPL,,2022-04-01,Exercise or Conversion of Derivative Security,,120000,,539715
AAPL,,2022-04-01,Tax Withholding (RSU Vesting),174.31,62381,10873632.11,477334
AAPL,,2021-11-29,Gift,0.0,2000,0.0,445993
AAPL,,2022-02-01,Gift,0.0,1450,0.0,444715
AAPL,,2022-02-03,Sale,173.04,2058,356116.32,442657
AAPL,,2022-02-03,Sale,174.32,6400,1115648.0,436257
AAPL,,2022-02-03,Sale,175.08,14242,2493489.36,422015
AAPL,,2022-02-03,Sale,175.78,2300,404294.0,419715
