issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
AAPL,,2024-10-01,Exercise or Conversion of Derivative Security,,477301.0,,3757481
AAPL,,2024-10-01,Tax Withholding (RSU Vesting),226.21,253315.0,57302386.15,3504166
AAPL,,2024-10-02,Sale,223.75,109741.0,24554548.75,3394425
AAPL,,2024-10-02,Sale,224.46,61912.0,13896767.52,3332513
AAPL,,2024-10-02,Sale,225.86,45140.0,10195320.4,3287373
AAPL,,2024-10-02,Sale,226.57,7193.0,1629718.01,3280180
NKE,,2024-09-10,"Grant, Award, or Other Acquisition",0.0,2437.0,0.0,52861
AAPL,,2024-04-01,Exercise or Conversion of Derivative Security,,196410.0,,3476590
AAPL,,2024-04-01,Sale,170.03,99183.0,16864085.49,3377407
AAPL,,2024-04-02,Sale,168.62,97062.0,16366594.44,3280345
AAPL,,2024-04-02,Sale,169.3,165.0,27934.5,3280180
AAPL,,2023-10-01,Exercise or Conversion of Derivative Security,,511000.0,,3791053
AAPL,,2023-10-01,Tax Withholding (RSU Vesting),171.21,270431.0,46300491.51,3520622
AAPL,,2023-10-03,Sale,171.42,55664.0,9541922.88,3464958
AAPL,,2023-10-03,Sale,172.52,99223.0,17117951.96,3365735
AAPL,,2023-10-03,Sale,173.18,85682.0,14838408.76,3280053
NKE,,2023-09-12,"Grant, Award, or Other Acquisition",0.0,1981.0,0.0,50424
NKE,,2023-08-21,Exercise or Conversion of Derivative Security,34.75,14000.0,486500.0,48443
AAPL,,2023-04-01,Exercise or Conversion of Derivative Security,,111329.0,,3391381
AAPL,,2023-04-01,Tax Withholding (RSU Vesting),164.9,55257.0,9111879.3,3336124
AAPL,,2023-04-03,Sale,164.67,26623.0,4384009.41,3309501
AAPL,,2023-04-03,Sale,165.62,29449.0,4877343.38,3280052
NKE,,2022-09-09,"Grant, Award, or Other Acquisition",0.0,1804.0,0.0,34443
NKE,,2021-10-06,"Grant, Award, or Other Acquisition",0.0,1206.0,0.0,32639
AAPL,,2021-08-24,Exercise or Conversion of Derivative Security,,5040000.0,,8319726
AAPL,,2021-08-24,Tax Withholding (RSU Vesting),149.62,2653560.0,397025647.2,5666166
AAPL,,2021-08-25,Sale,148.3,1820655.0,270003136.5,3845511
AAPL,,2021-08-25,Sale,149.37,475724.0,71058893.88,3369787
AAPL,,2021-08-25,Sale,149.97,90061.0,13506448.17,3279726
AAPL,,2021-08-20,Gift,0.0,70000.0,0.0,3279726
NKE,,2020-11-30,Exercise or Conversion of Derivative Security,22.55,24000.0,541200.0,55433
NKE,,2020-11-30,Sale,133.91,24000.0,3213840.0,31433
NKE,,2020-11-30,Exercise or Conversion of Derivative Security,24.18,28000.0,677040.0,59433
NKE,,2020-11-30,Sale,133.91,28000.0,3749480.0,31433
NKE,,2020-09-17,"Grant, Award, or Other Acquisition",0.0,1624.0,0.0,31433
AAPL,,2020-08-24,Exercise or Conversion of Derivative Security,,560000.0,,1397374
AAPL,,2020-08-24,Tax Withholding (RSU Vesting),503.43,294840.0,148431301.2,1102534
AAPL,,2020-08-25,Sale,493.5,7118.0,3512733.0,1095416
AAPL,,2020-08-25,Sale,494.59,18014.0,8909544.26,1077402
AAPL,,2020-08-25,Sale,495.53,97417.0,48273046.01,979985
AAPL,,2020-08-25,Sale,496.45,30814.0,15297610.3,949171
AAPL,,2020-08-25,Sale,497.54,19650.0,9776661.0,929521
AAPL,,2020-08-25,Sale,498.54,32447.0,16176127.38,897074
AAPL,,2020-08-25,Sale,499.42,58710.0,29320948.2,838364
AAPL,,2020-08-25,Sale,500.11,990.0,495108.9,837374
AAPL,,2020-08-20,Gift,0.0,10715.0,0.0,837374
NKE,,2020-01-02,Exercise or Conversion of Derivative Security,19.5925,7000.0,137147.5,29809
NKE,,2020-01-02,Exercise or Conversion of Derivative Security,19.5925,17000.0,333072.5,46809
NKE,,2020-01-02,Sale,102.13,17000.0,1736210.0,29809
AAPL,,2019-12-27,Gift,0.0,6880.0,0.0,847969
NKE,,2019-09-19,"Grant, Award, or Other Acquisition",0.0,1996.0,0.0,22809
AAPL,,2019-08-24,Exercise or Conversion of Derivative Security,,560000.0,,1414849
AAPL,,2019-08-24,Tax Withholding (RSU Vesting),202.64,294840.0,59746377.6,1120009
AAPL,,2019-08-26,Sale,205.75,129555.0,26655941.25,990454
AAPL,,2019-08-26,Sale,206.55,132113.0,27287940.15,858341
AAPL,,2019-08-26,Sale,207.13,3492.0,723297.96,854849
AAPL,,2019-08-22,Gift,0.0,23700.0,0.0,854849
NKE,,2018-09-20,"Grant, Award, or Other Acquisition",0.0,2050.0,0.0,20813
AAPL,,2018-08-24,Exercise or Conversion of Derivative Security,,560000.0,,1438425
AAPL,,2018-08-24,Tax Withholding (RSU Vesting),216.16,294840.0,63732614.4,1143585
AAPL,,2018-08-27,Sale,216.96,56324.0,12220055.04,1087261
AAPL,,2018-08-27,Sale,217.96,190746.0,41574998.16,896515
AAPL,,2018-08-27,Sale,218.54,18090.0,3953388.6,878425
AAPL,,2018-08-21,Gift,0.0,23215.0,0.0,878425
NKE,,2017-09-21,"Grant, Award, or Other Acquisition",0.0,3103.0,0.0,18763
AAPL,,2017-08-24,Exercise or Conversion of Derivative Security,,560000.0,,1461474
AAPL,,2017-08-24,Tax Withholding (RSU Vesting),159.27,291377.0,46407614.79,1170097
AAPL,,2017-08-25,Sale,159.96,125321.0,20046347.16,1044776
AAPL,,2017-08-25,Sale,160.45,9406.0,1509192.7,1035370
AAPL,,2017-08-28,Sale,160.51,23304.0,3740525.04,1012066
AAPL,,2017-08-28,Sale,161.43,110592.0,17852866.56,901474
AAPL,,2017-02-02,Sale,127.99,8571.0,1097002.29,901474
AAPL,,2017-01-30,Sale,120.93,10000.0,1209300.0,939809
AAPL,,2017-01-31,Sale,121.03,10000.0,1210300.0,930045
AAPL,,2017-02-01,Sale,127.1,15000.0,1906500.0,915045
AAPL,,2017-02-01,Sale,130.0,5000.0,650000.0,910045
AAPL,,2017-01-25,Sale,120.28,10000.0,1202800.0,969809
AAPL,,2017-01-26,Sale,121.7,10000.0,1217000.0,959809
AAPL,,2017-01-27,Sale,122.14,10000.0,1221400.0,949809
AAPL,,2017-01-20,Sale,120.41,10000.0,1204100.0,999809
AAPL,,2017-01-23,Sale,120.0,10000.0,1200000.0,989809
AAPL,,2017-01-24,Sale,120.0,10000.0,1200000.0,979809
AAPL,,2017-01-17,Sale,120.0,10000.0,1200000.0,1029809
AAPL,,2017-01-18,Sale,120.0,10000.0,1200000.0,1019809
AAPL,,2017-01-19,Sale,120.0,10000.0,1200000.0,1009809
NKE,,2016-09-22,"Grant, Award, or Other Acquisition",0.0,2978.0,0.0,15660
AAPL,,2016-08-29,Sale,106.82,106700.0,11397694.0,1202992
AAPL,,2016-08-29,Sale,107.37,3300.0,354321.0,1199692
AAPL,,2016-08-30,Sale,105.95,110000.0,11654500.0,1089692
AAPL,,2016-08-31,Sale,106.19,49883.0,5297075.77,1039809
AAPL,,2016-08-24,Exercise or Conversion of Derivative Security,,1260000.0,,2299809
AAPL,,2016-08-24,Tax Withholding (RSU Vesting),108.03,656117.0,70880319.51,1643692
AAPL,,2016-08-25,Sale,107.21,207807.0,22278988.47,1435885
AAPL,,2016-08-25,Sale,107.73,16193.0,1744471.89,1419692
AAPL,,2016-08-26,Sale,107.07,86300.0,9240141.0,1333392
AAPL,,2016-08-26,Sale,107.69,23700.0,2552253.0,1309692
NKE,,2015-12-29,Exercise or Conversion of Derivative Security,14.65,16000.0,234400.0,28682
NKE,,2015-12-29,Sale,64.0354,16000.0,1024566.4,12682
AAPL,,2015-11-09,Sale,120.81,10000.0,1208100.0,1039598
AAPL,,2015-11-04,Sale,123.07,10000.0,1230700.0,1069598
AAPL,,2015-11-05,Sale,121.94,10000.0,1219400.0,1059598
AAPL,,2015-11-06,Sale,121.23,10000.0,1212300.0,1049598
