issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
AAPL,,2025-02-01,Exercise or Conversion of Derivative Security,,1516,,76005
W,,2024-08-15,"Grant, Award, or Other Acquisition",0.0,6220,0.0,17258
AAPL,,2024-02-01,Exercise or Conversion of Derivative Security,,1852,,74489
W,,2023-08-09,"Grant, Award, or Other Acquisition",0.0,3057,0.0,11038
AAPL,,2023-05-16,Gift,0.0,68642,0.0,0
AAPL,,2023-02-01,Exercise or Conversion of Derivative Security,,1685,,49937
W,,2022-08-10,"Grant, Award, or Other Acquisition",0.0,4193,0.0,7981
AAPL,,2022-02-01,Exercise or Conversion of Derivative Security,,1986,,26102
W,,2021-08-10,"Grant, Award, or Other Acquisition",0.0,896,0.0,3788
AAPL,,2021-02-01,Exercise or Conversion of Derivative Security,,3416,,137608
W,,2020-08-11,"Grant, Award, or Other Acquisition",0.0,335,0.0,2892
W,,2020-08-11,"Grant, Award, or Other Acquisition",0.0,336,0.0,2893
AAPL,,2020-04-28,Exercise or Conversion of Derivative Security,48.9457,9590,469389.26,33548
AAPL,,2020-02-01,Exercise or Conversion of Derivative Security,,1429,,23958
W,,2019-08-06,"Grant, Award, or Other Acquisition",0.0,811,0.0,2557
AAPL,,2019-02-01,Exercise or Conversion of Derivative Security,,1521,,22529
W,,2018-08-07,"Grant, Award, or Other Acquisition",0.0,1746,0.0,1746
AAPL,,2018-02-01,Exercise or Conversion of Derivative Security,,1825,,21008
AAPL,,2017-02-01,Exercise or Conversion of Derivative Security,,2580,,19183
AAPL,,2017-02-02,Exercise or Conversion of Derivative Security,25.72,100000,2572000.0,119183
AAPL,,2017-02-02,Sale,128.05,100000,12805000.0,19183
AAPL,,2016-02-01,Exercise or Conversion of Derivative Security,,2008,,16603
