issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
AAPL,,2025-02-01,Exercise or Conversion of Derivative Security,,1516,,4161092
AAPL,,2025-02-03,Sale,226.3501,1516,343146.75,4159576
AAPL,,2024-11-15,Sale,224.68,75000,16851000.0,4284576
AAPL,,2024-11-18,Sale,228.66,75000,17149500.0,4209576
AAPL,,2024-11-19,Sale,229.28,50000,11464000.0,4159576
AAPL,,2024-05-30,Sale,191.58,75000,14368500.0,4359576
AAPL,,2024-02-29,Sale,180.94,100000,18094000.0,4434576
AAPL,,2024-02-01,Exercise or Conversion of Derivative Security,,1852,,4534576
AAPL,,2023-02-01,Exercise or Conversion of Derivative Security,,1685,,4534409
AAPL,,2023-02-03,Gift,0.0,1685,0.0,4532724
AAPL,,2022-02-01,Exercise or Conversion of Derivative Security,,1986,,4534710
AAPL,,2022-02-01,Sale,173.29,1986,344153.94,4532724
AAPL,,2020-12-02,Gift,0.0,408,0.0,4532724
AAPL,,2021-02-01,Exercise or Conversion of Derivative Security,,3416,,4536140
AAPL,,2021-02-02,Sale,135.6,3416,463209.6,4532724
AAPL,,2020-02-01,Exercise or Conversion of Derivative Security,,1429,,1134712
AAPL,,2020-02-03,Sale,304.11,1429,434573.19,1133283
AAPL,,2019-11-05,Exercise or Conversion of Derivative Security,28.8571,37394,1079082.4,1170677
AAPL,,2019-11-05,Sale,257.79,37394,9639799.26,1133283
AAPL,,2019-08-12,Exercise or Conversion of Derivative Security,23.8257,17500,416949.75,1150783
AAPL,,2019-08-12,Sale,201.69,17500,3529575.0,1133283
AAPL,,2019-08-01,Exercise or Conversion of Derivative Security,23.8257,17500,416949.75,1150783
AAPL,,2019-08-01,Sale,214.02,17500,3745350.0,1133283
AAPL,,2019-05-03,Exercise or Conversion of Derivative Security,23.8257,35000,833899.5,1168283
AAPL,,2019-05-03,Sale,210.86,35000,7380100.0,1133283
AAPL,,2019-02-01,Exercise or Conversion of Derivative Security,,1521,,1134804
AAPL,,2019-02-01,Sale,167.71,1521,255086.91,1133283
AAPL,,2018-08-02,Exercise or Conversion of Derivative Security,25.6171,20000,512342.0,1153283
AAPL,,2018-08-02,Sale,206.58,20000,4131600.0,1133283
AAPL,,2018-08-03,Exercise or Conversion of Derivative Security,25.6171,15000,384256.5,1148283
AAPL,,2018-08-03,Sale,206.96,15000,3104400.0,1133283
AAPL,,2018-05-09,Exercise or Conversion of Derivative Security,25.6171,35000,896598.5,1168283
AAPL,,2018-05-09,Sale,185.99,35000,6509650.0,1133283
AAPL,,2018-02-01,Exercise or Conversion of Derivative Security,,1825,,1135108
AAPL,,2018-02-02,Gift,0.0,1825,0.0,1133283
AAPL,,2017-08-07,Exercise or Conversion of Derivative Security,17.7186,35000,620151.0,1168283
AAPL,,2017-08-07,Sale,157.58,35000,5515300.0,1133283
AAPL,,2017-05-09,Exercise or Conversion of Derivative Security,17.7186,35000,620151.0,1168283
AAPL,,2017-05-09,Sale,153.88,35000,5385800.0,1133283
AAPL,,2017-02-01,Exercise or Conversion of Derivative Security,,2580,,1135863
AAPL,,2017-02-02,Sale,127.99,2580,330214.2,1133283
AAPL,,2016-08-09,Exercise or Conversion of Derivative Security,9.13,70000,639100.0,1203283
AAPL,,2016-08-09,Sale,108.68,70000,7607600.0,1133283
AAPL,,2016-02-01,Exercise or Conversion of Derivative Security,,2008,,1135291
AAPL,,2016-02-02,Sale,95.47,2008,191703.76,1133283
AAPL,,2015-05-28,Exercise or Conversion of Derivative Security,6.59,70000,461300.0,1203283
AAPL,,2015-05-28,Sale,131.47,70000,9202900.0,1133283
AAPL,,2015-02-01,Exercise or Conversion of Derivative Security,,3325,,1133283
AAPL,,2014-12-19,Gift,0.0,8928,0.0,1129958
AAPL,,2014-08-08,Exercise or Conversion of Derivative Security,2.2,70000,154000.0,1208886
AAPL,,2014-08-08,Sale,94.38,48296,4558176.48,1160590
AAPL,,2014-08-08,Sale,94.72,21704,2055802.88,1138886
AAPL,,2014-05-30,Exercise or Conversion of Derivative Security,15.42,10000,154200.0,172698
AAPL,,2014-05-30,Sale,643.0632,10000,6430632.0,162698
AAPL,,2014-02-01,Exercise or Conversion of Derivative Security,,562,,162698
AAPL,,2013-12-17,Gift,0.0,63,0.0,162136
