issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
AAPL,,2024-10-01,Exercise or Conversion of Derivative Security,,127282,,263854
AAPL,,2024-10-01,Tax Withholding (RSU Vesting),226.21,66263,14989353.23,197591
AAPL,,2024-10-02,Sale,226.72,38691,8772023.52,158900
AAPL,,2024-10-02,Sale,227.13,22328,5071358.64,136572
AAPL,,2024-04-01,Exercise or Conversion of Derivative Security,,113309,,249881
AAPL,,2024-04-01,Tax Withholding (RSU Vesting),170.03,58577,9959847.31,191304
AAPL,,2024-04-02,Sale,168.91,54732,9244782.12,136572
AAPL,,2023-10-01,Exercise or Conversion of Derivative Security,,136268,,272713
AAPL,,2023-10-01,Tax Withholding (RSU Vesting),171.21,70732,12110025.72,201981
AAPL,,2023-10-03,Sale,172.08,61610,10601848.8,140371
AAPL,,2023-10-03,Sale,172.65,3926,677823.9,136445
AAPL,,2023-08-05,Exercise or Conversion of Derivative Security,,31896,,168341
AAPL,,2023-08-05,Tax Withholding (RSU Vesting),181.99,16477,2998649.23,151864
AAPL,,2023-08-07,Sale,178.56,15419,2753216.64,136445
AAPL,,2023-04-01,Exercise or Conversion of Derivative Security,,90620,,227064
AAPL,,2023-04-01,Tax Withholding (RSU Vesting),164.9,46998,7749970.2,180066
AAPL,,2023-04-03,Sale,164.73,17664,2909790.72,162402
AAPL,,2023-04-03,Sale,165.87,25958,4305653.46,136444
AAPL,,2022-10-15,Exercise or Conversion of Derivative Security,,16612,,152902
AAPL,,2022-10-15,Tax Withholding (RSU Vesting),138.38,8559,1184394.42,144343
AAPL,,2022-10-17,Sale,142.45,8053,1147149.85,136290
AAPL,,2022-10-01,Exercise or Conversion of Derivative Security,,365600,,501890
AAPL,,2022-10-01,Tax Withholding (RSU Vesting),138.2,189301,26161398.2,312589
AAPL,,2022-10-03,Sale,141.09,42393,5981228.37,270196
AAPL,,2022-10-03,Sale,142.17,66880,9508329.6,203316
AAPL,,2022-10-03,Sale,142.83,67026,9573323.58,136290
AAPL,,2022-08-05,Exercise or Conversion of Derivative Security,,31896,,168186
AAPL,,2022-08-05,Tax Withholding (RSU Vesting),165.35,16530,2733235.5,151656
AAPL,,2022-08-08,Sale,164.86,15366,2533238.76,136290
AAPL,,2022-04-15,Exercise or Conversion of Derivative Security,,16612,,152902
AAPL,,2022-04-15,Tax Withholding (RSU Vesting),165.29,8612,1423477.48,144290
AAPL,,2022-04-18,Sale,164.54,4569,751783.26,139721
AAPL,,2022-04-18,Sale,165.41,3431,567521.71,136290
AAPL,,2022-04-01,Exercise or Conversion of Derivative Security,,60936,,197226
AAPL,,2022-04-01,Tax Withholding (RSU Vesting),174.31,31738,5532250.78,165488
AAPL,,2022-04-04,Sale,177.49,17497,3105542.53,147991
AAPL,,2022-04-04,Sale,178.18,11701,2084884.18,136290
AAPL,,2021-10-15,Exercise or Conversion of Derivative Security,,38904,,175022
AAPL,,2021-10-15,Tax Withholding (RSU Vesting),144.84,20657,2991959.88,154365
AAPL,,2021-10-18,Sale,146.32,17108,2503242.56,137257
AAPL,,2021-10-18,Sale,146.75,1139,167148.25,136118
AAPL,,2021-10-01,Exercise or Conversion of Derivative Security,,191376,,327494
AAPL,,2021-10-01,Tax Withholding (RSU Vesting),142.65,101939,14541598.35,225555
AAPL,,2021-10-04,Sale,138.83,89437,12416538.71,136118
AAPL,,2021-08-05,Exercise or Conversion of Derivative Security,,31896,,168014
AAPL,,2021-08-05,Tax Withholding (RSU Vesting),147.06,17019,2502814.14,150995
AAPL,,2021-08-06,Sale,145.99,14877,2171893.23,136118
AAPL,,2021-04-15,Exercise or Conversion of Derivative Security,,38908,,175026
AAPL,,2021-04-15,Tax Withholding (RSU Vesting),134.5,20692,2783074.0,154334
AAPL,,2021-04-16,Sale,134.01,18216,2441126.16,136118
AAPL,,2020-10-15,Exercise or Conversion of Derivative Security,,66532,,202420
AAPL,,2020-10-15,Tax Withholding (RSU Vesting),120.71,35332,4264925.72,167088
AAPL,,2020-10-16,Sale,119.58,18748,2241885.84,148340
AAPL,,2020-10-16,Sale,120.14,12452,1495983.28,135888
AAPL,,2020-04-15,Exercise or Conversion of Derivative Security,,16634,,50606
AAPL,,2020-04-15,Tax Withholding (RSU Vesting),284.43,7497,2132371.71,43109
AAPL,,2020-04-16,Sale,283.82,2278,646541.96,40831
AAPL,,2020-04-16,Sale,284.52,2851,811166.52,37980
AAPL,,2020-04-16,Sale,285.66,1847,527614.02,36133
AAPL,,2020-04-16,Sale,286.82,2161,619818.02,33972
AAPL,,2019-10-15,Exercise or Conversion of Derivative Security,,23967,,57819
AAPL,,2019-10-15,Tax Withholding (RSU Vesting),235.32,11508,2708062.56,46311
AAPL,,2019-10-16,Sale,234.04,12459,2915904.36,33852
AAPL,,2019-04-15,Exercise or Conversion of Derivative Security,,23970,,44633
AAPL,,2019-04-15,Tax Withholding (RSU Vesting),199.23,10781,2147898.63,33852
