issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
AAPL,,2024-12-16,Sale,248.61,13925,3461894.25,476019
AAPL,,2024-12-16,Sale,249.5,34752,8670624.0,441267
AAPL,,2024-12-16,Sale,250.58,42939,10759654.62,398328
AAPL,,2024-12-16,Sale,251.1,8384,2105222.4,389944
AAPL,,2024-10-01,Exercise or Conversion of Derivative Security,,127282,,617226
AAPL,,2024-10-01,Tax Withholding (RSU Vesting),226.21,67552,15280937.92,549674
AAPL,,2024-10-02,Sale,226.8,51674,11719663.2,498000
AAPL,,2024-10-02,Sale,227.22,8056,1830484.32,489944
AAPL,,2024-04-11,Sale,172.22,59162,10188879.64,489944
AAPL,,2024-04-01,Exercise or Conversion of Derivative Security,,113309,,603253
AAPL,,2024-04-01,Tax Withholding (RSU Vesting),170.03,54147,9206614.41,549106
AAPL,,2023-10-06,Sale,177.0,69785,12351945.0,489817
AAPL,,2023-10-01,Exercise or Conversion of Derivative Security,,136268,,626085
AAPL,,2023-10-01,Tax Withholding (RSU Vesting),171.21,66483,11382554.43,559602
AAPL,,2023-04-01,Exercise or Conversion of Derivative Security,,149684,,639500
AAPL,,2023-04-01,Tax Withholding (RSU Vesting),164.9,71867,11850868.3,567633
AAPL,,2023-04-04,Sale,166.11,77430,12861897.3,490203
AAPL,,2023-04-04,Sale,166.62,387,64481.94,489816
AAPL,,2023-03-22,Sale,159.76,187730,29991744.8,489816
AAPL,,2022-10-01,Exercise or Conversion of Derivative Security,,365600,,855262
AAPL,,2022-10-01,Tax Withholding (RSU Vesting),138.2,177870,24581634.0,677392
AAPL,,2022-04-01,Exercise or Conversion of Derivative Security,,204932,,694594
AAPL,,2022-04-01,Tax Withholding (RSU Vesting),174.31,99031,17262093.61,595563
AAPL,,2022-04-04,Sale,177.46,63164,11209083.44,532399
AAPL,,2022-04-04,Sale,178.19,42737,7615306.03,489662
AAPL,,2021-10-01,Exercise or Conversion of Derivative Security,,354392,,843882
AAPL,,2021-10-01,Tax Withholding (RSU Vesting),142.65,188563,26898511.95,655319
AAPL,,2021-10-04,Sale,138.83,165829,23022040.07,489490
AAPL,,2021-04-01,Exercise or Conversion of Derivative Security,,257348,,746838
AAPL,,2021-04-01,Tax Withholding (RSU Vesting),123.0,123481,15188163.0,623357
AAPL,,2021-04-05,Sale,125.74,133867,16832436.58,489490
AAPL,,2020-10-01,Exercise or Conversion of Derivative Security,,519080,,1008340
AAPL,,2020-10-01,Tax Withholding (RSU Vesting),116.79,261737,30568264.23,746603
AAPL,,2020-10-02,Sale,113.52,228957,25991198.64,517646
AAPL,,2020-10-02,Sale,114.19,28386,3241397.34,489260
AAPL,,2020-04-01,Exercise or Conversion of Derivative Security,,85678,,194007
AAPL,,2020-04-01,Tax Withholding (RSU Vesting),240.91,44616,10748440.56,149391
AAPL,,2020-04-02,Sale,238.03,3849,916177.47,145542
AAPL,,2020-04-02,Sale,238.96,3039,726199.44,142503
AAPL,,2020-04-02,Sale,240.2,5266,1264893.2,137237
AAPL,,2020-04-02,Sale,241.24,7454,1798202.96,129783
AAPL,,2020-04-02,Sale,242.3,13783,3339620.9,116000
AAPL,,2020-04-02,Sale,243.03,4449,1081240.47,111551
AAPL,,2020-04-02,Sale,244.36,2377,580843.72,109174
AAPL,,2020-04-02,Sale,244.98,845,207008.1,108329
AAPL,,2019-10-01,Exercise or Conversion of Derivative Security,,129308,,237517
