,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Close,High,Low,Open,Volume
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-25,140.9528045654297,144.32071446135882,140.4926532169156,143.8703481635972,7888400
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2024-09-26,139.01431274414062,140.21853138015092,137.68281374515837,137.94714458347127,8046200
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2024-09-27,142.4409637451172,142.7150945751719,139.84649097201478,139.98355638704214,8049200
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2024-09-30,144.18365478515625,144.3892454321885,141.25631108090468,142.3234642766685,7491700
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2024-10-01,146.56272888183594,147.36555128391083,142.40179628032652,143.2829439122875,9489100
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2024-10-02,147.78651428222656,149.0886430571476,146.13192948598095,148.5012113752706,8105400
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2024-10-03,148.0802459716797,148.98096369168576,146.87602732785754,148.1389861583525,6553300
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2024-10-04,147.5809326171875,149.30404274890202,146.99350089962095,149.28445770791404,7892400
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2024-10-07,147.9529571533203,149.5488018487853,147.531975880215,148.32499823300148,5895900
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2024-10-08,145.63262939453125,146.46482182381783,144.6340014671891,146.07319570573813,5892700
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2024-10-09,146.51377868652344,147.21869084025926,144.27177679409323,144.41862726820045,4973500
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2024-10-10,147.46343994140625,148.37395762597953,146.70958764852307,147.52218012640915,4420900
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2024-10-11,148.24667358398438,149.13760620509325,147.10119518784828,147.2284755448664,5051300
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2024-10-14,148.59913635253906,148.71661672494645,147.0326616717286,147.36554762523238,4214700
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2024-10-15,144.63400268554688,146.81727909733422,144.46756718608933,145.68158575384965,6704600
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2024-10-16,145.613037109375,145.90675294856968,145.1039455897129,145.24101098946934,4303700
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2024-10-17,148.03128051757812,148.1585608725034,145.8480190773723,146.13193493950314,6593100
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2024-10-18,147.59072875976562,147.91381473480655,146.2494446619678,147.65926893886987,5208200
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2024-10-21,147.71800231933594,149.28446204669214,147.33617617352309,148.81452562238624,5074000
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2024-10-22,147.7571563720703,148.50122361664293,147.07182931272587,148.08024232983473,4416400
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2024-10-23,147.3263702392578,147.8354767261379,146.16130680726735,147.20888987267355,5248600
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2024-10-24,147.2969970703125,148.27603994208462,146.24942896580086,147.96275399140205,5474300
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2024-10-25,147.6494598388672,148.93200366916898,147.30680378151695,148.21730652308656,6839900
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2024-10-28,147.38511657714844,147.54176703180826,145.05500455487422,145.14311483349178,8892000
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2024-10-29,145.40745544433594,147.26763097557776,144.7710685970097,146.89558989372577,6014700
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2024-10-30,144.94729614257812,146.5137557306601,144.5654700307135,145.95570907747717,5784000
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,2024-10-31,145.701171875,146.4354540516443,144.7906542076763,145.6424167521008,8400900
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2024-11-01,149.8621063232422,152.66215472156065,148.5208073697923,149.28445964915355,11728000
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2024-11-04,150.7432403564453,151.18380668489073,149.42152643209965,151.18380668489073,6130000
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2024-11-05,150.19497680664062,151.42856549846763,149.3529993042481,151.29150008826463,5978900
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2024-11-06,154.41464233398438,155.2859898889322,152.84816776960218,153.80764053631538,12118900
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2024-11-07,153.48455810546875,154.69856172855583,153.12230207750756,154.6300364945149,8143200
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2024-11-08,153.64120483398438,154.27759172259948,152.40761608008424,153.31813380289938,6041500
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,2024-11-11,153.22021484375,154.63003901913524,152.6327831243364,153.84680170625353,7771700
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,2024-11-12,152.0355682373047,154.1698895678719,151.86913273384454,154.00345406441173,5681900
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,2024-11-13,155.39369201660156,155.6874078776799,151.29149982959848,152.79923427826296,8824000
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,2024-11-14,158.40914916992188,158.43851926272114,156.33356799837873,156.49021845264792,10111200
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2024-11-15,158.037109375,158.9769971693325,157.39093745008452,158.13501964447556,9022800
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,2024-11-18,158.9964599609375,159.74813243169626,157.3250119104459,158.7986569759906,6092100
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,2024-11-19,157.8491973876953,158.6700790246905,157.0085158332876,158.22501853352188,4657400
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2024-11-20,159.56021118164062,159.66900508493572,158.02721166844617,158.15579039726768,6391300
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,2024-11-21,159.85691833496094,160.86571803511143,159.52063667684448,160.24263941828897,7945200
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,2024-11-22,160.57891845703125,160.82617596789197,159.3821854642491,159.73823688354454,7005900
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,2024-11-25,158.60084533691406,161.38001711598216,158.076660664277,160.37120232897894,10702400
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,2024-11-26,160.74703979492188,161.15254570450264,159.629431099726,160.52945199423948,7369500
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,2024-11-27,160.33164978027344,162.8734489673758,159.8371347929913,160.97451322718032,7674500
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,2024-11-29,160.15362548828125,160.96463735662317,158.89756821619162,160.47012234170265,5077000
