,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Close,High,Low,Open,Volume
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-25,204.6716461181641,205.64164969649983,203.16713998416765,204.097558052518,2858100
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2024-09-26,204.9190826416016,206.3740954581241,204.4538736402259,205.60204969056613,1598000
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2024-09-27,205.5129852294922,208.7001549436325,205.0180832875848,205.38430589156948,2454300
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2024-09-30,204.6023712158203,206.67105774610872,202.147646664694,205.9781980353912,2624400
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2024-10-01,203.9688873291016,205.87920151671187,202.7415251136739,204.32520221726213,2300300
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2024-10-02,201.8012084960937,203.94908098206497,201.5834504465292,203.47397937538207,1841800
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2024-10-03,200.81141662597656,201.49438372179367,199.5444688639308,200.43528631739125,2047600
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2024-10-04,201.7022247314453,202.9889727404156,199.5840451240172,202.48417822061072,1643500
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2024-10-07,201.2568206787109,202.2466245387725,199.66323585988343,200.14824518846865,1801400
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2024-10-08,204.889404296875,207.54207146045377,201.71212717903336,206.5621752798701,4132400
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2024-10-09,211.5210876464844,211.8477247416029,204.7904181937581,204.90920493038865,5082600
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2024-10-10,211.422103881836,211.4913822961868,208.9673795119993,209.3435097999856,4957600
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2024-10-11,213.7877349853516,214.3618230199596,211.5507686602915,212.9859811952076,3809500
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2024-10-14,215.3813323974609,215.50010403117463,213.06517981758176,214.03519850360647,1850000
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2024-10-15,215.0546875,216.9848019938732,214.27273399786145,215.77724008422777,3948400
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2024-10-16,216.7274627685547,217.37082924499165,214.35192441043145,214.856734051927,2596400
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2024-10-17,217.3114318847656,217.83602670155108,216.12367032040623,216.76703676266533,3135000
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2024-10-18,219.7562713623047,219.80576457913008,215.5001114698781,215.5001114698781,4033700
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2024-10-21,219.24156188964844,220.7064674196515,217.84593477835733,219.7067709267455,3690100
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2024-10-22,220.08290100097656,220.56789524106304,217.519297447226,218.3012509781876,4011500
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2024-10-23,218.0933837890625,220.3501354323241,216.93531505922107,219.2811454271146,6183800
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2024-10-24,206.96798706054688,213.99558519726764,206.77001421182155,212.1842423745276,8700200
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2024-10-25,205.87921142578125,208.2151492364713,204.53307751617663,206.96800175825885,6087900
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2024-10-28,203.9985809326172,206.58196960305497,202.82071192648385,205.9385880341947,6094400
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2024-10-29,203.8798065185547,205.4832991336776,200.95988798513795,202.939495818398,6070800
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2024-10-30,202.11795043945312,204.5231817353745,201.0192675221969,202.36540141087832,5354200
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,2024-10-31,203.5828552246093,204.0480642574618,201.31621097996964,202.5633584342839,4654600
