,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Close,High,Low,Open,Volume
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-25,49.380001068115234,50.06999969482422,49.310001373291016,49.630001068115234,2318300
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2024-09-26,48.540000915527344,49.97999954223633,48.31900024414063,49.97999954223633,2426100
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2024-09-27,47.52000045776367,48.93999862670898,47.48500061035156,48.79999923706055,2632600
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2024-09-30,48.119998931884766,48.68999862670898,47.290000915527344,47.75,4418100
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2024-10-01,46.7400016784668,48.04999923706055,46.380001068115234,48.0099983215332,3152600
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2024-10-02,45.650001525878906,46.38999938964844,45.31999969482422,46.0,3380600
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2024-10-03,45.72999954223633,46.04999923706055,45.310001373291016,45.5,2690500
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2024-10-04,47.59999847412109,47.970001220703125,46.11000061035156,46.43000030517578,2228500
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2024-10-07,47.77999877929688,48.09000015258789,46.84999847412109,47.36000061035156,2153400
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2024-10-08,47.2599983215332,48.68999862670898,47.18999862670898,48.02000045776367,1868800
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2024-10-09,47.93000030517578,48.2599983215332,47.56999969482422,47.7599983215332,1715300
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2024-10-10,50.61000061035156,50.65999984741211,47.25,47.43000030517578,5040100
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2024-10-11,50.5,51.52999877929688,50.40499877929688,50.9900016784668,2466100
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2024-10-14,50.4900016784668,50.88999938964844,49.43999862670898,50.88999938964844,1933300
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2024-10-15,50.27000045776367,51.06999969482422,50.09999847412109,50.43000030517578,1786200
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2024-10-16,49.5,50.20800018310547,48.310001373291016,50.11000061035156,1951900
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2024-10-17,49.16999816894531,50.08399963378906,48.83000183105469,49.88999938964844,1280200
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2024-10-18,50.0,50.65999984741211,49.040000915527344,49.2400016784668,1520000
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2024-10-21,49.13999938964844,50.790000915527344,48.90999984741211,49.68000030517578,1641800
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2024-10-22,46.63999938964844,48.470001220703125,46.459999084472656,48.18999862670898,3528100
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2024-10-23,47.27000045776367,47.290000915527344,46.060001373291016,46.5,2041300
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2024-10-24,48.27000045776367,48.69499969482422,47.77999877929688,48.09000015258789,1577000
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2024-10-25,47.68999862670898,48.79800033569336,47.65999984741211,48.33000183105469,1689200
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2024-10-28,47.59000015258789,48.25,47.459999084472656,48.25,1304700
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2024-10-29,48.58000183105469,48.93000030517578,47.30199813842773,47.650001525878906,1275500
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2024-10-30,49.34999847412109,49.77000045776367,48.369998931884766,48.5099983215332,1821800
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,2024-10-31,47.790000915527344,49.11000061035156,47.66999816894531,48.63999938964844,1901400
