,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Close,High,Low,Open,Volume
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-25,158.05645751953125,160.73337994203746,157.82025318209,160.41844082544915,5420000
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2024-09-26,158.8339385986328,158.9815569234018,157.48564117533073,157.7021580630743,6122000
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2024-09-27,158.84376525878906,160.84161322513452,158.7847179324337,159.43426855658848,7553800
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2024-09-30,159.49331665039062,159.61141130366968,158.1351680691905,159.0110868047527,6010000
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2024-10-01,159.4244384765625,160.17239633438666,158.6272544887175,159.85745722554074,4408000
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2024-10-02,158.61741638183594,159.5523674472498,158.10564784462463,158.9520279181528,4684400
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2024-10-03,157.95803833007812,158.88315323144894,157.68247410632392,158.23360255383233,4791200
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2024-10-04,157.7513427734375,157.95802343031949,156.2652633485749,157.10180717421375,5331100
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2024-10-07,157.00338745117188,158.31232491992176,156.69829958573445,157.71198540443683,4266000
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2024-10-08,157.16085815429688,157.71198656263414,156.43257274778102,156.96402872519397,4766300
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2024-10-09,158.10565185546875,158.6666315192219,156.98370754508588,157.38721765229886,6047200
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2024-10-10,157.96786499023438,158.83393250799853,157.4659476881427,158.80440884417683,4793900
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2024-10-11,158.90283203125,160.08382364264304,158.6469402537474,159.61141498438735,5253500
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2024-10-14,159.04061889648438,159.57205988152677,158.35169333685272,158.84377444109046,5964000
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2024-10-15,161.5010223388672,164.10904615090783,156.4817891333994,157.46595132920692,10548000
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2024-10-16,161.67816162109375,162.37692337596144,160.0641362476562,161.4025974122476,5982100
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2024-10-17,161.8651580810547,162.38676284518755,161.03846543795242,161.65847741171743,4798000
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2024-10-18,162.50485229492188,162.67215806134502,161.333696912837,162.2784992011874,5908000
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2024-10-21,160.25112915039062,162.63279981767795,159.73936061334084,162.48518149791505,6082700
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2024-10-22,160.86131286621094,161.13687708817233,159.3358584122023,159.74921976226818,5680300
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2024-10-23,163.23313903808594,163.37092114197858,159.8476187514402,160.24129263193566,7441600
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2024-10-24,161.07781982421875,162.88867460461677,160.75304450755124,162.38675730637948,5386300
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2024-10-25,158.33201599121094,161.32386240459067,158.0662879983748,161.08765807572263,6400400
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2024-10-28,159.04061889648438,159.40475410814076,158.4501155645497,158.578061457131,4842500
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2024-10-29,157.5545196533203,159.60157878797207,157.52499598931615,158.90283205037647,5216900
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2024-10-30,158.06629943847656,158.7256863433597,156.51132128274685,156.92466762533968,5820500
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,2024-10-31,157.3281707763672,158.32216919778585,156.93451190100544,157.45611666856533,8613900
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2024-11-01,157.59390258789062,158.5091662529469,157.34786203055845,158.0367725876638,5256400
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2024-11-04,155.73382568359375,157.74150988347853,155.56651991836358,157.17069402833414,4644000
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2024-11-05,155.8420867919922,156.0782761036001,153.87376243726985,155.17284870248258,6547100
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2024-11-06,155.37953186035156,158.3024947753835,154.85792709935075,157.36752867819027,8926600
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2024-11-07,154.24774169921875,156.23575360340797,154.03122480781576,155.9601893810994,7522800
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2024-11-08,153.0076904296875,154.592192089468,152.94864310351673,154.51345731553275,8926100
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,2024-11-11,152.58448791503906,155.08426810021658,152.45655705155357,153.15530374459044,7146800
