date,stock_ticker,issuerTradingSymbol,price,insider_name,insider_cik,relationship,transaction_type,shares,value,shares_total,xml_link
2025-02-01,AAPL,AAPL,,WAGNER SUSAN,1059235,,Exercise or Conversion of Derivative Security,1516,,62491,https://www.sec.gov/Archives/edgar/data/320193/000032019325000022/wk-form4_1738712153.xml
2025-02-01,AAPL,AAPL,,SUGAR RONALD D,1216519,,Exercise or Conversion of Derivative Security,1516,,109311,https://www.sec.gov/Archives/edgar/data/320193/000032019325000021/wk-form4_1738712099.xml
2025-02-01,AAPL,AAPL,,LOZANO MONICA C,1179864,,Exercise or Conversion of Derivative Security,1516,,8607,https://www.sec.gov/Archives/edgar/data/320193/000032019325000020/wk-form4_1738712037.xml
2025-02-01,AAPL,AAPL,,LEVINSON ARTHUR D,1214128,,Exercise or Conversion of Derivative Security,1516,,4161092,https://www.sec.gov/Archives/edgar/data/320193/000032019325000019/wk-form4_1738711997.xml
2025-02-03,AAPL,AAPL,226.3501,LEVINSON ARTHUR D,1214128,,Sale,1516,343146.75,4159576,https://www.sec.gov/Archives/edgar/data/320193/000032019325000019/wk-form4_1738711997.xml
2025-02-01,AAPL,AAPL,,JUNG ANDREA,1051401,,Exercise or Conversion of Derivative Security,1516,,76005,https://www.sec.gov/Archives/edgar/data/320193/000032019325000018/wk-form4_1738711956.xml
2025-02-01,AAPL,AAPL,,Gorsky Alex,1453149,,Exercise or Conversion of Derivative Security,1516,,5539,https://www.sec.gov/Archives/edgar/data/320193/000032019325000017/wk-form4_1738711922.xml
2025-02-01,AAPL,AAPL,,Austin Wanda M,1690882,,Exercise or Conversion of Derivative Security,1516,,1588,https://www.sec.gov/Archives/edgar/data/320193/000032019325000016/wk-form4_1738711872.xml
2024-12-16,AAPL,AAPL,248.61,WILLIAMS JEFFREY E,1496686,,Sale,13925,3461894.25,476019,https://www.sec.gov/Archives/edgar/data/320193/000032019324000132/wk-form4_1734564614.xml
2024-12-16,AAPL,AAPL,249.5,WILLIAMS JEFFREY E,1496686,,Sale,34752,8670624.0,441267,https://www.sec.gov/Archives/edgar/data/320193/000032019324000132/wk-form4_1734564614.xml
2024-12-16,AAPL,AAPL,250.58,WILLIAMS JEFFREY E,1496686,,Sale,42939,10759654.62,398328,https://www.sec.gov/Archives/edgar/data/320193/000032019324000132/wk-form4_1734564614.xml
2024-12-16,AAPL,AAPL,251.1,WILLIAMS JEFFREY E,1496686,,Sale,8384,2105222.4,389944,https://www.sec.gov/Archives/edgar/data/320193/000032019324000132/wk-form4_1734564614.xml
2024-11-15,AAPL,AAPL,224.68,LEVINSON ARTHUR D,1214128,,Sale,75000,16851000.0,4284576,https://www.sec.gov/Archives/edgar/data/320193/000032019324000130/wk-form4_1732059096.xml
2024-11-18,AAPL,AAPL,228.66,LEVINSON ARTHUR D,1214128,,Sale,75000,17149500.0,4209576,https://www.sec.gov/Archives/edgar/data/320193/000032019324000130/wk-form4_1732059096.xml
2024-11-19,AAPL,AAPL,229.28,LEVINSON ARTHUR D,1214128,,Sale,50000,11464000.0,4159576,https://www.sec.gov/Archives/edgar/data/320193/000032019324000130/wk-form4_1732059096.xml
2024-11-18,AAPL,AAPL,228.87,KONDO CHRIS,1631982,,Sale,4130,945233.1,15419,https://www.sec.gov/Archives/edgar/data/320193/000032019324000129/wk-form4_1732059042.xml
2024-10-15,AAPL,AAPL,,KONDO CHRIS,1631982,,Exercise or Conversion of Derivative Security,8115,,23534,https://www.sec.gov/Archives/edgar/data/320193/000032019324000116/wk-form4_1729204211.xml
2024-10-15,AAPL,AAPL,233.85,KONDO CHRIS,1631982,,Tax Withholding (RSU Vesting),3985,931892.25,19549,https://www.sec.gov/Archives/edgar/data/320193/000032019324000116/wk-form4_1729204211.xml
2024-10-04,AAPL,AAPL,226.52,Maestri Luca,1513362,,Sale,59305,13433768.6,107788,https://www.sec.gov/Archives/edgar/data/320193/000032019324000114/wk-form4_1728426607.xml
2024-10-01,AAPL,AAPL,,WILLIAMS JEFFREY E,1496686,,Exercise or Conversion of Derivative Security,127282,,617226,https://www.sec.gov/Archives/edgar/data/320193/000032019324000112/wk-form4_1727994654.xml
2024-10-01,AAPL,AAPL,226.21,WILLIAMS JEFFREY E,1496686,,Tax Withholding (RSU Vesting),67552,15280937.92,549674,https://www.sec.gov/Archives/edgar/data/320193/000032019324000112/wk-form4_1727994654.xml
2024-10-02,AAPL,AAPL,226.8,WILLIAMS JEFFREY E,1496686,,Sale,51674,11719663.2,498000,https://www.sec.gov/Archives/edgar/data/320193/000032019324000112/wk-form4_1727994654.xml
2024-10-02,AAPL,AAPL,227.22,WILLIAMS JEFFREY E,1496686,,Sale,8056,1830484.32,489944,https://www.sec.gov/Archives/edgar/data/320193/000032019324000112/wk-form4_1727994654.xml
2024-10-01,AAPL,AAPL,,Maestri Luca,1513362,,Exercise or Conversion of Derivative Security,127282,,235070,https://www.sec.gov/Archives/edgar/data/320193/000032019324000111/wk-form4_1727994644.xml
2024-10-01,AAPL,AAPL,226.21,Maestri Luca,1513362,,Tax Withholding (RSU Vesting),67977,15377077.17,167093,https://www.sec.gov/Archives/edgar/data/320193/000032019324000111/wk-form4_1727994644.xml
2024-10-01,AAPL,AAPL,,Adams Katherine L.,1462356,,Exercise or Conversion of Derivative Security,127282,,314325,https://www.sec.gov/Archives/edgar/data/320193/000032019324000110/wk-form4_1727994634.xml
2024-10-01,AAPL,AAPL,226.21,Adams Katherine L.,1462356,,Tax Withholding (RSU Vesting),66263,14989353.23,248062,https://www.sec.gov/Archives/edgar/data/320193/000032019324000110/wk-form4_1727994634.xml
2024-10-02,AAPL,AAPL,223.79,Adams Katherine L.,1462356,,Sale,5850,1309171.5,242212,https://www.sec.gov/Archives/edgar/data/320193/000032019324000110/wk-form4_1727994634.xml
2024-10-02,AAPL,AAPL,224.59,Adams Katherine L.,1462356,,Sale,6454,1449503.86,235758,https://www.sec.gov/Archives/edgar/data/320193/000032019324000110/wk-form4_1727994634.xml
2024-10-02,AAPL,AAPL,225.87,Adams Katherine L.,1462356,,Sale,7550,1705318.5,228208,https://www.sec.gov/Archives/edgar/data/320193/000032019324000110/wk-form4_1727994634.xml
2024-10-02,AAPL,AAPL,226.82,Adams Katherine L.,1462356,,Sale,38170,8657719.4,190038,https://www.sec.gov/Archives/edgar/data/320193/000032019324000110/wk-form4_1727994634.xml
2024-10-02,AAPL,AAPL,227.24,Adams Katherine L.,1462356,,Sale,2995,680583.8,187043,https://www.sec.gov/Archives/edgar/data/320193/000032019324000110/wk-form4_1727994634.xml
2024-10-01,AAPL,AAPL,,COOK TIMOTHY D,1214156,,Exercise or Conversion of Derivative Security,477301,,3757481,https://www.sec.gov/Archives/edgar/data/320193/000032019324000109/wk-form4_1727994624.xml
2024-10-01,AAPL,AAPL,226.21,COOK TIMOTHY D,1214156,,Tax Withholding (RSU Vesting),253315,57302386.15,3504166,https://www.sec.gov/Archives/edgar/data/320193/000032019324000109/wk-form4_1727994624.xml
2024-10-02,AAPL,AAPL,223.75,COOK TIMOTHY D,1214156,,Sale,109741,24554548.75,3394425,https://www.sec.gov/Archives/edgar/data/320193/000032019324000109/wk-form4_1727994624.xml
2024-10-02,AAPL,AAPL,224.46,COOK TIMOTHY D,1214156,,Sale,61912,13896767.52,3332513,https://www.sec.gov/Archives/edgar/data/320193/000032019324000109/wk-form4_1727994624.xml
2024-10-02,AAPL,AAPL,225.86,COOK TIMOTHY D,1214156,,Sale,45140,10195320.4,3287373,https://www.sec.gov/Archives/edgar/data/320193/000032019324000109/wk-form4_1727994624.xml
2024-10-02,AAPL,AAPL,226.57,COOK TIMOTHY D,1214156,,Sale,7193,1629718.01,3280180,https://www.sec.gov/Archives/edgar/data/320193/000032019324000109/wk-form4_1727994624.xml
2024-10-01,AAPL,AAPL,,O'BRIEN DEIRDRE,1767094,,Exercise or Conversion of Derivative Security,127282,,263854,https://www.sec.gov/Archives/edgar/data/320193/000032019324000108/wk-form4_1727994612.xml
2024-10-01,AAPL,AAPL,226.21,O'BRIEN DEIRDRE,1767094,,Tax Withholding (RSU Vesting),66263,14989353.23,197591,https://www.sec.gov/Archives/edgar/data/320193/000032019324000108/wk-form4_1727994612.xml
2024-10-02,AAPL,AAPL,226.72,O'BRIEN DEIRDRE,1767094,,Sale,38691,8772023.52,158900,https://www.sec.gov/Archives/edgar/data/320193/000032019324000108/wk-form4_1727994612.xml
2024-10-02,AAPL,AAPL,227.13,O'BRIEN DEIRDRE,1767094,,Sale,22328,5071358.64,136572,https://www.sec.gov/Archives/edgar/data/320193/000032019324000108/wk-form4_1727994612.xml
2024-08-15,AAPL,AAPL,225.0,KONDO CHRIS,1631982,,Sale,8706,1958850.0,15419,https://www.sec.gov/Archives/edgar/data/320193/000032019324000088/wk-form4_1724106610.xml
2024-08-09,AAPL,AAPL,216.5,KONDO CHRIS,1631982,,Sale,5178,1121037.0,24125,https://www.sec.gov/Archives/edgar/data/320193/000032019324000086/wk-form4_1723590126.xml
2024-08-05,AAPL,AAPL,206.42,Adams Katherine L.,1462356,,Sale,97600,20146592.0,193943,https://www.sec.gov/Archives/edgar/data/320193/000032019324000084/wk-form4_1723069808.xml
2024-08-05,AAPL,AAPL,207.05,Adams Katherine L.,1462356,,Sale,2400,496920.0,191543,https://www.sec.gov/Archives/edgar/data/320193/000032019324000084/wk-form4_1723069808.xml
2024-05-30,AAPL,AAPL,191.58,LEVINSON ARTHUR D,1214128,,Sale,75000,14368500.0,4359576,https://www.sec.gov/Archives/edgar/data/320193/000032019324000075/wk-form4_1717453877.xml
2024-05-15,AAPL,AAPL,190.395,KONDO CHRIS,1631982,,Sale,4999,951784.61,29278,https://www.sec.gov/Archives/edgar/data/320193/000032019324000073/wk-form4_1715985021.xml
2024-04-15,AAPL,AAPL,,KONDO CHRIS,1631982,,Exercise or Conversion of Derivative Security,8119,,37397,https://www.sec.gov/Archives/edgar/data/320193/000032019324000058/wk-form4_1713393040.xml
2024-04-15,AAPL,AAPL,172.69,KONDO CHRIS,1631982,,Tax Withholding (RSU Vesting),3120,538792.8,34277,https://www.sec.gov/Archives/edgar/data/320193/000032019324000058/wk-form4_1713393040.xml
2024-04-11,AAPL,AAPL,172.22,WILLIAMS JEFFREY E,1496686,,Sale,59162,10188879.64,489944,https://www.sec.gov/Archives/edgar/data/320193/000032019324000056/wk-form4_1713220262.xml
2024-04-11,AAPL,AAPL,173.19,Maestri Luca,1513362,,Sale,12700,2199513.0,148282,https://www.sec.gov/Archives/edgar/data/320193/000032019324000055/wk-form4_1713220215.xml
2024-04-11,AAPL,AAPL,174.12,Maestri Luca,1513362,,Sale,27600,4805712.0,120682,https://www.sec.gov/Archives/edgar/data/320193/000032019324000055/wk-form4_1713220215.xml
2024-04-11,AAPL,AAPL,175.02,Maestri Luca,1513362,,Sale,12894,2256707.88,107788,https://www.sec.gov/Archives/edgar/data/320193/000032019324000055/wk-form4_1713220215.xml
