issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
ABNB,Officer (Chief Technology Officer),2025-03-18,Sale,126.0,700,88200.0,171419
ABNB,Officer (Chief Technology Officer),2025-03-11,Sale,130.18,700,91126.0,172119
ABNB,Officer (Chief Technology Officer),2025-03-04,Sale,140.1,700,98070.0,172819
ABNB,Officer (Chief Technology Officer),2025-02-25,Sale,145.01,700,101507.0,173519
ABNB,Officer (Chief Technology Officer),2025-02-19,Tax Withholding (RSU Vesting),160.6,6295,1010977.0,174219
ABNB,Officer (Chief Technology Officer),2025-02-18,Sale,161.05,700,112735.0,180514
ABNB,Officer (Chief Technology Officer),2025-02-14,Exercise or Conversion of Derivative Security,122.41,11488,1406246.08,192702
ABNB,Officer (Chief Technology Officer),2025-02-14,Sale,158.0,11488,1815104.0,181214
ABNB,Officer (Chief Technology Officer),2025-02-11,Sale,135.24,700,94668.0,181214
ABNB,Officer (Chief Technology Officer),2025-02-04,Sale,129.58,700,90706.0,181914
ABNB,Officer (Chief Technology Officer),2025-01-28,Sale,128.15,700,89705.0,182614
ABNB,Officer (Chief Technology Officer),2025-01-21,Sale,135.47,700,94829.0,183314
ABNB,Officer (Chief Technology Officer),2025-01-14,Sale,129.82,700,90874.0,184014
ABNB,Officer (Chief Technology Officer),2025-01-07,Sale,135.35,700,94745.0,184714
ABNB,Officer (Chief Technology Officer),2025-01-02,Exercise or Conversion of Derivative Security,40.18,20000,803600.0,205414
ABNB,Officer (Chief Technology Officer),2025-01-02,Sale,131.87,20000,2637400.0,185414
ABNB,Officer (Chief Technology Officer),2024-12-02,Sale,136.01,500,68005.0,185414
ABNB,Officer (Chief Technology Officer),2024-11-19,Tax Withholding (RSU Vesting),132.19,6330,836762.7,185914
ABNB,Officer (Chief Technology Officer),2024-10-29,Sale,135.33,600,81198.0,192244
ABNB,Officer (Chief Technology Officer),2024-10-22,Sale,136.11,600,81666.0,192844
ABNB,Officer (Chief Technology Officer),2024-10-15,Sale,133.51,600,80106.0,193444
ABNB,Officer (Chief Technology Officer),2024-10-08,Sale,130.15,600,78090.0,194044
ABNB,Officer (Chief Technology Officer),2024-10-01,Sale,127.35,600,76410.0,194644
ABNB,Officer (Chief Technology Officer),2024-09-24,Sale,130.58,600,78348.0,195244
ABNB,Officer (Chief Technology Officer),2024-09-17,Sale,120.0,600,72000.0,195844
ABNB,Officer (Chief Technology Officer),2024-09-10,Sale,117.01,600,70206.0,196444
ABNB,Officer (Chief Technology Officer),2024-09-03,Sale,116.5,600,69900.0,197044
ABNB,Officer (Chief Technology Officer),2024-08-27,Sale,115.3,600,69180.0,197644
ABNB,Officer (Chief Technology Officer),2024-08-19,Tax Withholding (RSU Vesting),116.31,6330,736242.3,198844
ABNB,Officer (Chief Technology Officer),2024-08-20,Sale,118.94,600,71364.0,198244
ABNB,Officer (Chief Technology Officer),2024-08-13,Sale,114.39,600,68634.0,205174
ABNB,Officer (Chief Technology Officer),2024-08-06,Sale,126.57,600,75942.0,205774
ABNB,Officer (Chief Technology Officer),2024-07-30,Sale,140.65,600,84390.0,206374
ABNB,Officer (Chief Technology Officer),2024-07-22,Exercise or Conversion of Derivative Security,59.91,50000,2995500.0,257574
ABNB,Officer (Chief Technology Officer),2024-07-22,Exercise or Conversion of Derivative Security,40.18,30000,1205400.0,287574
ABNB,Officer (Chief Technology Officer),2024-07-22,Sale,146.755,1200,176106.0,286374
ABNB,Officer (Chief Technology Officer),2024-07-22,Sale,147.4178,11563,1704592.02,274811
ABNB,Officer (Chief Technology Officer),2024-07-22,Sale,148.3605,22087,3276838.36,252724
ABNB,Officer (Chief Technology Officer),2024-07-22,Sale,149.7337,16516,2473001.79,236208
ABNB,Officer (Chief Technology Officer),2024-07-22,Sale,150.1235,28634,4298636.3,207574
ABNB,Officer (Chief Technology Officer),2024-07-23,Sale,150.25,600,90150.0,206974
ABNB,Officer (Chief Technology Officer),2024-07-16,Sale,148.47,600,89082.0,207574
ABNB,Officer (Chief Technology Officer),2024-07-09,Sale,152.92,600,91752.0,208174
ABNB,Officer (Chief Technology Officer),2024-07-02,Sale,151.29,600,90774.0,208774
ABNB,Officer (Chief Technology Officer),2024-06-25,Sale,148.97,600,89382.0,209374
ABNB,Officer (Chief Technology Officer),2024-06-18,Sale,149.9,600,89940.0,209974
ABNB,Officer (Chief Technology Officer),2024-06-11,Sale,147.97,600,88782.0,210574
ABNB,Officer (Chief Technology Officer),2024-06-04,Sale,145.82,600,87492.0,211174
ABNB,Officer (Chief Technology Officer),2024-05-28,Sale,146.0,600,87600.0,211774
ABNB,Officer (Chief Technology Officer),2024-05-20,Tax Withholding (RSU Vesting),145.66,6330,922027.8,212974
ABNB,Officer (Chief Technology Officer),2024-05-21,Sale,145.71,600,87426.0,212374
