issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
ABNB,Officer (Chief Accounting Officer),2025-02-19,Tax Withholding (RSU Vesting),160.6,917,147270.2,39664
ABNB,Officer (Chief Accounting Officer),2024-12-09,Sale,137.0,1000,137000.0,40581
ABNB,Officer (Chief Accounting Officer),2024-11-19,Tax Withholding (RSU Vesting),132.19,1231,162725.89,41581
ABNB,Officer (Chief Accounting Officer),2024-08-19,Tax Withholding (RSU Vesting),116.31,1231,143177.61,42812
ABNB,Officer (Chief Accounting Officer),2024-07-15,Sale,145.88,1000,145880.0,44043
ABNB,Officer (Chief Accounting Officer),2024-06-14,Sale,145.5,2000,291000.0,45043
ABNB,Officer (Chief Accounting Officer),2024-06-04,Exercise or Conversion of Derivative Security,40.18,6000,241080.0,53043
ABNB,Officer (Chief Accounting Officer),2024-06-04,Sale,147.0,6000,882000.0,47043
ABNB,Officer (Chief Accounting Officer),2024-05-20,Tax Withholding (RSU Vesting),145.66,978,142455.48,47043
ABNB,Officer (Chief Accounting Officer),2024-04-05,"Grant, Award, or Other Acquisition",0.0,9307,0.0,48021
ABNB,Officer (Chief Accounting Officer),2024-02-20,Tax Withholding (RSU Vesting),152.51,1325,202075.75,38714
ABNB,Officer (Chief Accounting Officer),2023-12-07,Exercise or Conversion of Derivative Security,63.03,8930,562857.9,48969
ABNB,Officer (Chief Accounting Officer),2023-12-07,Exercise or Conversion of Derivative Security,40.18,8642,347235.56,57611
ABNB,Officer (Chief Accounting Officer),2023-12-07,Sale,140.0019,17572,2460113.39,40039
ABNB,Officer (Chief Accounting Officer),2023-11-20,Tax Withholding (RSU Vesting),127.15,1572,199879.8,40039
ABNB,Officer (Chief Accounting Officer),2023-10-17,Sale,123.59,3402,420453.18,41611
ABNB,Officer (Chief Accounting Officer),2023-10-02,Sale,136.55,13814,1886301.7,45013
ABNB,Officer (Chief Accounting Officer),2023-09-21,"Grant, Award, or Other Acquisition",0.0,3758,0.0,58827
ABNB,Officer (Chief Accounting Officer),2023-08-21,Tax Withholding (RSU Vesting),125.06,1572,196594.32,55069
ABNB,Officer (Chief Accounting Officer),2023-05-19,Tax Withholding (RSU Vesting),111.87,1571,175747.77,56641
ABNB,Officer (Chief Accounting Officer),2023-04-19,"Grant, Award, or Other Acquisition",0.0,1246,0.0,58212
ABNB,Officer (Chief Accounting Officer),2023-03-27,"Grant, Award, or Other Acquisition",0.0,8578,0.0,56966
ABNB,,2023-02-21,Tax Withholding (RSU Vesting),131.6,1783,234642.8,48388
ABNB,,2023-02-15,Exercise or Conversion of Derivative Security,29.96,15036,450478.56,65207
ABNB,,2023-02-15,Sale,130.0,15036,1954680.0,50171
ABNB,,2023-02-15,Exercise or Conversion of Derivative Security,52.5,12380,649950.0,62551
ABNB,,2023-02-15,Sale,135.0,12380,1671300.0,50171
ABNB,,2023-02-16,Exercise or Conversion of Derivative Security,52.7,12382,652531.4,62553
ABNB,,2023-02-16,Sale,140.0,12382,1733480.0,50171
ABNB,,2022-11-21,Tax Withholding (RSU Vesting),95.71,1782,170555.22,50171
ABNB,,2022-08-19,Tax Withholding (RSU Vesting),121.27,1782,216103.14,51953
ABNB,,2022-05-19,Tax Withholding (RSU Vesting),108.03,1730,186891.9,53735
ABNB,,2021-12-10,Sale,177.81,100000,17781000.0,55465
ABNB,,2022-03-19,"Grant, Award, or Other Acquisition",0.0,6401,0.0,20465
ABNB,,2022-02-22,Tax Withholding (RSU Vesting),174.9,1539,269171.1,14064
ABNB,,2021-12-10,Exercise or Conversion of Derivative Security,2.115,100000,211500.0,173103
ABNB,,2021-12-10,Sale,177.81,135000,24004350.0,38103
ABNB,,2021-12-13,Exercise or Conversion of Derivative Security,2.115,95682,202367.43,133785
ABNB,,2021-12-13,Sale,178.34,95682,17063927.88,38103
ABNB,,2021-12-08,Exercise or Conversion of Derivative Security,2.115,130000,274950.0,203103
ABNB,,2021-12-08,Sale,182.9562,7461,1365036.21,195642
ABNB,,2021-12-08,Sale,184.2931,12153,2239714.04,183489
ABNB,,2021-12-08,Sale,185.2794,40408,7486770.0,143081
ABNB,,2021-12-08,Sale,186.1566,68678,12784862.97,74403
ABNB,,2021-12-08,Sale,186.8383,1300,242889.79,73103
ABNB,,2021-12-09,Exercise or Conversion of Derivative Security,2.115,100000,211500.0,173103
ABNB,,2021-12-09,Sale,182.09,100000,18209000.0,73103
ABNB,,2021-12-06,Exercise or Conversion of Derivative Security,2.115,10000,21150.0,83103
ABNB,,2021-12-06,Sale,167.63,10000,1676300.0,73103
ABNB,,2021-12-07,Exercise or Conversion of Derivative Security,2.115,130000,274950.0,203103
ABNB,,2021-12-07,Sale,182.7333,13613,2487548.41,189490
ABNB,,2021-12-07,Sale,183.6664,19530,3587004.79,169960
ABNB,,2021-12-07,Sale,184.7837,42568,7865872.54,127392
ABNB,,2021-12-07,Sale,185.7521,39816,7395905.61,87576
ABNB,,2021-12-07,Sale,186.4081,13733,2559942.44,73843
ABNB,,2021-12-07,Sale,187.3611,740,138647.21,73103
ABNB,,2021-12-02,Exercise or Conversion of Derivative Security,2.115,40000,84600.0,113103
ABNB,,2021-12-02,Sale,161.36,40000,6454400.0,73103
ABNB,,2021-12-03,Exercise or Conversion of Derivative Security,2.115,40000,84600.0,113103
ABNB,,2021-12-03,Sale,168.98,40000,6759200.0,73103
ABNB,,2021-11-19,Tax Withholding (RSU Vesting),204.33,2159,441148.47,73103
ABNB,,2021-08-25,Tax Withholding (RSU Vesting),161.42,2160,348667.2,75262
ABNB,,2021-06-07,Exercise or Conversion of Derivative Security,2.115,10000,21150.0,82454
ABNB,,2021-06-07,Sale,149.115,5032,750346.68,77422
ABNB,,2021-05-24,Exercise or Conversion of Derivative Security,2.115,5000,10575.0,77135
ABNB,,2021-05-24,Sale,135.1501,2522,340848.55,74163
ABNB,,2021-05-25,Tax Withholding (RSU Vesting),135.91,2159,293429.69,72004
ABNB,,2021-03-19,"Grant, Award, or Other Acquisition",0.0,5306,0.0,72135
ABNB,,2021-02-25,Tax Withholding (RSU Vesting),200.2,1844,369168.8,66829
ABNB,,2020-12-09,"Grant, Award, or Other Acquisition",0.0,100970,0.0,100970
ABNB,,2020-12-09,Tax Withholding (RSU Vesting),68.0,32297,2196196.0,68673
CNET,,2008-06-30,Disposition to the Issuer (Shares returned to company),11.5,804,9246.0,0
CNET,,2008-06-23,Tender Offer,11.5,3918,45057.0,0
