issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2025-02-26,Exercise or Conversion of Derivative Security,40.18,26154,1050867.72,185491
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2025-02-26,Sale,145.0,26154,3792330.0,159337
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2025-02-20,Sale,156.32,2712,423939.84,159337
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2025-02-19,Tax Withholding (RSU Vesting),160.6,2801,449840.6,162049
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2025-02-19,Conversion of Security,,36344,,45025
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2025-02-19,Gift,0.0,36344,0.0,8681
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2025-02-14,Exercise or Conversion of Derivative Security,40.18,183078,7356074.04,347928
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2025-02-14,Sale,158.0,183078,28926324.0,164850
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-11-19,Tax Withholding (RSU Vesting),132.19,9873,1305111.87,174453
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-11-19,Conversion of Security,,271152,,279833
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-11-19,Gift,0.0,271152,0.0,8681
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-11-20,Sale,130.22,9603,1250502.66,164850
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-11-07,Exercise or Conversion of Derivative Security,40.18,156924,6305206.32,341250
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-11-07,Sale,145.0,156924,22753980.0,184326
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-08-29,Sale,118.17,9603,1134786.51,184326
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-08-19,Tax Withholding (RSU Vesting),116.31,9873,1148328.63,193929
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-08-19,Conversion of Security,,1000,,8681
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-05-20,Tax Withholding (RSU Vesting),145.66,9870,1437664.2,203802
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-05-20,Conversion of Security,,120000,,127681
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-05-20,Gift,0.0,120000,0.0,7681
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-04-05,"Grant, Award, or Other Acquisition",0.0,30247,0.0,213672
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-03-06,Sale,160.49,100,16049.0,192511
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-03-06,Sale,161.6547,1700,274812.99,190811
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-03-06,Sale,162.2862,3022,490428.9,187789
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-03-06,Sale,163.7721,2664,436288.87,185125
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-03-06,Sale,164.2479,1700,279221.43,183425
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-03-01,Sale,160.2542,141877,22736385.13,201548
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-03-04,Sale,160.1208,6574,1052634.14,194974
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-03-04,Sale,161.6528,900,145487.52,194074
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-03-04,Sale,162.2643,1463,237392.67,192611
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-02-28,Sale,151.975,200,30395.0,403225
ABNB,"Director, Officer (Chief Strategy Officer), 10% Owner",2024-02-28,Sale,152.6179,12518,1910470.87,390707
