issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-17,Sale,124.0,1472,182528.0,11807133
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-17,Sale,125.7123,8132,1022292.42,11799001
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-17,Sale,126.45,14093,1782059.85,11784908
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-17,Sale,127.4949,14764,1882334.7,11770144
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-03,Sale,140.6271,13287,1868512.28,11872241
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-03,Sale,141.3691,3300,466518.03,11868941
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-03,Sale,142.7335,11972,1708805.46,11856969
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-03,Sale,143.4582,43246,6203993.32,11813723
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-03,Sale,144.2576,5118,738310.4,11808605
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-24,Conversion of Security,,32000,,48800
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-18,Sale,158.6307,3719,589947.57,11997194
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-18,Sale,159.7029,25063,4002633.78,11972131
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-18,Sale,160.3424,71366,11442995.72,11900765
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-18,Sale,161.3524,10663,1720500.64,11890102
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-18,Sale,162.2181,4574,741985.59,11885528
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-14,Sale,160.3918,88787,14240706.75,12142898
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-14,Sale,161.4552,121392,19599369.64,12021506
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-14,Sale,162.3891,14710,2388743.66,12006796
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-14,Sale,163.4088,5883,961333.97,12000913
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-12,Sale,140.503,188197,26442243.09,12233789
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-12,Sale,141.0909,2104,296855.25,12231685
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-03,Sale,127.8674,3447,440758.93,12457000
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-03,Sale,128.4163,4900,629239.87,12452100
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-03,Sale,129.7851,3688,478647.45,12448412
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-03,Sale,130.415,26426,3446346.79,12421986
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-21,Sale,131.6868,10197,1342810.3,12488711
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-21,Sale,132.53,10331,1369167.43,12478380
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-21,Sale,133.545,2927,390886.21,12475453
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-21,Sale,134.5133,13006,1749479.98,12462447
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-21,Sale,135.2143,2000,270428.6,12460447
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-06,Sale,134.8627,4737,638844.61,12532632
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-06,Sale,135.5613,21948,2975299.41,12510684
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-06,Sale,136.1913,7076,963689.64,12503608
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-06,Sale,137.4603,4700,646063.41,12498908
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-12-23,Sale,132.6856,9236,1225484.2,12566594
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-12-23,Sale,133.4439,16493,2200890.24,12550101
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-12-23,Sale,134.3948,12532,1684235.63,12537569
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-12-23,Sale,135.085,200,27017.0,12537369
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-12-11,Sale,140.0296,2009,281319.47,12575830
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-12-09,Sale,136.8327,11817,1616952.02,12604483
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-12-09,Sale,137.4424,16401,2254192.8,12588082
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-12-09,Sale,138.3313,10243,1416927.51,12577839
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-11-25,Sale,138.9482,15480,2150918.14,12677743
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-11-25,Sale,139.8355,39270,5491340.08,12638473
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-11-25,Sale,140.8182,22173,3122361.95,12616300
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-11-25,Sale,140.4714,16800,2359919.52,16800
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-11-25,Sale,140.3729,14200,1993295.18,114354
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-11-14,Gift,0.0,15556,0.0,12693223
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-11-11,Tax Withholding (RSU Vesting),134.61,541750,72924967.5,12658779
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-11-11,Conversion of Security,,50000,,12708779
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-10-14,Sale,133.97,38460,5152486.2,13200529
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-09-30,Sale,127.32,76923,9793836.36,13238989
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-09-17,Sale,120.0,230769,27692280.0,13315912
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-08-05,Sale,123.9,76923,9530759.7,13721994
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-08-29,Conversion of Security,,174687,,13896681
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-08-29,Gift,0.0,350000,0.0,13546681
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-08-29,Conversion of Security,,33600,,33600
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-07-22,Sale,146.8487,2300,337752.01,13912002
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-07-22,Sale,147.4392,17703,2610116.16,13894299
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-07-22,Sale,148.3324,29655,4398797.32,13864644
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-07-22,Sale,149.7514,24904,3729408.87,13839740
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-07-22,Sale,150.1314,40823,6128814.14,13798917
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-07-08,Sale,150.8916,4422,667242.66,14025265
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-07-08,Sale,151.6573,74293,11267075.79,13950972
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-07-08,Sale,152.3775,24202,3687840.25,13926770
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-07-08,Sale,153.2256,12068,1849126.54,13914702
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-07-08,Sale,154.16,400,61664.0,13914302
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-24,Sale,146.8333,600,88099.98,14144472
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-24,Sale,147.6025,13890,2050198.72,14130582
ABNB,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-24,Sale,148.6159,76892,11427373.78,14053690
