issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
ABNB,"Director, 10% Owner",2025-03-20,Conversion of Security,,2509150,,2723440
ABNB,"Director, 10% Owner",2025-03-11,Sale,123.8364,2244,277888.88,426331
ABNB,"Director, 10% Owner",2025-03-11,Sale,124.5519,11709,1458378.2,414622
ABNB,"Director, 10% Owner",2025-03-11,Sale,125.6236,38849,4880351.24,375773
ABNB,"Director, 10% Owner",2025-03-11,Sale,126.5133,72556,9179298.99,303217
ABNB,"Director, 10% Owner",2025-03-11,Sale,127.3177,51467,6552660.07,251750
ABNB,"Director, 10% Owner",2025-03-11,Sale,128.5036,29501,3790984.7,222249
ABNB,"Director, 10% Owner",2025-03-11,Sale,129.3115,5559,718842.63,216690
ABNB,"Director, 10% Owner",2025-03-11,Sale,130.15,2400,312360.0,214290
ABNB,"Director, 10% Owner",2025-02-25,Sale,140.7548,21406,3012997.25,621454
ABNB,"Director, 10% Owner",2025-02-25,Sale,141.5175,103089,14588897.56,518365
ABNB,"Director, 10% Owner",2025-02-25,Sale,142.3539,68002,9680349.91,450363
ABNB,"Director, 10% Owner",2025-02-25,Sale,143.44,17140,2458561.6,433223
ABNB,"Director, 10% Owner",2025-02-25,Sale,144.4734,4438,641172.95,428785
ABNB,"Director, 10% Owner",2025-02-25,Sale,145.0314,210,30456.59,428575
ABNB,"Director, 10% Owner",2025-02-11,Sale,134.7312,95366,12848775.62,761779
ABNB,"Director, 10% Owner",2025-02-11,Sale,135.258,115714,15651244.21,646065
ABNB,"Director, 10% Owner",2025-02-11,Sale,136.0846,3205,436151.14,642860
ABNB,"Director, 10% Owner",2025-01-28,Sale,127.4646,32415,4131765.01,1039015
ABNB,"Director, 10% Owner",2025-01-28,Sale,128.5203,23064,2964192.2,1015951
ABNB,"Director, 10% Owner",2025-01-28,Sale,129.4354,121484,15724330.13,894467
ABNB,"Director, 10% Owner",2025-01-28,Sale,130.3994,37322,4866766.41,857145
ABNB,"Director, 10% Owner",2025-01-14,Sale,127.4329,29597,3771631.54,1256118
ABNB,"Director, 10% Owner",2025-01-14,Sale,128.4851,93864,12060125.43,1162254
ABNB,"Director, 10% Owner",2025-01-14,Sale,129.577,48895,6335667.42,1113359
ABNB,"Director, 10% Owner",2025-01-14,Sale,130.3197,41822,5450230.49,1071537
ABNB,"Director, 10% Owner",2025-01-14,Sale,131.0571,107,14023.11,1071430
ABNB,"Director, 10% Owner",2025-01-06,Sale,134.8794,28444,3836509.65,1471556
ABNB,"Director, 10% Owner",2025-01-06,Sale,135.5787,100900,13679890.83,1370656
ABNB,"Director, 10% Owner",2025-01-06,Sale,136.1798,48481,6602132.88,1322175
ABNB,"Director, 10% Owner",2025-01-06,Sale,137.4648,36001,4948870.26,1286174
ABNB,"Director, 10% Owner",2025-01-06,Sale,138.0743,459,63376.1,1285715
ABNB,"Director, 10% Owner",2024-12-27,Conversion of Security,,214285,,1500000
ABNB,"Director, 10% Owner",2024-12-17,Sale,130.9376,2000,261875.2,1498000
ABNB,"Director, 10% Owner",2024-12-17,Sale,131.6254,127898,16834625.41,1370102
ABNB,"Director, 10% Owner",2024-12-17,Sale,132.291,84387,11163640.62,1285715
ABNB,"Director, 10% Owner",2024-12-06,Conversion of Security,,1500000,,1500000
ABNB,"Director, 10% Owner",2024-12-03,Sale,135.6674,583,79094.09,9738
ABNB,"Director, 10% Owner",2024-12-03,Sale,136.6607,2228,304480.04,7510
ABNB,"Director, 10% Owner",2024-12-03,Sale,137.3976,4301,590947.08,3209
ABNB,"Director, 10% Owner",2024-12-03,Sale,138.1643,700,96715.01,2509
ABNB,"Director, 10% Owner",2024-12-03,Exercise or Conversion of Derivative Security,40.18,11636,467534.48,14145
ABNB,"Director, 10% Owner",2024-12-03,Sale,135.7256,900,122153.04,13245
ABNB,"Director, 10% Owner",2024-12-03,Sale,136.6668,2825,386083.71,10420
ABNB,"Director, 10% Owner",2024-12-03,Sale,137.4163,7090,974281.57,3330
ABNB,"Director, 10% Owner",2024-12-03,Sale,138.1738,821,113440.69,2509
ABNB,"Director, 10% Owner",2024-12-03,Conversion of Security,,214285,,214285
ABNB,"Director, 10% Owner",2024-12-03,Sale,135.742,20428,2772937.58,193857
ABNB,"Director, 10% Owner",2024-12-03,Sale,136.6745,53868,7362381.97,139989
ABNB,"Director, 10% Owner",2024-12-03,Sale,137.411,123190,16927661.09,16799
ABNB,"Director, 10% Owner",2024-12-03,Sale,138.1418,16799,2320644.1,0
ABNB,"Director, 10% Owner",2024-11-19,Conversion of Security,,214285,,214285
ABNB,"Director, 10% Owner",2024-11-19,Sale,130.6711,74031,9673712.2,140254
ABNB,"Director, 10% Owner",2024-11-19,Sale,131.2986,140254,18415153.84,0
ABNB,"Director, 10% Owner",2024-11-19,Tax Withholding (RSU Vesting),132.19,6151,813100.69,10321
ABNB,"Director, 10% Owner",2024-11-20,Conversion of Security,,639156,,639156
ABNB,"Director, 10% Owner",2024-11-20,Conversion of Security,,148000,,148000
ABNB,"Director, 10% Owner",2024-11-20,Gift,0.0,148000,0.0,0
ABNB,"Director, 10% Owner",2024-11-20,Gift,0.0,639156,0.0,0
ABNB,"Director, 10% Owner",2024-10-29,Exercise or Conversion of Derivative Security,40.18,11635,467494.3,28107
ABNB,"Director, 10% Owner",2024-10-29,Sale,135.6638,1600,217062.08,26507
ABNB,"Director, 10% Owner",2024-10-29,Sale,136.5192,1200,163823.04,25307
ABNB,"Director, 10% Owner",2024-10-29,Sale,137.5457,8435,1160197.98,16872
ABNB,"Director, 10% Owner",2024-10-29,Sale,138.09,400,55236.0,16472
ABNB,"Director, 10% Owner",2024-10-01,Exercise or Conversion of Derivative Security,40.18,34907,1402563.26,59191
ABNB,"Director, 10% Owner",2024-10-01,Sale,125.5419,13016,1634053.37,46175
ABNB,"Director, 10% Owner",2024-10-01,Sale,126.5397,18992,2403241.98,27183
ABNB,"Director, 10% Owner",2024-10-01,Sale,127.4588,10011,1275990.05,17172
ABNB,"Director, 10% Owner",2024-10-01,Sale,128.055,700,89638.5,16472
ABNB,"Director, 10% Owner",2024-08-19,Tax Withholding (RSU Vesting),116.31,6151,715422.81,24284
ABNB,"Director, 10% Owner",2024-06-27,Exercise or Conversion of Derivative Security,40.18,11635,467494.3,42070
ABNB,"Director, 10% Owner",2024-06-27,Sale,150.0235,11635,1745523.42,30435
ABNB,"Director, 10% Owner",2024-06-25,Conversion of Security,,526823,,526823
ABNB,"Director, 10% Owner",2024-06-25,Sale,150.3973,474084,71300953.57,52739
ABNB,"Director, 10% Owner",2024-06-25,Sale,151.0549,52739,7966484.37,0
ABNB,"Director, 10% Owner",2024-06-25,Exercise or Conversion of Derivative Security,40.18,130486,5242927.48,172573
ABNB,"Director, 10% Owner",2024-06-25,Sale,150.4747,119365,17961412.57,53208
ABNB,"Director, 10% Owner",2024-06-25,Sale,151.057,22773,3440021.06,30435
ABNB,"Director, 10% Owner",2024-06-21,Conversion of Security,,1500,,1500
ABNB,"Director, 10% Owner",2024-06-21,Sale,150.0,1500,225000.0,0
ABNB,"Director, 10% Owner",2024-06-24,Exercise or Conversion of Derivative Security,40.18,4516,181452.88,47529
ABNB,"Director, 10% Owner",2024-06-24,Sale,150.0015,5442,816308.16,42087
ABNB,"Director, 10% Owner",2024-06-24,Conversion of Security,,18060,,18060
ABNB,"Director, 10% Owner",2024-06-24,Sale,150.0041,18060,2709074.05,0
ABNB,"Director, 10% Owner",2024-06-17,Exercise or Conversion of Derivative Security,40.18,11739,471673.02,58206
ABNB,"Director, 10% Owner",2024-06-17,Sale,150.0268,13240,1986354.83,44966
ABNB,"Director, 10% Owner",2024-06-17,Conversion of Security,0.0,30094,0.0,30094
ABNB,"Director, 10% Owner",2024-06-17,Sale,150.0385,30094,4515258.62,0
ABNB,"Director, 10% Owner",2024-06-18,Exercise or Conversion of Derivative Security,40.18,11448,459980.64,56414
ABNB,"Director, 10% Owner",2024-06-18,Sale,150.0746,13401,2011149.71,43013
ABNB,"Director, 10% Owner",2024-06-18,Conversion of Security,0.0,42766,0.0,42766
ABNB,"Director, 10% Owner",2024-06-18,Sale,150.1029,42766,6419300.62,0
ABNB,"Director, 10% Owner",2024-06-12,Exercise or Conversion of Derivative Security,40.18,39615,1591730.7,91457
ABNB,"Director, 10% Owner",2024-06-12,Sale,150.0366,44990,6750146.63,46467
ABNB,"Director, 10% Owner",2024-06-12,Conversion of Security,0.0,180757,0.0,180778
ABNB,"Director, 10% Owner",2024-06-12,Sale,150.0522,180778,27126136.61,0
ABNB,"Director, 10% Owner",2024-05-25,"Grant, Award, or Other Acquisition",0.0,2509,0.0,51842
ABNB,"Director, 10% Owner",2024-05-20,Tax Withholding (RSU Vesting),145.66,6151,895954.66,49333
ABNB,Director,2024-02-26,Conversion of Security,,1333333,,1333354
ABNB,Director,2024-02-26,Gift,0.0,1333333,0.0,21
ABNB,Director,2024-02-20,Tax Withholding (RSU Vesting),152.51,5224,796712.24,55484
ABNB,"Director, 10% Owner",2023-12-27,Sale,136.5393,121517,16591846.12,45171
ABNB,"Director, 10% Owner",2023-12-27,Sale,137.2853,34482,4733871.71,10689
ABNB,"Director, 10% Owner",2023-12-27,Sale,138.4273,10368,1435214.25,321
ABNB,"Director, 10% Owner",2023-12-27,Sale,139.135,300,41740.5,21
ABNB,"Director, 10% Owner",2023-12-13,Sale,140.7131,21053,2962432.89,312302
ABNB,"Director, 10% Owner",2023-12-13,Sale,141.4542,41048,5806412.0,271254
ABNB,"Director, 10% Owner",2023-12-13,Sale,142.4561,63422,9034850.77,207832
ABNB,"Director, 10% Owner",2023-12-13,Sale,143.3462,29696,4256808.76,178136
ABNB,"Director, 10% Owner",2023-12-13,Sale,144.4967,11448,1654198.22,166688
ABNB,"Director, 10% Owner",2023-11-27,Sale,126.7786,350,44372.51,68169
ABNB,"Director, 10% Owner",2023-11-27,Sale,127.1692,7461,948809.4,60708
ABNB,"Director, 10% Owner",2023-11-27,Sale,126.852,11366,1441799.83,488656
ABNB,"Director, 10% Owner",2023-11-27,Sale,127.4528,155301,19793547.29,333355
ABNB,"Director, 10% Owner",2023-11-20,Tax Withholding (RSU Vesting),127.15,6151,782099.65,68519
ABNB,"Director, 10% Owner",2023-11-14,Sale,125.3284,484922,60774498.38,515099
ABNB,"Director, 10% Owner",2023-11-14,Sale,126.0417,15077,1900330.71,500022
ABNB,"Director, 10% Owner",2023-09-29,Sale,136.786,26902,3679816.97,1139786
ABNB,"Director, 10% Owner",2023-09-29,Sale,137.3376,67103,9215764.97,1072683
ABNB,"Director, 10% Owner",2023-09-29,Sale,138.6147,18237,2527916.28,1054446
ABNB,"Director, 10% Owner",2023-09-29,Sale,139.3311,31157,4341139.08,1023289
ABNB,"Director, 10% Owner",2023-09-29,Sale,140.4149,23166,3252851.57,1000123
ABNB,"Director, 10% Owner",2023-09-29,Sale,141.05,102,14387.1,1000021
ABNB,"Director, 10% Owner",2023-09-13,Sale,143.8931,5167,743495.65,1328188
ABNB,"Director, 10% Owner",2023-09-13,Sale,144.703,40325,5835148.48,1287863
ABNB,"Director, 10% Owner",2023-09-13,Sale,145.4613,110142,16021398.5,1177721
ABNB,"Director, 10% Owner",2023-09-13,Sale,146.2925,11033,1614045.15,1166688
ABNB,"Director, 10% Owner",2023-08-28,Sale,125.5558,81003,10170396.47,1419019
ABNB,"Director, 10% Owner",2023-08-28,Sale,126.2982,68998,8714323.2,1350021
ABNB,"Director, 10% Owner",2023-08-28,Sale,127.0,16666,2116582.0,1333355
ABNB,"Director, 10% Owner",2023-08-28,Sale,126.5487,7812,988598.44,74670
ABNB,"Director, 10% Owner",2023-08-21,Tax Withholding (RSU Vesting),125.06,6151,769244.06,82482
ABNB,"Director, 10% Owner",2023-08-18,Sale,125.2975,166667,20882958.43,1500102
ABNB,"Director, 10% Owner",2023-08-18,Gift,0.0,80,0.0,1500022
ABNB,"Director, 10% Owner",2023-07-27,Sale,147.8138,20626,3048807.44,2162809
ABNB,"Director, 10% Owner",2023-07-27,Sale,148.5933,201074,29878249.2,1961735
ABNB,"Director, 10% Owner",2023-07-27,Sale,149.4265,30977,4628784.69,1930758
ABNB,"Director, 10% Owner",2023-07-27,Sale,150.3752,28718,4318474.99,1902040
ABNB,"Director, 10% Owner",2023-07-27,Sale,151.6675,55465,8412237.89,1846575
ABNB,"Director, 10% Owner",2023-07-27,Sale,152.4961,163493,24932044.88,1683082
ABNB,"Director, 10% Owner",2023-07-27,Sale,153.0654,16313,2496955.87,1666769
ABNB,"Director, 10% Owner",2023-07-13,Sale,137.658,17705,2437234.89,2682396
ABNB,"Director, 10% Owner",2023-07-13,Sale,138.4603,281337,38954005.42,2401059
ABNB,"Director, 10% Owner",2023-07-13,Sale,139.2515,180643,25154808.71,2220416
ABNB,"Director, 10% Owner",2023-07-13,Sale,140.0811,36981,5180339.16,2183435
ABNB,"Director, 10% Owner",2023-06-27,Sale,123.815,42344,5242822.36,3174424
