date,stock_ticker,issuerTradingSymbol,price,insider_name,insider_cik,relationship,transaction_type,shares,value,shares_total,xml_link
2025-03-20,ABNB,ABNB,,Gebbia Joseph,1834171,"Director, 10% Owner",Conversion of Security,2509150,,2723440,https://www.sec.gov/Archives/edgar/data/1559720/000095017025043821/ownership.xml
2025-03-18,ABNB,ABNB,126.0,BALOGH ARISTOTLE N,1216924,Officer (Chief Technology Officer),Sale,700,88200.0,171419,https://www.sec.gov/Archives/edgar/data/1216924/000095017025042804/ownership.xml
2025-03-17,ABNB,ABNB,124.0,Chesky Brian,1834152,"Director, Officer (CEO and Chairman), 10% Owner",Sale,1472,182528.0,11807133,https://www.sec.gov/Archives/edgar/data/1559720/000095017025042216/ownership.xml
2025-03-17,ABNB,ABNB,125.7123,Chesky Brian,1834152,"Director, Officer (CEO and Chairman), 10% Owner",Sale,8132,1022292.42,11799001,https://www.sec.gov/Archives/edgar/data/1559720/000095017025042216/ownership.xml
2025-03-17,ABNB,ABNB,126.45,Chesky Brian,1834152,"Director, Officer (CEO and Chairman), 10% Owner",Sale,14093,1782059.85,11784908,https://www.sec.gov/Archives/edgar/data/1559720/000095017025042216/ownership.xml
2025-03-17,ABNB,ABNB,127.4949,Chesky Brian,1834152,"Director, Officer (CEO and Chairman), 10% Owner",Sale,14764,1882334.7,11770144,https://www.sec.gov/Archives/edgar/data/1559720/000095017025042216/ownership.xml
2025-03-11,ABNB,ABNB,130.18,BALOGH ARISTOTLE N,1216924,Officer (Chief Technology Officer),Sale,700,91126.0,172119,https://www.sec.gov/Archives/edgar/data/1216924/000095017025038918/ownership.xml
2025-03-11,ABNB,ABNB,123.8364,Gebbia Joseph,1834171,"Director, 10% Owner",Sale,2244,277888.88,426331,https://www.sec.gov/Archives/edgar/data/1559720/000095017025038899/ownership.xml
2025-03-11,ABNB,ABNB,124.5519,Gebbia Joseph,1834171,"Director, 10% Owner",Sale,11709,1458378.2,414622,https://www.sec.gov/Archives/edgar/data/1559720/000095017025038899/ownership.xml
2025-03-11,ABNB,ABNB,125.6236,Gebbia Joseph,1834171,"Director, 10% Owner",Sale,38849,4880351.24,375773,https://www.sec.gov/Archives/edgar/data/1559720/000095017025038899/ownership.xml
2025-03-11,ABNB,ABNB,126.5133,Gebbia Joseph,1834171,"Director, 10% Owner",Sale,72556,9179298.99,303217,https://www.sec.gov/Archives/edgar/data/1559720/000095017025038899/ownership.xml
2025-03-11,ABNB,ABNB,127.3177,Gebbia Joseph,1834171,"Director, 10% Owner",Sale,51467,6552660.07,251750,https://www.sec.gov/Archives/edgar/data/1559720/000095017025038899/ownership.xml
2025-03-11,ABNB,ABNB,128.5036,Gebbia Joseph,1834171,"Director, 10% Owner",Sale,29501,3790984.7,222249,https://www.sec.gov/Archives/edgar/data/1559720/000095017025038899/ownership.xml
2025-03-11,ABNB,ABNB,129.3115,Gebbia Joseph,1834171,"Director, 10% Owner",Sale,5559,718842.63,216690,https://www.sec.gov/Archives/edgar/data/1559720/000095017025038899/ownership.xml
2025-03-11,ABNB,ABNB,130.15,Gebbia Joseph,1834171,"Director, 10% Owner",Sale,2400,312360.0,214290,https://www.sec.gov/Archives/edgar/data/1559720/000095017025038899/ownership.xml
2025-03-04,ABNB,ABNB,140.1,BALOGH ARISTOTLE N,1216924,Officer (Chief Technology Officer),Sale,700,98070.0,172819,https://www.sec.gov/Archives/edgar/data/1216924/000095017025034828/ownership.xml
2025-03-04,ABNB,ABNB,140.1,Mertz Elinor,1938411,Officer (Chief Financial Officer),Sale,6250,875625.0,449463,https://www.sec.gov/Archives/edgar/data/1559720/000095017025034818/ownership.xml
2025-03-05,ABNB,ABNB,141.87,Mertz Elinor,1938411,Officer (Chief Financial Officer),Sale,6086,863420.82,443377,https://www.sec.gov/Archives/edgar/data/1559720/000095017025034818/ownership.xml
2025-03-03,ABNB,ABNB,140.6271,Chesky Brian,1834152,"Director, Officer (CEO and Chairman), 10% Owner",Sale,13287,1868512.28,11872241,https://www.sec.gov/Archives/edgar/data/1559720/000095017025033579/ownership.xml
2025-03-03,ABNB,ABNB,141.3691,Chesky Brian,1834152,"Director, Officer (CEO and Chairman), 10% Owner",Sale,3300,466518.03,11868941,https://www.sec.gov/Archives/edgar/data/1559720/000095017025033579/ownership.xml
