issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
BCAT,Other,2025-01-31,Exercise or Conversion of Derivative Security,,1713.4844,,34713.4844
BCAT,Other,2025-01-31,Disposition to the Issuer (Shares returned to company),15.45,1713.4844,26473.33,33000.0
ECAT,Other,2025-01-31,Exercise or Conversion of Derivative Security,,1586.8966,,1586.8966
ECAT,Other,2025-01-31,Disposition to the Issuer (Shares returned to company),16.62,1586.8966,26374.22,0.0
BCAT,,2021-10-22,Purchase,19.65,227.0,4460.55,31227.0
BCAT,,2021-10-22,Purchase,19.67,25.0,491.75,31252.0
BCAT,,2021-10-22,Purchase,19.66,400.0,7864.0,31652.0
BCAT,,2021-10-22,Purchase,19.67,100.0,1967.0,31752.0
BCAT,,2021-10-22,Purchase,19.67,100.0,1967.0,31852.0
BCAT,,2021-10-22,Purchase,19.67,948.0,18647.16,32800.0
BCAT,,2021-10-22,Purchase,19.66,200.0,3932.0,33000.0
BCAT,,2021-09-28,Purchase,19.68,2000.0,39360.0,31000.0
BCAT,,2021-09-22,Purchase,20.36,3000.0,61080.0,29000.0
BCAT,,2021-09-17,Purchase,20.88,901.0,18812.88,24901.0
BCAT,,2021-09-17,Purchase,20.88,1099.0,22947.12,26000.0
BCAT,,2021-06-03,Purchase,21.51,200.0,4302.0,22700.0
BCAT,,2021-06-03,Purchase,21.51,200.0,4302.0,22900.0
BCAT,,2021-06-03,Purchase,21.51,200.0,4302.0,23100.0
BCAT,,2021-06-03,Purchase,21.51,200.0,4302.0,23300.0
BCAT,,2021-06-03,Purchase,21.51,100.0,2151.0,23400.0
BCAT,,2021-06-03,Purchase,21.525,600.0,12915.0,24000.0
BCAT,,2021-05-25,Purchase,20.5183,300.0,6155.49,22500.0
BCAT,,2021-04-29,Purchase,21.46,100.0,2146.0,20300.0
BCAT,,2021-04-29,Purchase,21.46,100.0,2146.0,20400.0
BCAT,,2021-04-29,Purchase,21.46,200.0,4292.0,20600.0
BCAT,,2021-04-29,Purchase,21.46,200.0,4292.0,20800.0
BCAT,,2021-04-29,Purchase,21.46,100.0,2146.0,20900.0
BCAT,,2021-04-29,Purchase,21.54,1300.0,28002.0,22200.0
BCAT,,2021-03-23,Purchase,20.1465,100.0,2014.65,18800.0
BCAT,,2021-03-23,Purchase,20.1465,275.0,5540.29,19075.0
BCAT,,2021-03-23,Purchase,20.1465,100.0,2014.65,19175.0
BCAT,,2021-03-23,Purchase,20.1465,100.0,2014.65,19275.0
BCAT,,2021-03-23,Purchase,20.1465,100.0,2014.65,19375.0
BCAT,,2021-03-23,Purchase,20.13,100.0,2013.0,19475.0
BCAT,,2021-03-23,Purchase,20.13,325.0,6542.25,19800.0
BCAT,,2021-03-23,Purchase,20.13,100.0,2013.0,19900.0
BCAT,,2021-03-23,Purchase,20.1465,100.0,2014.65,20000.0
BCAT,,2021-03-23,Purchase,20.1465,100.0,2014.65,20100.0
BCAT,,2021-03-23,Purchase,20.1465,100.0,2014.65,20200.0
BCAT,,2021-03-22,Purchase,20.4195,200.0,4083.9,18700.0
BCAT,,2021-03-02,Purchase,21.9,2000.0,43800.0,18500.0
BCAT,,2021-02-26,Purchase,21.6175,100.0,2161.75,14600.0
BCAT,,2021-02-26,Purchase,21.7758,1900.0,41374.02,16500.0
BCAT,,2021-02-17,Purchase,21.96,100.0,2196.0,11600.0
BCAT,,2021-02-17,Purchase,21.9477,1100.0,24142.47,12700.0
BCAT,,2021-02-17,Purchase,21.96,1800.0,39528.0,14500.0
BCAT,,2021-01-06,Purchase,21.87,1500.0,32805.0,11500.0
BCAT,,2020-10-26,Purchase,20.16,800.0,16128.0,8800.0
BCAT,,2020-10-26,Purchase,20.14,100.0,2014.0,8900.0
BCAT,,2020-10-26,Purchase,20.14,100.0,2014.0,9000.0
BCAT,,2020-10-26,Purchase,20.14,400.0,8056.0,9400.0
BCAT,,2020-10-26,Purchase,20.12,200.0,4024.0,9600.0
BCAT,,2020-10-26,Purchase,20.12,200.0,4024.0,9800.0
BCAT,,2020-10-26,Purchase,20.14,200.0,4028.0,10000.0
BCAT,,2020-10-15,Purchase,20.48,1300.0,26624.0,7800.0
BCAT,,2020-10-15,Purchase,20.48,200.0,4096.0,8000.0
BCAT,,2020-10-02,Purchase,20.2,1500.0,30300.0,6500.0
BCAT,,2020-09-29,Purchase,20.11,200.0,4022.0,3200.0
BCAT,,2020-09-29,Purchase,20.119,400.0,8047.6,3600.0
BCAT,,2020-09-29,Purchase,20.12,1400.0,28168.0,5000.0
BCAT,,2020-09-25,Purchase,20.015,100.0,2001.5,100.0
BCAT,,2020-09-25,Purchase,20.02,2900.0,58058.0,3000.0
