issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
GRX,,2025-03-18,Purchase,9.88,549,5424.12,1956488
BCAT,,2025-03-18,Sale,14.77,1821,26896.17,11809531
ENX,,2025-03-18,Purchase,9.55,15055,143775.25,3512481
ENX,,2025-03-19,Purchase,9.56,18861,180311.16,3531342
BCAT,,2025-03-17,Sale,14.82,7396,109608.72,11811352
ENX,,2025-03-17,Purchase,9.55,16434,156944.7,3497426
GNT,,2025-03-13,Sale,5.89,6112,35999.68,1806177
BCAT,,2025-03-13,Sale,15.09,84916,1281382.44,11884626
BCAT,,2025-03-14,Sale,14.88,65878,980264.64,11818748
MPA,,2025-03-13,Sale,11.47,1593,18271.71,1985666
MPA,,2025-03-14,Sale,11.31,6504,73560.24,1979162
ENX,,2025-03-14,Purchase,9.54,8001,76329.54,3480992
NXJ,,2025-03-13,Sale,11.94,23722,283240.68,4119545
GRX,,2025-03-11,Purchase,10.09,100,1009.0,1955939
MEGI,,2025-03-11,Purchase,12.69,65752,834392.88,6235018
NXJ,,2025-03-11,Sale,12.0,25366,304392.0,4163971
NXJ,,2025-03-12,Sale,11.96,20704,247619.84,4143267
BCAT,,2025-03-11,Sale,15.03,39408,592302.24,11998402
BCAT,,2025-03-12,Sale,15.13,28860,436651.8,11969542
MPA,,2025-03-11,Sale,11.59,4582,53105.38,1987259
ENX,,2025-03-11,Purchase,9.75,16552,161382.0,3472991
EVM,,2025-03-12,Purchase,9.35,75438,705345.3,4023724
BCAT,,2025-03-10,Sale,15.06,52240,786734.4,12037810
NXJ,,2025-03-10,Sale,12.04,28303,340768.12,4189337
MEGI,,2025-03-10,Purchase,12.48,379538,4736634.24,6169266
GRX,,2025-03-10,Purchase,10.18,9437,96068.66,1955839
ENX,,2025-03-06,Purchase,9.82,17243,169326.26,3446939
ENX,,2025-03-07,Purchase,9.79,9500,93005.0,3456439
MPA,,2025-03-07,Sale,11.63,100,1163.0,1991841
BCAT,,2025-03-06,Sale,15.3,34340,525402.0,12130163
BCAT,,2025-03-07,Sale,15.18,40113,608915.34,12090050
NXJ,,2025-03-06,Sale,12.15,30429,369712.35,4265055
NXJ,,2025-03-07,Sale,12.09,47415,573247.35,4217640
SABA,,2025-03-06,Sale,8.82,46064,406284.48,2975435
MEGI,,2025-03-06,Purchase,12.49,4999,62437.51,5789728
GRX,,2025-03-06,Purchase,9.97,6210,61913.7,1943717
GRX,,2025-03-07,Purchase,10.13,2685,27199.05,1946402
GF,,2025-03-06,Purchase,9.95,4925,49003.75,1706659
GF,,2025-03-04,Purchase,9.29,24957,231850.53,1701734
GRX,,2025-03-04,Purchase,9.96,4388,43704.48,1937507
GNT,,2025-03-05,Sale,5.8,14415,83607.0,1812289
SABA,,2025-03-04,Sale,8.95,50140,448753.0,3108449
SABA,,2025-03-05,Sale,8.81,86950,766029.5,3021499
NXJ,,2025-03-04,Sale,12.32,27621,340290.72,4319333
NXJ,,2025-03-05,Sale,12.25,23849,292150.25,4295484
BCAT,,2025-03-04,Sale,15.36,51096,784834.56,12262479
BCAT,,2025-03-05,Sale,15.36,97976,1504911.36,12164503
MPA,,2025-03-04,Sale,11.73,2492,29231.16,1991941
ENX,,2025-03-04,Purchase,9.81,6392,62705.52,3411492
ENX,,2025-03-05,Purchase,9.87,18204,179673.48,3429696
ENX,,2025-03-03,Purchase,9.81,1162,11399.22,3405100
MPA,,2025-03-03,Sale,11.73,3000,35190.0,1994433
BCAT,,2025-03-03,Sale,15.49,161654,2504020.46,12313575
