date,stock_ticker,issuerTradingSymbol,price,insider_name,insider_cik,relationship,transaction_type,shares,value,shares_total,xml_link
2025-03-18,BCAT,BCAT,14.77,"Saba Capital Management, L.P.",1510281,,Sale,1821.0,26896.17,11809531.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000164/primary_doc.xml
2025-03-17,BCAT,BCAT,14.82,"Saba Capital Management, L.P.",1510281,,Sale,7396.0,109608.72,11811352.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000160/primary_doc.xml
2025-03-13,BCAT,BCAT,15.09,"Saba Capital Management, L.P.",1510281,,Sale,84916.0,1281382.44,11884626.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000157/primary_doc.xml
2025-03-14,BCAT,BCAT,14.88,"Saba Capital Management, L.P.",1510281,,Sale,65878.0,980264.64,11818748.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000157/primary_doc.xml
2025-03-11,BCAT,BCAT,15.03,"Saba Capital Management, L.P.",1510281,,Sale,39408.0,592302.24,11998402.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000150/primary_doc.xml
2025-03-12,BCAT,BCAT,15.13,"Saba Capital Management, L.P.",1510281,,Sale,28860.0,436651.8,11969542.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000150/primary_doc.xml
2025-03-10,BCAT,BCAT,15.06,"Saba Capital Management, L.P.",1510281,,Sale,52240.0,786734.4,12037810.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000146/primary_doc.xml
2025-03-06,BCAT,BCAT,15.3,"Saba Capital Management, L.P.",1510281,,Sale,34340.0,525402.0,12130163.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000140/primary_doc.xml
2025-03-07,BCAT,BCAT,15.18,"Saba Capital Management, L.P.",1510281,,Sale,40113.0,608915.34,12090050.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000140/primary_doc.xml
2025-03-04,BCAT,BCAT,15.36,"Saba Capital Management, L.P.",1510281,,Sale,51096.0,784834.56,12262479.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000129/primary_doc.xml
2025-03-05,BCAT,BCAT,15.36,"Saba Capital Management, L.P.",1510281,,Sale,97976.0,1504911.36,12164503.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000129/primary_doc.xml
2025-03-03,BCAT,BCAT,15.49,"Saba Capital Management, L.P.",1510281,,Sale,161654.0,2504020.46,12313575.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000124/primary_doc.xml
2025-02-27,BCAT,BCAT,15.33,"Saba Capital Management, L.P.",1510281,,Sale,47186.0,723361.38,12542884.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000117/primary_doc.xml
2025-02-28,BCAT,BCAT,15.31,"Saba Capital Management, L.P.",1510281,,Sale,67655.0,1035798.05,12475229.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000117/primary_doc.xml
2025-02-26,BCAT,BCAT,15.36,"Saba Capital Management, L.P.",1510281,,Sale,13141.0,201845.76,12590070.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000111/primary_doc.xml
2025-02-24,BCAT,BCAT,15.37,"Saba Capital Management, L.P.",1510281,,Sale,25152.0,386586.24,12609390.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000107/primary_doc.xml
2025-02-25,BCAT,BCAT,15.32,"Saba Capital Management, L.P.",1510281,,Sale,6179.0,94662.28,12603211.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000107/primary_doc.xml
2025-02-20,BCAT,BCAT,15.44,"Saba Capital Management, L.P.",1510281,,Sale,45347.0,700157.68,12663820.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000101/primary_doc.xml
2025-02-21,BCAT,BCAT,15.42,"Saba Capital Management, L.P.",1510281,,Sale,29278.0,451466.76,12634542.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000101/primary_doc.xml
2025-02-18,BCAT,BCAT,15.57,"Saba Capital Management, L.P.",1510281,,Sale,47152.0,734156.64,12737795.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000097/primary_doc.xml
2025-02-19,BCAT,BCAT,15.53,"Saba Capital Management, L.P.",1510281,,Sale,28628.0,444592.84,12709167.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000097/primary_doc.xml
2025-02-13,BCAT,BCAT,15.86,"Saba Capital Management, L.P.",1510281,,Sale,116265.0,1843962.9,12843341.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000093/primary_doc.xml
2025-02-14,BCAT,BCAT,15.6,"Saba Capital Management, L.P.",1510281,,Sale,58394.0,910946.4,12784947.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000093/primary_doc.xml
2025-02-12,BCAT,BCAT,15.69,"Saba Capital Management, L.P.",1510281,,Sale,109365.0,1715936.85,12959606.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000088/primary_doc.xml
2025-02-10,BCAT,BCAT,15.67,"Saba Capital Management, L.P.",1510281,,Sale,45905.0,719331.35,13173374.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000083/primary_doc.xml
