issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
SCWX,,2025-02-03,Disposition to the Issuer (Shares returned to company),,248783,,0
BLK,,2025-01-16,"Grant, Award, or Other Acquisition",0.0,250,0.0,6064
BLK,,2024-12-31,"Grant, Award, or Other Acquisition",0.0,41,0.0,5814
BLK,Director,2024-09-30,"Grant, Award, or Other Acquisition",0.0,41,0.0,5773
BLK,,2024-08-02,Sale,842.0693,1523,1282471.54,5740
BLK,,2024-08-02,Sale,843.255,8,6746.04,5732
BLK,,2024-06-28,"Grant, Award, or Other Acquisition",0.0,49,0.0,7263
SCWX,,2024-06-25,"Grant, Award, or Other Acquisition",0.0,32626,0.0,248783
BLK,,2024-03-28,"Grant, Award, or Other Acquisition",0.0,42,0.0,7214
BLK,,2024-01-16,"Grant, Award, or Other Acquisition",0.0,300,0.0,7172
BLK,,2023-12-29,"Grant, Award, or Other Acquisition",0.0,43,0.0,6872
BLK,,2023-09-29,"Grant, Award, or Other Acquisition",0.0,55,0.0,6829
BLK,,2023-06-30,"Grant, Award, or Other Acquisition",0.0,50,0.0,6774
SCWX,,2023-06-27,"Grant, Award, or Other Acquisition",0.0,29069,0.0,216157
BLK,,2023-03-31,"Grant, Award, or Other Acquisition",0.0,53,0.0,6724
BLK,,2023-01-17,"Grant, Award, or Other Acquisition",743.61,323,240186.03,6671
BLK,,2022-12-30,"Grant, Award, or Other Acquisition",0.0,49,0.0,6348
BLK,,2022-09-30,"Grant, Award, or Other Acquisition",0.0,63,0.0,6299
BLK,,2022-06-30,"Grant, Award, or Other Acquisition",0.0,58,0.0,6236
SCWX,,2022-06-22,"Grant, Award, or Other Acquisition",0.0,17683,0.0,187088
BLK,,2022-03-31,"Grant, Award, or Other Acquisition",0.0,46,0.0,6178
BLK,,2022-01-18,"Grant, Award, or Other Acquisition",832.07,288,239636.16,6132
BLK,,2021-12-31,"Grant, Award, or Other Acquisition",0.0,38,0.0,5844
BLK,,2021-09-30,"Grant, Award, or Other Acquisition",0.0,42,0.0,5806
BLK,,2021-06-30,"Grant, Award, or Other Acquisition",0.0,40,0.0,5764
SCWX,,2021-06-22,"Grant, Award, or Other Acquisition",0.0,8314,0.0,169405
BLK,,2021-03-31,"Grant, Award, or Other Acquisition",0.0,46,0.0,5724
BLK,,2021-01-15,"Grant, Award, or Other Acquisition",0.0,325,0.0,5678
BLK,,2020-12-31,"Grant, Award, or Other Acquisition",0.0,49,0.0,5353
BLK,,2020-09-30,"Grant, Award, or Other Acquisition",0.0,62,0.0,5304
BLK,,2020-06-30,"Grant, Award, or Other Acquisition",0.0,64,0.0,5242
SCWX,,2020-06-18,"Grant, Award, or Other Acquisition",0.0,15100,0.0,161091
BLK,,2020-05-21,"Grant, Award, or Other Acquisition",0.0,471,0.0,5178
BLK,,2020-03-31,"Grant, Award, or Other Acquisition",0.0,79,0.0,4707
BLK,,2019-12-31,"Grant, Award, or Other Acquisition",0.0,70,0.0,4628
BLK,,2019-09-30,"Grant, Award, or Other Acquisition",0.0,78,0.0,4558
BLK,,2019-06-28,"Grant, Award, or Other Acquisition",0.0,75,0.0,4480
SCWX,,2019-06-21,"Grant, Award, or Other Acquisition",0.0,12640,0.0,145991
BLK,,2019-03-29,"Grant, Award, or Other Acquisition",0.0,81,0.0,3844
BLK,,2019-03-29,"Grant, Award, or Other Acquisition",0.0,561,0.0,4405
BLK,,2019-01-03,"Grant, Award, or Other Acquisition",392.82,90,35353.8,3763
BLK,,2018-10-01,"Grant, Award, or Other Acquisition",471.33,74,34878.42,3673
