issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
BLK,,2025-01-31,"Grant, Award, or Other Acquisition",0.0,9509,0.0,312104
BLK,,2025-01-31,Tax Withholding (RSU Vesting),1071.52,8418,9020055.36,303686
BLK,,2025-01-16,"Grant, Award, or Other Acquisition",0.0,7505,0.0,302595
BLK,,2024-12-04,Sale,1032.7846,3900,4027859.94,339890
BLK,,2024-12-04,Sale,1034.5119,11304,11694122.52,328586
BLK,,2024-12-04,Sale,1035.3507,10378,10744869.56,318208
BLK,,2024-12-04,Sale,1036.5538,9695,10049389.09,308513
BLK,,2024-12-04,Sale,1037.3743,12669,13142495.01,295844
BLK,,2024-12-04,Sale,1038.4279,754,782974.64,295090
BLK,,2024-08-06,Sale,840.3562,13293,11170854.97,369875
BLK,,2024-08-06,Sale,841.2842,1900,1598439.98,367975
BLK,,2024-08-06,Sale,842.5379,700,589776.53,367275
BLK,,2024-08-06,Sale,843.5179,700,590462.53,366575
BLK,,2024-08-06,Sale,844.5376,1667,1407844.18,364908
BLK,,2024-08-06,Sale,845.83,3700,3129571.0,361208
BLK,,2024-08-06,Sale,846.9099,5258,4453052.25,355950
BLK,,2024-08-06,Sale,847.9743,1632,1383894.06,354318
BLK,,2024-08-06,Sale,848.485,200,169697.0,354118
BLK,,2024-08-06,Sale,849.7133,300,254913.99,353818
BLK,,2024-08-06,Sale,850.92,100,85092.0,353718
BLK,,2024-08-06,Gift,0.0,5902,0.0,347816
BLK,,2024-08-06,Gift,0.0,4026,0.0,343790
BLK,,2024-05-20,Sale,804.7601,5041,4056795.66,409105
BLK,,2024-05-20,Sale,805.6719,8751,7050434.8,400354
BLK,,2024-05-20,Sale,806.6157,2588,2087521.43,397766
BLK,,2024-05-20,Sale,807.9052,5948,4805420.13,391818
BLK,,2024-05-20,Sale,808.8599,1754,1418740.26,390064
BLK,,2024-05-20,Sale,810.1961,4400,3564862.84,385664
BLK,,2024-05-20,Sale,811.0371,2496,2024348.6,383168
BLK,,2024-02-28,Sale,807.5411,5108,4124919.94,440016
BLK,,2024-02-28,Sale,808.4575,7215,5833020.86,432801
BLK,,2024-02-28,Sale,809.4628,4598,3721909.95,428203
BLK,,2024-02-28,Sale,810.817,2748,2228125.12,425455
BLK,,2024-02-28,Sale,811.7447,9721,7890970.23,415734
BLK,,2024-02-28,Sale,812.7363,1588,1290625.24,414146
BLK,,2024-01-31,"Grant, Award, or Other Acquisition",0.0,14754,0.0,456273
BLK,,2024-01-31,Tax Withholding (RSU Vesting),781.73,11149,8715507.77,445124
BLK,,2024-01-16,"Grant, Award, or Other Acquisition",0.0,6259,0.0,441519
BLK,,2023-11-06,Sale,651.9661,14585,9508925.57,436060
BLK,,2023-11-06,Sale,653.1131,800,522490.48,435260
BLK,,2023-07-26,Sale,741.5448,12522,9285623.99,471803
BLK,,2023-07-26,Sale,742.4318,4278,3176123.24,467525
BLK,,2023-07-26,Sale,743.3971,3400,2527550.14,464125
BLK,,2023-07-26,Gift,0.0,13480,0.0,450645
BLK,,2023-04-18,Sale,694.3601,30983,21513358.98,489141
BLK,,2023-04-18,Sale,695.2873,4216,2931331.26,484925
BLK,,2023-04-18,Sale,696.3167,600,417790.02,484325
BLK,,2023-01-31,"Grant, Award, or Other Acquisition",0.0,24796,0.0,537220
BLK,,2023-01-31,Tax Withholding (RSU Vesting),747.86,17096,12785414.56,520124
BLK,,2023-01-17,"Grant, Award, or Other Acquisition",743.61,5043,3750025.23,512424
BLK,,2022-11-22,Sale,730.5661,900,657509.49,548271
BLK,,2022-11-22,Sale,731.5255,12392,9065064.0,535879
BLK,,2022-11-22,Sale,732.5692,25628,18774283.46,510251
BLK,,2022-11-22,Sale,733.3668,2040,1496068.27,508211
BLK,,2022-11-22,Gift,0.0,830,0.0,507381
BLK,,2022-11-08,Sale,683.0432,1978,1351059.45,561793
BLK,,2022-11-08,Sale,683.956,3091,2114108.0,558702
BLK,,2022-11-08,Sale,684.8711,3358,2299797.15,555344
