issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
BLK,,2025-02-28,Sale,949.37,430,408229.1,3720.0
BLK,,2025-01-31,"Grant, Award, or Other Acquisition",0.0,1886,0.0,70319.34
BLK,,2025-01-31,Tax Withholding (RSU Vesting),1071.52,2285,2448423.2,68034.34
BLK,,2025-01-30,Exercise or Conversion of Derivative Security,513.5,10000,5135000.0,78433.34
BLK,,2025-01-30,Sale,1070.5,1930,2066065.0,76503.34
BLK,,2025-01-30,Sale,1072.6312,6414,6879856.52,70089.34
BLK,,2025-01-30,Sale,1075.1469,1656,1780443.27,68433.34
BLK,,2025-01-21,Exercise or Conversion of Derivative Security,513.5,10000,5135000.0,78433.34
BLK,,2025-01-21,Sale,1010.0,10000,10100000.0,68433.34
BLK,,2025-01-16,"Grant, Award, or Other Acquisition",0.0,2326,0.0,68433.34
BLK,,2024-12-05,Gift,0.0,1000,0.0,66107.34
BLK,,2024-08-29,Exercise or Conversion of Derivative Security,513.5,14000,7189000.0,81107.34
BLK,,2024-08-29,Sale,885.385,96,84996.96,81011.34
BLK,,2024-08-29,Sale,886.6348,258,228751.78,80753.34
BLK,,2024-08-29,Sale,888.0413,390,346336.11,80363.34
BLK,,2024-08-29,Sale,888.8866,12226,10867527.57,68137.34
BLK,,2024-08-29,Sale,890.2167,443,394366.0,67694.34
BLK,,2024-08-29,Sale,890.8619,587,522935.94,67107.34
BLK,,2024-02-05,Sale,784.6862,520,408036.82,4150.0
BLK,,2024-01-31,"Grant, Award, or Other Acquisition",0.0,3615,0.0,75494.34
BLK,,2024-01-31,Tax Withholding (RSU Vesting),781.73,1698,1327377.54,73796.34
BLK,,2024-02-01,Sale,781.1064,3418,2669821.68,70378.34
BLK,,2024-02-02,Sale,791.9222,3271,2590377.52,67107.34
BLK,,2024-01-16,"Grant, Award, or Other Acquisition",0.0,1972,0.0,71879.34
BLK,,2023-11-15,Gift,0.0,1400,0.0,69907.34
BLK,,2023-04-17,Sale,695.9977,3000,2087993.1,71307.34
BLK,,2023-02-27,Sale,689.0577,575,396208.18,4670.0
BLK,,2023-02-07,Sale,742.31,1000,742310.0,74307.34
BLK,,2023-02-02,Sale,777.1325,1551,1205332.51,78563.34
BLK,,2023-02-02,Sale,777.7902,235,182780.7,78328.34
BLK,,2023-02-03,Sale,760.6673,3021,2297975.91,75307.34
BLK,,2023-01-31,"Grant, Award, or Other Acquisition",0.0,6120,0.0,85045.34
BLK,,2023-01-31,Tax Withholding (RSU Vesting),747.86,4931,3687697.66,80114.34
BLK,,2023-01-17,"Grant, Award, or Other Acquisition",743.61,1479,1099799.19,78925.34
BLK,,2022-01-31,"Grant, Award, or Other Acquisition",0.0,5842,0.0,82276.34
BLK,,2022-01-31,Tax Withholding (RSU Vesting),808.14,4830,3903316.2,77446.34
BLK,,2022-01-18,"Grant, Award, or Other Acquisition",832.07,4309,3585389.63,76434.34
BLK,,2021-11-08,Sale,964.45,405,390602.25,5245.0
BLK,,2021-08-23,Gift,0.0,1340,0.0,72125.34
BLK,,2021-02-16,Sale,734.0,650,477100.0,5650.0
BLK,,2021-02-05,Sale,726.5447,1420,1031693.47,78100.34
BLK,,2021-02-05,Sale,727.3192,4635,3371124.49,73465.34
BLK,,2021-01-31,"Grant, Award, or Other Acquisition",0.0,2893,0.0,82725.34
BLK,,2021-01-31,Tax Withholding (RSU Vesting),701.26,3205,2247538.3,79520.34
BLK,,2021-01-15,"Grant, Award, or Other Acquisition",739.22,3429,2534785.38,79832.34
BLK,,2020-12-02,Gift,0.0,26153,0.0,0.0
BLK,,2020-12-02,Gift,0.0,26153,0.0,26153.0
BLK,,2020-11-25,Gift,0.0,6300,0.0,76403.34
BLK,,2020-11-25,Gift,0.0,6300,0.0,6300.0
BLK,,2020-11-05,Gift,0.0,3000,0.0,82703.34
BLK,,2020-07-24,Sale,574.3943,2182,1253328.36,53591.34
BLK,,2020-07-24,Sale,575.2963,2000,1150592.6,58265.0
BLK,,2020-02-05,Sale,541.81,4998,2707966.38,116038.34
BLK,,2020-01-31,"Grant, Award, or Other Acquisition",0.0,5822,0.0,125836.34
BLK,,2020-01-31,Tax Withholding (RSU Vesting),539.69,4800,2590512.0,121036.34
BLK,,2020-01-16,"Grant, Award, or Other Acquisition",533.58,3116,1662635.28,120014.34
BLK,,2020-01-16,Sale,535.2077,2276,1218132.73,116898.34
BLK,,2019-10-24,Gift,0.0,3000,0.0,119174.34
BLK,,2019-10-16,Sale,446.739,2000,893478.0,122174.34
BLK,,2019-01-31,"Grant, Award, or Other Acquisition",0.0,6420,0.0,129415.34
BLK,,2019-01-31,Tax Withholding (RSU Vesting),408.33,5241,2140057.53,124174.34
BLK,,2019-01-29,Sale,409.2935,3077,1259396.1,122995.34
BLK,,2019-01-17,"Grant, Award, or Other Acquisition",410.315,4295,1762302.93,126072.34
BLK,,2018-11-26,Sale,419.109,2100,880128.9,122779.0
BLK,,2018-11-26,Gift,0.0,1000,0.0,121779.0
