issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
BLK,,2025-01-31,"Grant, Award, or Other Acquisition",0.0,1499,0.0,20097
BLK,,2025-01-31,Tax Withholding (RSU Vesting),1071.52,892,955795.84,19205
BLK,,2025-01-16,"Grant, Award, or Other Acquisition",0.0,1594,0.0,18598
BLK,,2024-02-23,Exercise or Conversion of Derivative Security,513.5,36059,18516296.5,53063
BLK,,2024-02-23,Sale,816.4104,16469,13445462.88,36594
BLK,,2024-02-23,Sale,817.5559,4300,3515490.37,32294
BLK,,2024-02-23,Sale,818.7876,6867,5622614.45,25427
BLK,,2024-02-23,Sale,819.5569,3497,2865990.48,21930
BLK,,2024-02-23,Sale,820.7357,1802,1478965.73,20128
BLK,,2024-02-23,Sale,821.8197,1276,1048641.94,18852
BLK,,2024-02-23,Sale,823.2181,1848,1521307.05,17004
BLK,,2024-01-31,"Grant, Award, or Other Acquisition",0.0,2873,0.0,17160
BLK,,2024-01-31,Tax Withholding (RSU Vesting),781.73,156,121949.88,17004
BLK,,2024-01-16,"Grant, Award, or Other Acquisition",0.0,1128,0.0,14287
BLK,,2023-01-31,"Grant, Award, or Other Acquisition",0.0,5381,0.0,14372
BLK,,2023-01-31,Tax Withholding (RSU Vesting),747.86,1213,907154.18,13159
BLK,,2023-01-17,"Grant, Award, or Other Acquisition",743.61,672,499705.92,8991
BLK,,2022-11-11,Sale,773.4067,3950,3054956.46,8319
BLK,,2022-01-31,"Grant, Award, or Other Acquisition",0.0,5155,0.0,14570
BLK,,2022-01-31,Tax Withholding (RSU Vesting),808.14,2301,1859530.14,12269
BLK,,2022-01-18,"Grant, Award, or Other Acquisition",832.07,2856,2376391.92,9415
BLK,,2021-04-20,Sale,808.0,4416,3568128.0,6559
BLK,,2021-01-31,"Grant, Award, or Other Acquisition",0.0,2757,0.0,13124
BLK,,2021-01-31,Tax Withholding (RSU Vesting),701.26,2149,1507007.74,10975
BLK,,2021-01-15,"Grant, Award, or Other Acquisition",739.22,1850,1367557.0,10367
BLK,,2020-05-07,Sale,498.2534,739,368209.26,10778
BLK,,2020-05-07,Sale,499.6611,2261,1129733.75,8517
BLK,,2020-01-31,"Grant, Award, or Other Acquisition",0.0,5354,0.0,14906
BLK,,2020-01-31,Tax Withholding (RSU Vesting),539.69,3389,1829009.41,11517
BLK,,2020-01-16,"Grant, Award, or Other Acquisition",533.58,1509,805172.22,9552
BLK,,2019-02-13,Sale,426.7,3863,1648342.1,8043
BLK,,2019-01-31,"Grant, Award, or Other Acquisition",0.0,5944,0.0,15615
BLK,,2019-01-31,Tax Withholding (RSU Vesting),408.33,3709,1514495.97,11906
BLK,,2019-01-17,"Grant, Award, or Other Acquisition",410.315,2108,864944.02,9671
BLK,,2018-01-31,"Grant, Award, or Other Acquisition",0.0,5095,0.0,10992
BLK,,2018-01-31,Tax Withholding (RSU Vesting),562.29,3429,1928092.41,7563
BLK,,2018-01-16,"Grant, Award, or Other Acquisition",0.0,1814,0.0,5897
