issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
BLK,,2024-12-06,Exercise or Conversion of Derivative Security,513.5,36190,18583565.0,42670
BLK,,2024-12-06,Sale,1041.4075,1333,1388196.2,41337
BLK,,2024-12-06,Sale,1043.3245,9373,9779080.54,31964
BLK,,2024-12-06,Sale,1044.8981,4068,4250645.47,27896
BLK,,2024-12-06,Sale,1045.8736,5495,5747075.43,22401
BLK,,2024-12-06,Sale,1046.6422,4132,4324725.57,18269
BLK,,2024-12-06,Sale,1047.8276,4223,4424975.95,14046
BLK,,2024-12-06,Sale,1048.9565,7566,7936404.88,6480
BLK,,2024-08-30,Exercise or Conversion of Derivative Security,513.5,12000,6162000.0,18480
BLK,,2024-08-30,Sale,900.0,12000,10800000.0,6480
BLK,,2024-08-15,Exercise or Conversion of Derivative Security,0.0,12000,0.0,18480
BLK,,2024-08-15,Sale,875.0346,12000,10500415.2,6480
BLK,,2024-08-12,Exercise or Conversion of Derivative Security,0.0,11061,0.0,17541
BLK,,2024-08-12,Sale,850.3279,4641,3946371.78,12900
BLK,,2024-08-12,Sale,851.3759,1345,1145100.59,11555
BLK,,2024-08-12,Sale,852.0918,275,234325.24,11280
BLK,,2024-08-12,Sale,854.14,800,683312.0,10480
BLK,,2024-08-12,Sale,856.355,4000,3425420.0,6480
BLK,,2024-08-13,Exercise or Conversion of Derivative Security,0.0,939,0.0,7419
BLK,,2024-08-13,Sale,850.0,939,798150.0,6480
BLK,,2024-07-16,Exercise or Conversion of Derivative Security,513.5,27000,13864500.0,33480
BLK,,2024-07-16,Sale,833.9227,7935,6617176.62,25545
BLK,,2024-07-16,Sale,834.5795,18065,15076678.67,7480
BLK,,2024-07-16,Sale,835.54,1000,835540.0,6480
BLK,,2024-05-10,Exercise or Conversion of Derivative Security,513.5,9000,4621500.0,15480
BLK,,2024-05-10,Sale,795.0,9000,7155000.0,6480
BLK,,2024-02-23,Sale,821.694,240,197206.56,6480
BLK,,2024-02-05,Gift,0.0,1139,0.0,6720
BLK,,2024-01-31,"Grant, Award, or Other Acquisition",0.0,5546,0.0,14178
BLK,,2024-01-31,Tax Withholding (RSU Vesting),781.73,3819,2985426.87,10359
BLK,,2024-02-02,Sale,788.7317,2500,1971829.25,7859
BLK,,2024-01-16,"Grant, Award, or Other Acquisition",0.0,2472,0.0,8632
BLK,,2023-07-18,Sale,733.823,2079,1525618.02,6160
