,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Close,High,Low,Open,Volume
0,0,0,0,0,0,2024-09-26,935.258056640625,942.9081871792978,929.705961475584,935.2382439091434,459400
1,1,1,1,1,1,2024-09-27,935.4461059570312,940.5329644123711,932.3681860089016,935.7033694455816,472500
2,2,2,2,2,2,2024-09-30,939.70166015625,941.4434891855798,926.3014884310963,934.5355508576844,362200
3,3,3,3,3,3,2024-10-01,924.3716430664062,935.554902594461,909.467214470968,935.554902594461,543800
4,4,4,4,4,4,2024-10-02,947.3616943359376,947.3914134329,923.362194636124,930.1612233269556,368200
5,5,5,5,5,5,2024-10-03,941.6611938476562,948.7274528592526,939.681853647523,943.7197245691024,511100
6,6,6,6,6,6,2024-10-04,939.3849487304688,950.8156261110022,921.4125665968136,950.8156261110022,491700
7,7,7,7,7,7,2024-10-07,930.9529418945312,946.9361379283054,928.2709746233104,942.1659208702968,561400
8,8,8,8,8,8,2024-10-08,939.2661743164062,945.491177269491,932.5463363316233,941.7205367441366,389000
9,9,9,9,9,9,2024-10-09,946.04541015625,953.0028198437486,938.1874272700112,940.1865801699716,573200
10,10,10,10,10,10,2024-10-10,945.7188720703124,953.3789089360964,943.7691905739484,945.1349401365718,564400
11,11,11,11,11,11,2024-10-11,980.0307006835938,985.9983798409402,953.2007593776714,953.2601371661392,927500
12,12,12,12,12,12,2024-10-14,981.4755859375,991.1051169224128,978.9717520373788,988.8486401384288,768400
13,13,13,13,13,13,2024-10-15,996.5977783203124,1005.9501727300714,985.8301629336936,987.6907475309552,618800
14,14,14,14,14,14,2024-10-16,1005.2573852539062,1008.6915114423692,993.7772364707128,993.7772364707128,547100
15,15,15,15,15,15,2024-10-17,992.144287109375,1021.339555408354,991.293185310322,1013.0263023071158,684700
16,16,16,16,16,16,2024-10-18,996.6176147460938,999.0521645607448,988.0668504878964,999.0521645607448,505400
17,17,17,17,17,17,2024-10-21,990.1946411132812,998.1614732324798,986.9089291759708,994.6184374078096,311200
18,18,18,18,18,18,2024-10-22,990.4716796875,993.5000676223664,980.5551664633824,986.809888423921,504400
19,19,19,19,19,19,2024-10-23,977.9523315429688,998.2208152734996,972.5190526248092,986.7505127982006,441400
20,20,20,20,20,20,2024-10-24,973.8353271484376,981.7824066274352,973.0732618820498,980.8025825400798,353600
21,21,21,21,21,21,2024-10-25,964.0079345703124,977.1507217199816,958.9408286325285,977.1507217199816,433500
22,22,22,22,22,22,2024-10-28,976.0324096679688,979.2290851420393,968.8969269597624,971.856030871702,329400
23,23,23,23,23,23,2024-10-29,973.013916015625,979.5457747889452,969.0156706365632,974.8250291760306,269500
24,24,24,24,24,24,2024-10-30,969.748046875,987.690770820577,968.847473652006,975.3397071642588,427900
25,25,25,25,25,25,2024-10-31,970.8960571289062,975.8839725327512,959.5246972921516,960.1382879027752,607800
26,26,26,26,26,26,2024-11-01,974.9042358398438,981.7230168990428,970.1042996277062,973.8353752220244,792000
27,27,27,27,27,27,2024-11-04,981.2578735351562,981.7626149351556,965.9674588862772,969.0255659779198,512500
28,28,28,28,28,28,2024-11-05,1003.871826171875,1007.177350832558,981.7527239424976,981.7527239424976,424800
29,29,29,29,29,29,2024-11-06,1019.1820068359376,1046.5860346615318,989.670097679251,1035.45224606264,1266900
30,30,30,30,30,30,2024-11-07,1025.357666015625,1034.1557269286266,1021.7354396080984,1029.2470018714068,528700
31,31,31,31,31,31,2024-11-08,1028.5443115234375,1039.5889422231778,1025.961287207724,1030.2267022731978,454500
32,32,32,32,32,32,2024-11-11,1042.953857421875,1057.3040732260797,1036.6793830968566,1037.9956007792618,681500
33,33,33,33,33,33,2024-11-12,1025.64453125,1046.1603720388916,1022.9130322496652,1043.310117465035,489900
34,34,34,34,34,34,2024-11-13,1020.3300170898438,1032.8691802163405,1015.579673296939,1027.643693315745,408800
35,35,35,35,35,35,2024-11-14,1036.263671875,1047.9517331473514,1026.4857269541717,1029.9594784924484,1048700
36,36,36,36,36,36,2024-11-15,1036.55078125,1041.6377001271044,1024.318473152452,1027.7625058156314,583400
37,37,37,37,37,37,2024-11-18,1039.1239013671875,1042.3403292400549,1026.6838011811606,1027.8515442633095,563200
38,38,38,38,38,38,2024-11-19,1017.4896850585938,1033.5224127394586,1016.9750372907336,1031.236216880542,673500
39,39,39,39,39,39,2024-11-20,1014.0853271484376,1025.990966898032,1007.4841839449796,1021.6859260302728,593700
40,40,40,40,40,40,2024-11-21,1017.380859375,1028.6928417360273,1014.0159568844604,1024.0413197960836,473100
