date,stock_ticker,issuerTradingSymbol,price,insider_name,insider_cik,relationship,transaction_type,shares,value,shares_total,xml_link
2024-08-30,BLK,BLK,513.5,Wiedman Mark,1469164,,Exercise or Conversion of Derivative Security,12000,6162000.0,18480.0,https://www.sec.gov/Archives/edgar/data/1364742/000112760224023248/form4.xml
2024-08-30,BLK,BLK,900.0,Wiedman Mark,1469164,,Sale,12000,10800000.0,6480.0,https://www.sec.gov/Archives/edgar/data/1364742/000112760224023248/form4.xml
2024-08-29,BLK,BLK,513.5,Kushel J. Richard,1059240,,Exercise or Conversion of Derivative Security,14000,7189000.0,81107.34,https://www.sec.gov/Archives/edgar/data/1059240/000112760224023247/form4.xml
2024-08-29,BLK,BLK,885.385,Kushel J. Richard,1059240,,Sale,96,84996.96,81011.34,https://www.sec.gov/Archives/edgar/data/1059240/000112760224023247/form4.xml
2024-08-29,BLK,BLK,886.6348,Kushel J. Richard,1059240,,Sale,258,228751.78,80753.34,https://www.sec.gov/Archives/edgar/data/1059240/000112760224023247/form4.xml
2024-08-29,BLK,BLK,888.0413,Kushel J. Richard,1059240,,Sale,390,346336.11,80363.34,https://www.sec.gov/Archives/edgar/data/1059240/000112760224023247/form4.xml
2024-08-29,BLK,BLK,888.8866,Kushel J. Richard,1059240,,Sale,12226,10867527.57,68137.34,https://www.sec.gov/Archives/edgar/data/1059240/000112760224023247/form4.xml
2024-08-29,BLK,BLK,890.2167,Kushel J. Richard,1059240,,Sale,443,394366.0,67694.34,https://www.sec.gov/Archives/edgar/data/1059240/000112760224023247/form4.xml
2024-08-29,BLK,BLK,890.8619,Kushel J. Richard,1059240,,Sale,587,522935.94,67107.34,https://www.sec.gov/Archives/edgar/data/1059240/000112760224023247/form4.xml
2024-08-15,BLK,BLK,875.0346,Wiedman Mark,1469164,,Sale,12000,10500415.2,6480.0,https://www.sec.gov/Archives/edgar/data/1364742/000112760224022379/form4.xml
2024-08-12,BLK,BLK,850.3279,Wiedman Mark,1469164,,Sale,4641,3946371.78,12900.0,https://www.sec.gov/Archives/edgar/data/1364742/000112760224022217/form4.xml
2024-08-12,BLK,BLK,851.3759,Wiedman Mark,1469164,,Sale,1345,1145100.59,11555.0,https://www.sec.gov/Archives/edgar/data/1364742/000112760224022217/form4.xml
2024-08-12,BLK,BLK,852.0918,Wiedman Mark,1469164,,Sale,275,234325.24,11280.0,https://www.sec.gov/Archives/edgar/data/1364742/000112760224022217/form4.xml
2024-08-12,BLK,BLK,854.14,Wiedman Mark,1469164,,Sale,800,683312.0,10480.0,https://www.sec.gov/Archives/edgar/data/1364742/000112760224022217/form4.xml
2024-08-12,BLK,BLK,856.355,Wiedman Mark,1469164,,Sale,4000,3425420.0,6480.0,https://www.sec.gov/Archives/edgar/data/1364742/000112760224022217/form4.xml
2024-08-13,BLK,BLK,850.0,Wiedman Mark,1469164,,Sale,939,798150.0,6480.0,https://www.sec.gov/Archives/edgar/data/1364742/000112760224022217/form4.xml
2024-08-06,BLK,BLK,840.3562,FINK LAURENCE,1059245,,Sale,13293,11170854.97,369875.0,https://www.sec.gov/Archives/edgar/data/1059245/000112760224021912/form4.xml
2024-08-06,BLK,BLK,841.2842,FINK LAURENCE,1059245,,Sale,1900,1598439.98,367975.0,https://www.sec.gov/Archives/edgar/data/1059245/000112760224021912/form4.xml
