name,position,age,directorClass,qualificationsAndExperience,committeeMemberships
Barbara J. Desoer,Chair of the Board of Directors,,,"['CEO of Citibank, N.A. from April 2014 to April 2019', 'distinguished career with the Company']","['Technology Committee', 'Executive', 'Nomination', 'Governance and Public Affairs', 'Risk Management']"
Casper W. von Koskull,"Former President and Group Chief Executive Officer, Nordea Bank Abp; Director of Citigroup",64,II,"['Environmental and Sustainability', 'Financial Services', 'International Business or Economics', 'Legal, Regulatory and Compliance']","['Compensation', 'Nomination', 'Governance and Public Affairs', 'Risk Management', 'European Business Leaders’ Convention', 'Advancement of Finnish Securities Markets']"
Diana L. Taylor,"Former Superintendent of Banks, State of New York; Chair; Director of Citigroup",70,I,"['Experienced financial services executive', 'Former regulator', 'Wide-ranging experience in Financial Services', 'Regulatory and Compliance', 'Risk Management', 'Compensation', 'Corporate Governance', 'Sustainability', 'Broad bank regulatory and risk management experience', 'In-depth private equity and fund management experience', 'Investment banking experience']","['CPC', 'NGP', 'RM', 'Audit', 'Compensation', 'Performance Management and Culture', 'Corporate Governance', 'Environmental and Sustainability', 'Legal, Regulatory and Compliance']"
Duncan P. Hennes,"Co-Founder and Partner, Atrevida Partners, LLC; Chair; Director",68,I,"['audit committee financial expert', 'financially literate', 'Co-Founder and Partner at Atrevida Partners, LLC', 'Co-Founder and Partner at Promontory Financial Group', 'Chief Executive Officer at Soros Fund Management', 'Executive Vice President/Treasurer at Bankers Trust Corporation', 'Audit Manager at Arthur Andersen & Co.', 'Expertise in Compensation, Financial Services, Risk Management, Financial Reporting, and Regulatory Compliance', 'Experience in credit and risk management, and personnel matters', 'Certified Public Accountant with audit and financial reporting expertise']","['CPC', 'NGP', 'RM', 'Audit Committee', 'Audit', 'Compensation', 'Performance Management and Culture', 'Nomination', 'Governance and Public Affairs']"
Ellen M. Costello,"Former President and CEO, BMO Financial Corporation, and Former U.S. Country Head, BMO Financial Group; Director of Citigroup",70,I,"['audit committee financial expert', 'financially literate', 'Financial Reporting', 'Financial Services', 'Legal, Regulatory and Compliance', 'Risk Management']","['Audit Committee', 'Compensation', 'Nomination', 'Governance and Public Affairs']"
Gary M. Reiner,"Former Operating Partner, General Atlantic LLC; Director of Citigroup",70,I,"['Experienced executive in Technology, Cybersecurity and Data Management', 'Financial Reporting', 'Compensation', 'Corporate Governance', 'International Business', 'Former Operating Partner at General Atlantic LLC', 'Senior Vice President and Chief Information Officer at General Electric', 'Partner at Boston Consulting Group', 'Extensive experience in managing large multinational operations']","['CPC', 'NGP', 'RM', 'Technology Committee', 'Compensation', 'Nomination', 'Governance and Public Affairs', 'Risk Management', 'Nominating, Governance and Social Responsibility Committee']"
Grace E. Dailey,"Former Senior Deputy Comptroller for Bank Supervision Policy and Chief National Bank Examiner, Office of the Comptroller of the Currency; Director",64,I,"['audit committee financial expert', 'financially literate', 'Experienced former banking regulator', 'Extensive skills and knowledge in Financial Services', 'Financial Reporting', 'Regulatory and Compliance', 'Risk Management', '36 years of experience as a banking regulator']","['Audit Committee', 'Compensation', 'Nomination', 'Governance and Public Affairs']"
James S. Turley,"Former Chairman and CEO, Ernst & Young; Director",69,I,"['audit committee financial expert', 'financially literate', 'Financial Reporting', 'Human Capital Management', 'Legal', 'Regulatory and Compliance', 'Risk Management']","['CPC', 'NGP', 'RM', 'Audit Committee', 'Audit', 'Compensation', 'Performance Management and Culture', 'Risk Management Committee']"
Jane N. Fraser,"Chief Executive Officer, Citigroup Inc.",57,II,"['experienced financial services executive', 'expertise in Financial Services', 'Human Capital Management', 'Regulatory and Compliance', 'International Business', 'leadership experience as President of Citi', 'consumer business experience as CEO of Citi’s Global Consumer Banking', 'experience in global and institutional business operations', 'strategic planning experience as Global Head of Strategy and Mergers & Acquisitions']","['Financial Services Forum (Chair)', 'Council on Foreign Relations (Board Member)', 'Harvard Business School (Board of Dean’s Advisors)', 'Stanford Advisory Board (Member)', 'Business Roundtable (Member)', 'Partnership for New York City (Member)']"
John C. Dugan,"Chair, Citigroup Inc.; Director",69,I,"['audit committee financial expert', 'financially literate', 'Experienced former banking regulator', 'Former law firm partner', 'Expert in Risk Management, Compensation, Financial Services, Corporate Governance, and Legal, Regulatory and Compliance', 'Led agency through financial crisis as Comptroller of the Currency', 'Advised financial institutions on regulatory requirements post-financial crisis', 'Served on Basel Committee on Banking Supervision', 'Chair of Joint Forum of banking, securities, and insurance supervisors', 'Member of Global Advisory Board of Mitsubishi UFJ Financial Group', 'Trustee of the Financial Accounting Foundation']","['CPC', 'NGP', 'RM', 'T', 'Audit Committee', 'Audit', 'Compensation', 'Performance Management and Culture', 'Executive', 'Nomination', 'Governance and Public Affairs', 'Risk Management']"
