issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
C,Officer (Chief Financial Officer),2025-02-13,"Grant, Award, or Other Acquisition",0,51871.5,0.0,275795.96
C,Officer (Chief Financial Officer),2025-02-14,Sale,83.2086,58465,4864790.8,217330.96
C,Officer (Chief Financial Officer),2025-02-14,Gift,0,3073,0.0,214257.96
MSFT,,2025-01-31,"Grant, Award, or Other Acquisition",0,151,0.0,1143
C,Officer (Chief Financial Officer),2025-01-20,Tax Withholding (RSU Vesting),79.99,28711.24,2296612.09,223924.46
MSFT,,2024-12-09,"Grant, Award, or Other Acquisition",0,132,0.0,992
MSFT,,2024-09-06,"Grant, Award, or Other Acquisition",0,146,0.0,860
MSFT,,2024-06-07,"Grant, Award, or Other Acquisition",0,138,0.0,714
C,Officer (Chief Financial Officer),2024-02-15,"Grant, Award, or Other Acquisition",0,68742.1,0.0,252635.70
MSFT,,2024-01-31,"Grant, Award, or Other Acquisition",0,147,0.0,576
C,Officer (Chief Financial Officer),2024-01-20,Tax Withholding (RSU Vesting),51.52,24229.54,1248305.9,183893.60
C,,2023-02-16,"Grant, Award, or Other Acquisition",0.00,76850.54,0.0,208123.14
C,,2023-01-20,Tax Withholding (RSU Vesting),49.37,18124.55,894809.03,131272.6
C,,2022-02-10,"Grant, Award, or Other Acquisition",0.00,52350.75,0.0,149397.15
C,,2022-01-20,Tax Withholding (RSU Vesting),64.24,15042.23,966312.86,97046.4
C,,2021-05-07,Sale,74.0262,15366,1137486.59,112088.63
C,,2021-02-11,"Grant, Award, or Other Acquisition",0.00,50177.56,0.0,127454.63
C,,2021-01-20,Tax Withholding (RSU Vesting),63.69,11297.84,719559.43,77277.07
C,,2020-02-13,"Grant, Award, or Other Acquisition",0.00,38411.26,0.0,88574.91
C,,2020-01-20,Tax Withholding (RSU Vesting),81.12,10764.3968,873207.87,50163.65
PRI,,2019-03-15,Other Acquisition or Disposition (See Footnotes),123.22,3.498,431.02,4456.235
PRI,,2018-12-14,Other Acquisition or Disposition (See Footnotes),103.75,3.047,316.13,4452.737
PRI,,2018-09-14,Other Acquisition or Disposition (See Footnotes),125.25,2.519,315.5,4449.69
PRI,,2018-06-15,Other Acquisition or Disposition (See Footnotes),101.10,3.113,314.72,4447.171
PRI,,2018-06-14,Gift,0,1000,0.0,4444.058
PRI,,2018-05-16,"Grant, Award, or Other Acquisition",94.80,1054,99919.2,5444.058
PRI,,2018-03-16,Other Acquisition or Disposition (See Footnotes),100.55,3.123,314.02,4390.058
PRI,,2017-12-15,Other Acquisition or Disposition (See Footnotes),101.65,2.466,250.67,4386.935
PRI,,2017-09-15,Other Acquisition or Disposition (See Footnotes),75.15,3.327,250.02,4384.469
PRI,,2017-06-15,Other Acquisition or Disposition (See Footnotes),75.40,3.142,236.91,4381.142
PRI,,2017-05-17,"Grant, Award, or Other Acquisition",80.15,1247,99947.05,4378
PRI,,2012-05-16,"Grant, Award, or Other Acquisition",23.95,3131,74987.45,3131
PRI,,2011-12-19,Sale,21.677,8081542,175183585.93,0
PRI,,2011-11-15,Disposition to the Issuer (Shares returned to company),22.42,8920606,199999986.52,8081542
PRI,,2011-04-20,Sale,21.7263,12000000,260715600.0,17002148
PRI,,2010-04-15,Sale,,16412440,,29002148
PRI,,2010-04-07,Sale,13.95,24564000,342667800.0,45414588
