ate,stock_ticker,issuerTradingSymbol,price,insider_name,insider_cik,relationship,transaction_type,shares,value,shares_total,xml_link
2025-02-20,C,C,83.94,Turek Zdenek,1837361,Officer (Chief Risk Officer),Tax Withholding (RSU Vesting),6640.58,557410.29,227888.32,https://www.sec.gov/Archives/edgar/data/831001/000095017025025607/ownership.xml
2025-02-20,C,C,83.94,Torres Cantu Ernesto,1792762,Officer (Head of International),Tax Withholding (RSU Vesting),791.44,66433.47,164769.07,https://www.sec.gov/Archives/edgar/data/831001/000095017025025605/ownership.xml
2025-02-20,C,C,83.94,Sieg Andrew M.,1766798,Officer (Head of Wealth),Tax Withholding (RSU Vesting),40726.99,3418623.54,297251.59,https://www.sec.gov/Archives/edgar/data/831001/000095017025025595/ownership.xml
2025-02-20,C,C,83.94,MORTON ANDREW JOHN,1994231,Officer (Head of Markets),Tax Withholding (RSU Vesting),89444.99,7508012.46,411174.19,https://www.sec.gov/Archives/edgar/data/831001/000095017025025593/ownership.xml
2025-02-20,C,C,83.94,Livingstone David,1770460,Officer (Chief Client Officer),Tax Withholding (RSU Vesting),12648.16,1061686.55,437325.95,https://www.sec.gov/Archives/edgar/data/831001/000095017025025588/ownership.xml
2025-02-20,C,C,83.94,Livingstone David,1770460,Officer (Chief Client Officer),Tax Withholding (RSU Vesting),958.06,80419.56,438405.95,https://www.sec.gov/Archives/edgar/data/831001/000095017025025588/ownership.xml
2025-02-13,C,C,81.01,Wechter Sara,1745277,Officer (Chief Human Resources Officer),Sale,14313.0,1159496.13,110592.36,https://www.sec.gov/Archives/edgar/data/831001/000095017025022366/ownership.xml
2025-02-13,C,C,81.02,Wechter Sara,1745277,Officer (Chief Human Resources Officer),Sale,812.0,65788.24,109780.36,https://www.sec.gov/Archives/edgar/data/831001/000095017025022366/ownership.xml
2025-02-13,C,C,81.27,Torres Cantu Ernesto,1792762,Officer (Head of International),Tax Withholding (RSU Vesting),6266.18,509252.45,252703.07,https://www.sec.gov/Archives/edgar/data/831001/000095017025022362/ownership.xml
2025-02-14,C,C,82.41,Skyler Edward,1810396,Officer (Hd of Ent Svc & Public Affairs),Sale,35545.0,2929263.45,204726.51,https://www.sec.gov/Archives/edgar/data/831001/000095017025022359/ownership.xml
2025-02-13,C,C,81.0947,Selvakesari Anand,1836808,Officer (Chief Operating Officer),Sale,23248.0,1885289.59,235931.69,https://www.sec.gov/Archives/edgar/data/831001/000095017025022353/ownership.xml
2025-02-13,C,C,81.14,Selvakesari Anand,1836808,Officer (Chief Operating Officer),Sale,6752.0,547857.28,229179.69,https://www.sec.gov/Archives/edgar/data/831001/000095017025022353/ownership.xml
