Date,Action,Analyst,Rating Change,Price Target Change
2022-01-10,Initiated,Wolfe Research,Outperform,$35
2022-09-22,Initiated,MoffettNathanson,Buy,$40
2023-03-03,Upgrade,Goldman,Neutral → Buy,$16 → $27
2023-03-23,Downgrade,Morgan Stanley,Overweight → Equal-Weight,$18 → $19
2023-04-21,Initiated,Truist,Hold,$20
2023-10-25,Initiated,FBN Securities,Outperform,$30
2024-04-18,Initiated,Loop Capital,Buy,$42
2024-06-20,Initiated,BofA Securities,Buy,$37
2024-10-08,Initiated,Exane BNP Paribas,Neutral,$46
2024-10-22,Initiated,Craig Hallum,Hold,$48
2025-02-03,Initiated,Berenberg,Hold,$57
2025-02-26,Initiated,Raymond James,Mkt Perform,
2025-03-10,Upgrade,BMO Capital Markets,Market Perform → Outperform,$48
2025-03-10,Upgrade,Piper Sandler,Neutral → Overweight,$50
