issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
IOT,"Director, 10% Owner",2025-03-10,Conversion of Security,0.0,219698,0.0,219698
IOT,"Director, 10% Owner",2025-03-10,Conversion of Security,0.0,73233,0.0,73233
IOT,"Director, 10% Owner",2025-03-10,Sale,34.06,169818,5784001.08,49880
IOT,"Director, 10% Owner",2025-03-10,Sale,34.06,56606,1928000.36,16627
IOT,"Director, 10% Owner",2025-03-10,Sale,34.62,49880,1726845.6,0
IOT,"Director, 10% Owner",2025-03-10,Sale,34.62,16627,575626.74,0
IOT,"Director, 10% Owner",2024-12-09,Conversion of Security,0.0,2401999,0.0,2401999
IOT,"Director, 10% Owner",2024-12-09,Conversion of Security,0.0,10949016,0.0,10949016
IOT,"Director, 10% Owner",2024-12-09,Conversion of Security,0.0,994901,0.0,994901
IOT,"Director, 10% Owner",2024-12-09,Other Acquisition or Disposition (See Footnotes),0.0,2401999,0.0,0
IOT,"Director, 10% Owner",2024-12-09,Other Acquisition or Disposition (See Footnotes),0.0,10949016,0.0,0
IOT,"Director, 10% Owner",2024-12-09,Other Acquisition or Disposition (See Footnotes),0.0,994901,0.0,0
IOT,"Director, 10% Owner",2024-12-09,Other Acquisition or Disposition (See Footnotes),0.0,899281,0.0,1748857
IOT,"Director, 10% Owner",2024-12-09,Other Acquisition or Disposition (See Footnotes),0.0,36129,0.0,36129
IOT,"Director, 10% Owner",2024-12-10,Conversion of Security,0.0,76251,0.0,76251
IOT,"Director, 10% Owner",2024-12-10,Sale,45.47,50428,2292961.16,25823
IOT,"Director, 10% Owner",2024-12-10,Sale,46.48,14579,677631.92,11244
IOT,"Director, 10% Owner",2024-12-10,Sale,47.43,11075,525287.25,169
IOT,"Director, 10% Owner",2024-12-10,Sale,48.04,169,8118.76,0
IOT,"Director, 10% Owner",2024-12-10,Sale,45.4,26729,1213496.6,9400
IOT,"Director, 10% Owner",2024-12-10,Sale,46.4,3316,153862.4,6084
IOT,"Director, 10% Owner",2024-12-10,Sale,47.51,5888,279738.88,196
IOT,"Director, 10% Owner",2024-12-10,Sale,48.05,196,9417.8,0
STCB,10% Owner,2024-02-15,Other Acquisition or Disposition (See Footnotes),,31411937,,80041025
