issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-03-25,Sale,42.6678,64926,2770249.58,787819
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-03-25,Sale,43.2337,813,35149.0,787006
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-03-25,Sale,42.6698,6000,256018.8,114000
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-03-25,Sale,42.673,21992,938464.62,518008
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-03-25,Sale,43.2236,280,12102.61,517728
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-03-26,Sale,41.7205,69547,2901535.61,717459
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-03-26,Sale,42.4946,1714,72835.74,715745
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-03-26,Sale,41.4764,3978,164993.12,513750
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-03-26,Sale,42.4693,750,31851.97,513000
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-03-04,Sale,43.6228,38793,1692259.28,913766
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-03-04,Sale,44.532,65344,2909899.01,848422
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-03-04,Sale,45.188,8265,373478.82,840157
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-03-04,Sale,43.5943,5048,220064.03,120952
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-03-04,Sale,44.7105,952,42564.4,120000
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-03-04,Sale,43.6205,12992,566717.54,554008
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-03-04,Sale,44.5357,12188,542801.11,541820
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-03-04,Sale,45.1828,1820,82232.7,540000
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-03-05,Sale,43.7014,23591,1030959.73,816566
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-03-05,Sale,44.1581,1007,44467.21,815559
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-02-25,Sale,48.123,22015,1059427.84,1067544
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-02-25,Sale,48.9935,18293,896238.1,1049251
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-02-25,Sale,49.7645,45391,2258860.42,1003860
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-02-25,Sale,48.2766,2766,133533.08,129234
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-02-25,Sale,49.2671,2957,145682.81,126277
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-02-25,Sale,49.7595,277,13783.38,126000
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-02-25,Sale,48.1476,7616,366692.12,586384
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-02-25,Sale,49.0185,6456,316463.44,579928
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-02-25,Sale,49.7398,12928,643036.13,567000
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-02-26,Sale,50.2439,51301,2577562.31,952559
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-02-11,Sale,55.3023,59358,3282633.92,1167201
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-02-11,Sale,55.251,6000,331506.0,132000
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-02-11,Sale,55.2922,20125,1112755.52,600875
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-02-12,Sale,55.015,5997,329924.96,1161204
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-02-12,Sale,55.767,45453,2534777.45,1115751
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-02-12,Sale,56.2749,3392,190884.46,1112359
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-02-12,Sale,55.0542,2582,142149.94,598293
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-02-12,Sale,55.4849,4293,238196.68,594000
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-02-13,Sale,55.68,22800,1269504.0,1089559
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-01-28,Sale,49.1605,5815,285868.31,1357744
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-01-28,Sale,50.1903,7258,364281.2,1350486
IOT,"Director, Officer (SEE REMARKS), 10% Owner",2025-01-28,Sale,51.2667,39241,2011756.57,1311245
