issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-03-25,Sale,42.671,65186,2781551.81,1428603
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-03-25,Sale,43.2182,555,23986.1,1428048
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-03-25,Sale,42.672,6000,256032.0,114000
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-03-25,Sale,42.6749,22209,947766.85,517791
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-03-25,Sale,43.24,70,3026.8,517721
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-03-26,Sale,41.7222,59351,2476254.29,1368697
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-03-26,Sale,42.5171,1908,81122.63,1366789
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-03-26,Sale,41.4795,4021,166789.07,513700
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-03-26,Sale,42.5136,700,29759.52,513000
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-03-04,Sale,43.641,40214,1754979.17,1404634
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-03-04,Sale,44.5442,64262,2862499.38,1340372
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-03-04,Sale,45.1995,7916,357799.24,1332456
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-03-04,Sale,44.6872,4576,204488.63,121424
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-03-04,Sale,45.2243,1424,64399.4,120000
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-03-04,Sale,43.6202,13272,578927.29,553728
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-03-04,Sale,44.5519,12044,536583.08,541684
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-03-04,Sale,45.1955,1684,76109.22,540000
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-03-05,Sale,43.6707,13508,589903.82,1318948
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-03-05,Sale,44.1514,1100,48566.54,1317848
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-02-25,Sale,48.1392,22626,1089197.54,1549222
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-02-25,Sale,49.0342,18596,911839.98,1530626
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-02-25,Sale,49.7693,44367,2208114.53,1486259
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-02-25,Sale,48.2323,2344,113056.51,129656
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-02-25,Sale,49.1215,2881,141519.04,126775
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-02-25,Sale,49.6366,775,38468.36,126000
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-02-25,Sale,48.1445,7641,367872.12,586359
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-02-25,Sale,48.9878,6023,295053.52,580336
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-02-25,Sale,49.7334,13336,663244.62,567000
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-02-26,Sale,50.2374,41411,2080380.97,1444848
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-02-11,Sale,55.299,59129,3269774.57,1639719
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-02-11,Sale,55.2499,6000,331499.4,132000
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-02-11,Sale,55.2967,20162,1114892.07,600838
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-02-12,Sale,55.0125,6361,349934.51,1633358
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-02-12,Sale,55.7742,45434,2534045.0,1587924
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-02-12,Sale,56.2669,2990,168238.03,1584934
IOT,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",2025-02-12,Sale,55.0783,2599,143148.5,598239
