issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
IOT,Officer (SEE REMARKS),2025-03-10,Sale,33.5214,2716,91044.12,928287
IOT,Officer (SEE REMARKS),2025-03-10,Sale,34.486,2705,93284.63,925582
IOT,Officer (SEE REMARKS),2025-03-10,Sale,35.5897,146,5196.1,925436
IOT,"Officer (PRESIDENT, WORLDWIDE FIELD OPS)",2024-12-23,Sale,45.621,43070,1964896.47,931003
IOT,"Officer (PRESIDENT, WORLDWIDE FIELD OPS)",2024-12-16,Sale,45.4367,19533,887515.06,991936
IOT,"Officer (PRESIDENT, WORLDWIDE FIELD OPS)",2024-12-16,Sale,46.3891,14804,686744.24,977132
IOT,"Officer (PRESIDENT, WORLDWIDE FIELD OPS)",2024-12-16,Sale,47.1024,3059,144086.24,974073
IOT,"Officer (PRESIDENT, WORLDWIDE FIELD OPS)",2024-12-10,Sale,45.486,6785,308622.51,1012880
IOT,"Officer (PRESIDENT, WORLDWIDE FIELD OPS)",2024-12-10,Sale,46.471,1211,56276.38,1011669
IOT,"Officer (PRESIDENT, WORLDWIDE FIELD OPS)",2024-12-10,Sale,47.31,200,9462.0,1011469
IOT,"Officer (PRESIDENT, WORLDWIDE FIELD OPS)",2024-09-16,Sale,45.7115,29087,1329610.4,1064448
IOT,"Officer (PRESIDENT, WORLDWIDE FIELD OPS)",2024-09-16,Sale,46.4187,9468,439492.25,1054980
IOT,"Officer (PRESIDENT, WORLDWIDE FIELD OPS)",2024-09-17,Sale,47.5148,35315,1677985.16,1019665
IOT,"Officer (PRESIDENT, WORLDWIDE FIELD OPS)",2024-09-12,Sale,46.4172,7508,348500.34,1093535
IOT,"Officer (PRESIDENT, WORLDWIDE FIELD OPS)",2024-09-09,Sale,44.4398,43119,1916199.74,1108328
IOT,"Officer (PRESIDENT, WORLDWIDE FIELD OPS)",2024-09-10,Sale,47.2988,7285,344571.76,1101043
CFLT,Director,2024-08-08,Conversion of Security,,9375,,16535
CFLT,Director,2024-08-08,Sale,20.01,9375,187593.75,7160
IOT,"Officer (PRESIDENT, WORLDWIDE FIELD OPS)",2024-06-17,Sale,27.532,35143,967557.08,1154242
IOT,"Officer (PRESIDENT, WORLDWIDE FIELD OPS)",2024-06-17,Sale,28.3404,2795,79211.42,1151447
CFLT,Director,2024-06-12,"Grant, Award, or Other Acquisition",0.0,7160,0.0,7160
IOT,"Officer (PRESIDENT, WORLDWIDE FIELD OPS)",2024-06-10,Sale,30.0142,7604,228227.98,1189385
CFLT,Director,2024-06-03,Sale,25.85,5199,134394.15,200
CFLT,Director,2024-06-03,Sale,26.56,200,5312.0,0
CFLT,Director,2024-05-09,Conversion of Security,,9375,,14774
CFLT,Director,2024-05-09,Sale,31.0,9375,290625.0,5399
IOT,"Officer (PRESIDENT, WORLDWIDE FIELD OPS)",2024-03-26,Sale,39.0,19379,755781.0,1196989
IOT,"Officer (PRESIDENT, WORLDWIDE FIELD OPS)",2024-03-21,Sale,37.2572,19379,722007.28,1216368
IOT,"Officer (PRESIDENT, WORLDWIDE FIELD OPS)",2024-03-15,Sale,34.7908,27943,972159.32,1242916
IOT,"Officer (PRESIDENT, WORLDWIDE FIELD OPS)",2024-03-15,Sale,35.7117,7169,256017.18,1235747
CFLT,Director,2024-03-11,Conversion of Security,,46875,,52274
CFLT,Director,2024-03-11,Sale,31.85,44125,1405381.25,8149
CFLT,Director,2024-03-11,Sale,32.69,2750,89897.5,5399
IOT,"Officer (PRESIDENT, WORLDWIDE FIELD OPS)",2024-03-06,"Grant, Award, or Other Acquisition",0.0,236686,0.0,1270859
IOT,,2023-12-15,Sale,33.5864,19265,647042.0,1088777
IOT,,2023-12-15,Sale,34.2078,17191,588066.29,1071586
IOT,,2023-12-15,Sale,35.111,2000,70222.0,1069586
IOT,,2023-12-19,Sale,34.2744,35413,1213759.33,1034173
IOT,,2023-12-04,Sale,33.21,20540,682133.4,1108042
IOT,,2023-09-29,Sale,25.1287,19800,497548.26,1128582
IOT,,2023-09-15,Sale,27.1613,29929,812910.55,1151982
IOT,,2023-09-15,Sale,27.929,3600,100544.4,1148382
CFLT,,2023-06-06,Sale,36.02,1400,50428.0,11687
CFLT,,2023-06-06,Sale,36.91,6288,232090.08,5399
CFLT,,2023-06-01,"Grant, Award, or Other Acquisition",0.0,5399,0.0,13087
IOT,,2023-05-31,"Grant, Award, or Other Acquisition",0.0,1181911,0.0,1181911
NOW,,2023-05-22,Sale,513.77,267,137176.59,98
NOW,,2023-05-17,Exercise or Conversion of Derivative Security,0.0,134,0.0,351
