issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
IOT,Officer (CHIEF ACCOUNTING OFFICER),2025-03-17,Sale,38.0556,4161,158349.35,173333
IOT,Officer (CHIEF ACCOUNTING OFFICER),2025-03-17,Sale,39.0235,5208,203234.39,168125
IOT,Officer (CHIEF ACCOUNTING OFFICER),2025-03-18,Sale,37.88,3573,135345.24,150265
IOT,Officer (CHIEF ACCOUNTING OFFICER),2025-03-10,Sale,33.4896,421,14099.12,178014
IOT,Officer (CHIEF ACCOUNTING OFFICER),2025-03-10,Sale,34.51,496,17116.96,177518
IOT,Officer (CHIEF ACCOUNTING OFFICER),2025-03-10,Sale,35.48,24,851.52,177494
IOT,Officer (CHIEF ACCOUNTING OFFICER),2024-12-16,Sale,45.4908,7469,339770.79,197905
IOT,Officer (CHIEF ACCOUNTING OFFICER),2024-12-16,Sale,46.4516,4674,217114.78,193231
IOT,Officer (CHIEF ACCOUNTING OFFICER),2024-12-16,Sale,47.1083,996,46919.87,192235
IOT,Officer (CHIEF ACCOUNTING OFFICER),2024-12-17,Sale,47.0219,3050,143416.8,178835
IOT,Officer (CHIEF ACCOUNTING OFFICER),2024-12-17,Sale,47.5475,400,19019.0,178435
IOT,Officer (CHIEF ACCOUNTING OFFICER),2024-12-10,Sale,45.537,1091,49680.87,205514
IOT,Officer (CHIEF ACCOUNTING OFFICER),2024-12-10,Sale,46.5154,140,6512.16,205374
IOT,Officer (CHIEF ACCOUNTING OFFICER),2024-09-16,Sale,45.7178,10338,472630.62,309329
IOT,Officer (CHIEF ACCOUNTING OFFICER),2024-09-16,Sale,46.4206,3209,148963.71,306120
IOT,Officer (CHIEF ACCOUNTING OFFICER),2024-09-17,Sale,46.624,1978,92222.27,304142
IOT,Officer (CHIEF ACCOUNTING OFFICER),2024-09-17,Sale,47.5215,1405,66767.71,302737
IOT,Officer (CHIEF ACCOUNTING OFFICER),2024-09-10,Sale,47.3134,1093,51713.55,319667
IOT,Officer (CHIEF ACCOUNTING OFFICER),2024-06-17,Sale,27.5346,12298,338620.51,325225
IOT,Officer (CHIEF ACCOUNTING OFFICER),2024-06-17,Sale,28.3161,1031,29193.9,324194
IOT,Officer (CHIEF ACCOUNTING OFFICER),2024-06-18,Sale,28.8514,1819,52480.7,322375
IOT,Officer (CHIEF ACCOUNTING OFFICER),2024-06-18,Sale,29.5066,1337,39450.32,321038
IOT,Officer (CHIEF ACCOUNTING OFFICER),2024-06-20,Sale,29.2772,278,8139.06,320760
IOT,Officer (CHIEF ACCOUNTING OFFICER),2024-06-10,Sale,30.0082,1105,33159.06,337523
IOT,Officer (CHIEF ACCOUNTING OFFICER),2024-03-06,"Grant, Award, or Other Acquisition",0.0,35502,0.0,338628
IOT,Officer (CHIEF ACCOUNTING OFFICER),2024-03-15,Sale,35.3071,3733,131801.4,313166
IOT,Officer (CHIEF ACCOUNTING OFFICER),2024-03-15,Sale,35.5622,5981,212697.52,307185
IOT,Officer (CHIEF ACCOUNTING OFFICER),2024-03-19,Sale,35.9075,1600,57452.0,305585
IOT,Officer (CHIEF ACCOUNTING OFFICER),2024-03-19,Sale,36.8305,2459,90566.2,303126
IOT,,2023-12-15,Sale,33.7337,8795,296687.89,323979
IOT,,2023-12-15,Sale,34.3871,4300,147864.53,319679
IOT,,2023-12-15,Sale,35.28,400,14112.0,319279
IOT,,2023-12-19,Sale,34.2171,2380,81436.7,316899
IOT,,2023-09-19,Sale,26.3953,1700,44872.01,333413
IOT,,2023-09-19,Sale,27.0574,639,17289.68,332774
IOT,,2023-09-15,Sale,27.1628,12109,328914.35,336713
IOT,,2023-09-15,Sale,27.9306,1600,44688.96,335113
IOT,,2023-06-15,Sale,29.2413,10431,305016.0,351802
IOT,,2023-06-15,Sale,29.71,100,2971.0,351702
IOT,,2023-06-20,Sale,28.2913,2880,81478.94,348822
IOT,,2023-03-15,Sale,19.3635,7316,141663.37,365362
IOT,,2023-03-17,Sale,19.1069,3129,59785.49,362233
IOT,,2023-03-01,"Grant, Award, or Other Acquisition",0.0,73426,0.0,372678
IOT,,2022-12-19,Sale,12.454,3088,38457.95,299252
IOT,,2022-12-15,Sale,12.3686,7480,92517.13,302340
IOT,,2022-09-15,Sale,12.078,5025,60691.95,312291
IOT,,2022-09-15,Sale,12.6148,2471,31171.17,309820
IOT,,2022-08-29,"Grant, Award, or Other Acquisition",0.0,317316,0.0,317316
VMW,,2022-05-01,Tax Withholding (RSU Vesting),108.04,411,44404.44,20084
VMW,,2022-02-01,Tax Withholding (RSU Vesting),128.47,493,63335.71,20420
VMW,,2021-12-01,Tax Withholding (RSU Vesting),114.0,284,32376.0,20913
VMW,,2021-11-11,Tax Withholding (RSU Vesting),124.18,264,32783.52,21197
VMW,,2021-07-01,Tax Withholding (RSU Vesting),156.13,193,30133.09,18952
VMW,,2021-06-01,Tax Withholding (RSU Vesting),161.26,232,37412.32,19145
VMW,,2021-05-12,"Grant, Award, or Other Acquisition",0.0,5587,0.0,19377
VMW,,2021-05-01,Tax Withholding (RSU Vesting),160.83,432,69478.56,13790
VMW,,2021-01-01,Tax Withholding (RSU Vesting),140.26,235,32961.1,14149
VMW,,2020-12-01,Tax Withholding (RSU Vesting),140.75,232,32654.0,14384
VMW,,2020-07-01,Tax Withholding (RSU Vesting),153.1,198,30313.8,14543
VMW,,2020-05-29,"Grant, Award, or Other Acquisition",0.0,4997,0.0,15057
VMW,,2020-06-01,Tax Withholding (RSU Vesting),154.14,316,48708.24,14741
VMW,,2020-05-01,Tax Withholding (RSU Vesting),125.34,376,47127.84,10060
VMW,,2020-01-01,Tax Withholding (RSU Vesting),151.79,234,35518.86,10363
