date,stock_ticker,issuerTradingSymbol,price,insider_name,insider_cik,relationship,transaction_type,shares,value,shares_total,xml_link
2025-03-25,IOT,IOT,42.671,Biswas Sanjit,0001895111,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",Sale,65186,2781551.81,1428603,https://www.sec.gov/Archives/edgar/data/1642896/000141588925009150/form4-03272025_110305.xml
2025-03-25,IOT,IOT,43.2182,Biswas Sanjit,0001895111,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",Sale,555,23986.1,1428048,https://www.sec.gov/Archives/edgar/data/1642896/000141588925009150/form4-03272025_110305.xml
2025-03-25,IOT,IOT,42.672,Biswas Sanjit,0001895111,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",Sale,6000,256032.0,114000,https://www.sec.gov/Archives/edgar/data/1642896/000141588925009150/form4-03272025_110305.xml
2025-03-25,IOT,IOT,42.6749,Biswas Sanjit,0001895111,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",Sale,22209,947766.85,517791,https://www.sec.gov/Archives/edgar/data/1642896/000141588925009150/form4-03272025_110305.xml
2025-03-25,IOT,IOT,43.24,Biswas Sanjit,0001895111,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",Sale,70,3026.8,517721,https://www.sec.gov/Archives/edgar/data/1642896/000141588925009150/form4-03272025_110305.xml
2025-03-26,IOT,IOT,41.7222,Biswas Sanjit,0001895111,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",Sale,59351,2476254.29,1368697,https://www.sec.gov/Archives/edgar/data/1642896/000141588925009150/form4-03272025_110305.xml
2025-03-26,IOT,IOT,42.5171,Biswas Sanjit,0001895111,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",Sale,1908,81122.63,1366789,https://www.sec.gov/Archives/edgar/data/1642896/000141588925009150/form4-03272025_110305.xml
2025-03-26,IOT,IOT,41.4795,Biswas Sanjit,0001895111,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",Sale,4021,166789.07,513700,https://www.sec.gov/Archives/edgar/data/1642896/000141588925009150/form4-03272025_110305.xml
2025-03-26,IOT,IOT,42.5136,Biswas Sanjit,0001895111,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",Sale,700,29759.52,513000,https://www.sec.gov/Archives/edgar/data/1642896/000141588925009150/form4-03272025_110305.xml
2025-03-25,IOT,IOT,42.6678,Bicket John,0001895106,"Director, Officer (SEE REMARKS), 10% Owner",Sale,64926,2770249.58,787819,https://www.sec.gov/Archives/edgar/data/1642896/000141588925009149/form4-03272025_110333.xml
2025-03-25,IOT,IOT,43.2337,Bicket John,0001895106,"Director, Officer (SEE REMARKS), 10% Owner",Sale,813,35149.0,787006,https://www.sec.gov/Archives/edgar/data/1642896/000141588925009149/form4-03272025_110333.xml
2025-03-25,IOT,IOT,42.6698,Bicket John,0001895106,"Director, Officer (SEE REMARKS), 10% Owner",Sale,6000,256018.8,114000,https://www.sec.gov/Archives/edgar/data/1642896/000141588925009149/form4-03272025_110333.xml
2025-03-25,IOT,IOT,42.673,Bicket John,0001895106,"Director, Officer (SEE REMARKS), 10% Owner",Sale,21992,938464.62,518008,https://www.sec.gov/Archives/edgar/data/1642896/000141588925009149/form4-03272025_110333.xml
2025-03-25,IOT,IOT,43.2236,Bicket John,0001895106,"Director, Officer (SEE REMARKS), 10% Owner",Sale,280,12102.61,517728,https://www.sec.gov/Archives/edgar/data/1642896/000141588925009149/form4-03272025_110333.xml
2025-03-26,IOT,IOT,41.7205,Bicket John,0001895106,"Director, Officer (SEE REMARKS), 10% Owner",Sale,69547,2901535.61,717459,https://www.sec.gov/Archives/edgar/data/1642896/000141588925009149/form4-03272025_110333.xml
2025-03-26,IOT,IOT,42.4946,Bicket John,0001895106,"Director, Officer (SEE REMARKS), 10% Owner",Sale,1714,72835.74,715745,https://www.sec.gov/Archives/edgar/data/1642896/000141588925009149/form4-03272025_110333.xml
2025-03-26,IOT,IOT,41.4764,Bicket John,0001895106,"Director, Officer (SEE REMARKS), 10% Owner",Sale,3978,164993.12,513750,https://www.sec.gov/Archives/edgar/data/1642896/000141588925009149/form4-03272025_110333.xml
2025-03-26,IOT,IOT,42.4693,Bicket John,0001895106,"Director, Officer (SEE REMARKS), 10% Owner",Sale,750,31851.97,513000,https://www.sec.gov/Archives/edgar/data/1642896/000141588925009149/form4-03272025_110333.xml
2025-03-20,IOT,IOT,39.7304,Eltoukhy Adam,0001895101,Officer (SEE REMARKS),Sale,10843,430796.73,272422,https://www.sec.gov/Archives/edgar/data/1642896/000141588925008865/form4-03242025_100338.xml
2025-03-20,IOT,IOT,40.3477,Eltoukhy Adam,0001895101,Officer (SEE REMARKS),Sale,500,20173.85,271922,https://www.sec.gov/Archives/edgar/data/1642896/000141588925008865/form4-03242025_100338.xml
2025-03-17,IOT,IOT,37.9994,Phillips Dominic,0001895148,Officer (SEE REMARKS),Sale,21461,815505.12,671315,https://www.sec.gov/Archives/edgar/data/1642896/000141588925008643/form4-03192025_100352.xml
2025-03-17,IOT,IOT,38.9919,Phillips Dominic,0001895148,Officer (SEE REMARKS),Sale,32673,1273982.35,638642,https://www.sec.gov/Archives/edgar/data/1642896/000141588925008643/form4-03192025_100352.xml
2025-03-17,IOT,IOT,38.0556,Munk James Andrew,0001794991,Officer (CHIEF ACCOUNTING OFFICER),Sale,4161,158349.35,173333,https://www.sec.gov/Archives/edgar/data/1642896/000141588925008638/form4-03192025_100319.xml
2025-03-17,IOT,IOT,39.0235,Munk James Andrew,0001794991,Officer (CHIEF ACCOUNTING OFFICER),Sale,5208,203234.39,168125,https://www.sec.gov/Archives/edgar/data/1642896/000141588925008638/form4-03192025_100319.xml
2025-03-18,IOT,IOT,37.88,Munk James Andrew,0001794991,Officer (CHIEF ACCOUNTING OFFICER),Sale,3573,135345.24,150265,https://www.sec.gov/Archives/edgar/data/1642896/000141588925008638/form4-03192025_100319.xml
2025-03-17,IOT,IOT,38.0141,Eltoukhy Adam,0001895101,Officer (SEE REMARKS),Sale,9222,350566.03,284618,https://www.sec.gov/Archives/edgar/data/1642896/000141588925008635/form4-03192025_100317.xml
2025-03-17,IOT,IOT,39.0079,Eltoukhy Adam,0001895101,Officer (SEE REMARKS),Sale,12696,495244.3,271922,https://www.sec.gov/Archives/edgar/data/1642896/000141588925008635/form4-03192025_100317.xml
2025-03-17,IOT,IOT,38.0325,Chadwick Jonathan,0001375800,Director,Sale,6800,258621.0,389279,https://www.sec.gov/Archives/edgar/data/1375800/000141588925008610/form4-03192025_090304.xml
2025-03-17,IOT,IOT,39.015,Chadwick Jonathan,0001375800,Director,Sale,15700,612535.5,373579,https://www.sec.gov/Archives/edgar/data/1375800/000141588925008610/form4-03192025_090304.xml
2025-03-10,IOT,IOT,33.633,Phillips Dominic,0001895148,Officer (SEE REMARKS),Sale,6867,230957.81,768935,https://www.sec.gov/Archives/edgar/data/1642896/000141588925007911/form4-03122025_110334.xml
2025-03-10,IOT,IOT,34.3385,Phillips Dominic,0001895148,Officer (SEE REMARKS),Sale,13934,478472.66,755001,https://www.sec.gov/Archives/edgar/data/1642896/000141588925007911/form4-03122025_110334.xml
2025-03-10,IOT,IOT,33.4896,Munk James Andrew,0001794991,Officer (CHIEF ACCOUNTING OFFICER),Sale,421,14099.12,178014,https://www.sec.gov/Archives/edgar/data/1642896/000141588925007910/form4-03122025_110349.xml
2025-03-10,IOT,IOT,34.51,Munk James Andrew,0001794991,Officer (CHIEF ACCOUNTING OFFICER),Sale,496,17116.96,177518,https://www.sec.gov/Archives/edgar/data/1642896/000141588925007910/form4-03122025_110349.xml
2025-03-10,IOT,IOT,35.48,Munk James Andrew,0001794991,Officer (CHIEF ACCOUNTING OFFICER),Sale,24,851.52,177494,https://www.sec.gov/Archives/edgar/data/1642896/000141588925007910/form4-03122025_110349.xml
2025-03-10,IOT,IOT,33.5214,Caimi Lara,0001868796,Officer (SEE REMARKS),Sale,2716,91044.12,928287,https://www.sec.gov/Archives/edgar/data/1642896/000141588925007909/form4-03122025_110358.xml
2025-03-10,IOT,IOT,34.486,Caimi Lara,0001868796,Officer (SEE REMARKS),Sale,2705,93284.63,925582,https://www.sec.gov/Archives/edgar/data/1642896/000141588925007909/form4-03122025_110358.xml
2025-03-10,IOT,IOT,35.5897,Caimi Lara,0001868796,Officer (SEE REMARKS),Sale,146,5196.1,925436,https://www.sec.gov/Archives/edgar/data/1642896/000141588925007909/form4-03122025_110358.xml
2025-03-10,IOT,IOT,34.06,"Andreessen Horowitz LSV Fund III, L.P.",0001889367,10% Owner,Sale,169818,5784001.08,49880,https://www.sec.gov/Archives/edgar/data/1642896/000141588925007880/form4-03122025_090345.xml
2025-03-10,IOT,IOT,34.06,"Andreessen Horowitz LSV Fund III, L.P.",0001889367,10% Owner,Sale,56606,1928000.36,16627,https://www.sec.gov/Archives/edgar/data/1642896/000141588925007880/form4-03122025_090345.xml
2025-03-10,IOT,IOT,34.62,"Andreessen Horowitz LSV Fund III, L.P.",0001889367,10% Owner,Sale,49880,1726845.6,0,https://www.sec.gov/Archives/edgar/data/1642896/000141588925007880/form4-03122025_090345.xml
2025-03-10,IOT,IOT,34.62,"Andreessen Horowitz LSV Fund III, L.P.",0001889367,10% Owner,Sale,16627,575626.74,0,https://www.sec.gov/Archives/edgar/data/1642896/000141588925007880/form4-03122025_090345.xml
2025-03-10,IOT,IOT,34.06,"AH Parallel Fund IV, L.P.",0001603197,10% Owner,Sale,169818,5784001.08,49880,https://www.sec.gov/Archives/edgar/data/1603197/000141588925007872/form4-03122025_090345.xml
2025-03-10,IOT,IOT,34.06,"AH Parallel Fund IV, L.P.",0001603197,10% Owner,Sale,56606,1928000.36,16627,https://www.sec.gov/Archives/edgar/data/1603197/000141588925007872/form4-03122025_090345.xml
2025-03-10,IOT,IOT,34.62,"AH Parallel Fund IV, L.P.",0001603197,10% Owner,Sale,49880,1726845.6,0,https://www.sec.gov/Archives/edgar/data/1603197/000141588925007872/form4-03122025_090345.xml
2025-03-10,IOT,IOT,34.62,"AH Parallel Fund IV, L.P.",0001603197,10% Owner,Sale,16627,575626.74,0,https://www.sec.gov/Archives/edgar/data/1603197/000141588925007872/form4-03122025_090345.xml
2025-03-10,IOT,IOT,34.06,"Andreessen Horowitz LSV Fund I, L.P.",0001772284,10% Owner,Sale,169818,5784001.08,49880,https://www.sec.gov/Archives/edgar/data/1166586/000141588925007868/form4-03122025_090349.xml
2025-03-10,IOT,IOT,34.06,"Andreessen Horowitz LSV Fund I, L.P.",0001772284,10% Owner,Sale,56606,1928000.36,16627,https://www.sec.gov/Archives/edgar/data/1166586/000141588925007868/form4-03122025_090349.xml
2025-03-10,IOT,IOT,34.62,"Andreessen Horowitz LSV Fund I, L.P.",0001772284,10% Owner,Sale,49880,1726845.6,0,https://www.sec.gov/Archives/edgar/data/1166586/000141588925007868/form4-03122025_090349.xml
2025-03-10,IOT,IOT,34.62,"Andreessen Horowitz LSV Fund I, L.P.",0001772284,10% Owner,Sale,16627,575626.74,0,https://www.sec.gov/Archives/edgar/data/1166586/000141588925007868/form4-03122025_090349.xml
2025-03-10,IOT,IOT,34.06,Andreessen Marc L,0001160077,"Director, 10% Owner",Sale,169818,5784001.08,49880,https://www.sec.gov/Archives/edgar/data/1160077/000141588925007865/form4-03122025_090346.xml
2025-03-10,IOT,IOT,34.06,Andreessen Marc L,0001160077,"Director, 10% Owner",Sale,56606,1928000.36,16627,https://www.sec.gov/Archives/edgar/data/1160077/000141588925007865/form4-03122025_090346.xml
2025-03-10,IOT,IOT,34.62,Andreessen Marc L,0001160077,"Director, 10% Owner",Sale,49880,1726845.6,0,https://www.sec.gov/Archives/edgar/data/1160077/000141588925007865/form4-03122025_090346.xml
2025-03-10,IOT,IOT,34.62,Andreessen Marc L,0001160077,"Director, 10% Owner",Sale,16627,575626.74,0,https://www.sec.gov/Archives/edgar/data/1160077/000141588925007865/form4-03122025_090346.xml
2025-03-07,IOT,IOT,35.0834,Eltoukhy Adam,0001895101,Officer (SEE REMARKS),Sale,11237,394232.17,350911,https://www.sec.gov/Archives/edgar/data/1642896/000141588925007688/form4-03112025_090320.xml
2025-03-07,IOT,IOT,35.8656,Eltoukhy Adam,0001895101,Officer (SEE REMARKS),Sale,14637,524964.79,336274,https://www.sec.gov/Archives/edgar/data/1642896/000141588925007688/form4-03112025_090320.xml
2025-03-07,IOT,IOT,36.8515,Eltoukhy Adam,0001895101,Officer (SEE REMARKS),Sale,2032,74882.25,334242,https://www.sec.gov/Archives/edgar/data/1642896/000141588925007688/form4-03112025_090320.xml
2025-03-07,IOT,IOT,37.8554,Eltoukhy Adam,0001895101,Officer (SEE REMARKS),Sale,1836,69502.51,332406,https://www.sec.gov/Archives/edgar/data/1642896/000141588925007688/form4-03112025_090320.xml
2025-03-07,IOT,IOT,38.7615,Eltoukhy Adam,0001895101,Officer (SEE REMARKS),Sale,1300,50389.95,331106,https://www.sec.gov/Archives/edgar/data/1642896/000141588925007688/form4-03112025_090320.xml
2025-03-10,IOT,IOT,33.5065,Eltoukhy Adam,0001895101,Officer (SEE REMARKS),Sale,1773,59407.02,323066,https://www.sec.gov/Archives/edgar/data/1642896/000141588925007688/form4-03112025_090320.xml
2025-03-10,IOT,IOT,34.4278,Eltoukhy Adam,0001895101,Officer (SEE REMARKS),Sale,1938,66721.08,321128,https://www.sec.gov/Archives/edgar/data/1642896/000141588925007688/form4-03112025_090320.xml
2025-03-10,IOT,IOT,35.62,Eltoukhy Adam,0001895101,Officer (SEE REMARKS),Sale,192,6839.04,320936,https://www.sec.gov/Archives/edgar/data/1642896/000141588925007688/form4-03112025_090320.xml
2025-03-04,IOT,IOT,43.641,Biswas Sanjit,0001895111,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",Sale,40214,1754979.17,1404634,https://www.sec.gov/Archives/edgar/data/1642896/000141588925007293/form4-03062025_110351.xml
2025-03-04,IOT,IOT,44.5442,Biswas Sanjit,0001895111,"Director, Officer (CHIEF EXECUTVE OFFICER), 10% Owner",Sale,64262,2862499.38,1340372,https://www.sec.gov/Archives/edgar/data/1642896/000141588925007293/form4-03062025_110351.xml
