issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
JPM,,2025-02-01,Other Acquisition or Disposition (See Footnotes),1.0000,51000.0000,51000.0,0.0000
JPM,,2025-02-18,Sale,278.3724,5277.0000,1468971.15,594354.0000
JPM,,2025-01-16,Sale,253.9730,5277.0000,1340215.52,599631.0000
JPM,,2025-01-13,Exercise or Conversion of Derivative Security,0,26446.0000,0.0,610244.0000
JPM,,2025-01-13,Exercise or Conversion of Derivative Security,0,19343.0000,0.0,629587.0000
JPM,,2025-01-13,Tax Withholding (RSU Vesting),241.7700,24679.0000,5966641.83,604908.0000
JPM,,2024-11-14,Gift,0.0000,2100.0000,0.0,583798.0000
JPM,,2024-05-08,Sale,193.6597,15895.0000,3078220.93,585898.0000
JPM,,2024-03-25,Exercise or Conversion of Derivative Security,0,71118.8151,0.0,641121.8151
JPM,,2024-03-25,Tax Withholding (RSU Vesting),195.6500,39328.8151,7694682.67,601793.0000
JPM,,2024-02-16,Sale,178.9914,4814.0000,861664.6,570003.0000
