Date,Action,Analyst,Rating Change,Price Target Change
2024-06-12,Reiterated,BMO Capital Markets,Market Perform,$450
2024-07-01,Reiterated,Raymond James,Strong Buy,$550 → $600
2024-07-08,Reiterated,Wells Fargo,Overweight,$593 → $625
2024-07-10,Reiterated,TD Cowen,Buy,$530 → $600
2024-07-19,Reiterated,Oppenheimer,Outperform,$500 → $525
2024-09-10,Initiated,DA Davidson,Buy,$600
2024-10-11,Initiated,Scotiabank,Sector Perform,
2024-10-31,Reiterated,Monness Crespi & Hardt,Buy,$620 → $660
2024-10-31,Reiterated,Pivotal Research Group,Buy,$780 → $800
2025-01-03,Reiterated,Wolfe Research,Outperform,$670 → $730
2025-01-06,Reiterated,Jefferies,Buy,$675 → $715
2025-01-22,Reiterated,Cantor Fitzgerald,Overweight,$730 → $720
2025-01-23,Reiterated,BofA Securities,Buy,$660 → $710
2025-01-30,Upgrade,The Benchmark Company,Hold → Buy,$820
