issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
META,,2025-02-15,Conversion of Security,0.0,5479,0.0,5479
META,,2025-02-15,Conversion of Security,0.0,4720,0.0,10199
META,,2025-02-15,Sale,736.67,5060,3727550.2,5139
META,,2025-02-15,Exercise or Conversion of Derivative Security,0.0,5471,0.0,10610
META,,2025-02-15,Exercise or Conversion of Derivative Security,0.0,6791,0.0,17401
META,,2025-02-15,Tax Withholding (RSU Vesting),736.67,6080,4478953.6,11321
META,,2024-11-15,Conversion of Security,0.0,5478,0.0,8902
META,,2024-11-15,Conversion of Security,0.0,4720,0.0,13622
META,,2024-11-15,Sale,577.16,5057,2918698.12,8565
META,,2024-11-15,Exercise or Conversion of Derivative Security,0.0,5470,0.0,14035
META,,2024-11-15,Exercise or Conversion of Derivative Security,0.0,6791,0.0,20826
META,,2024-11-15,Tax Withholding (RSU Vesting),577.16,6080,3509132.8,14746
META,,2024-11-18,Sale,552.5311,3056,1688535.04,11690
META,,2024-11-18,Sale,553.2665,6981,3862353.44,4709
META,,2024-11-18,Sale,554.3819,3649,2022939.55,1060
META,,2024-11-18,Sale,555.273,1060,588589.38,0
META,,2024-08-15,Conversion of Security,0.0,5478,0.0,12326
META,,2024-08-15,Conversion of Security,0.0,4721,0.0,17047
META,,2024-08-15,Sale,526.76,5057,2663825.32,11990
META,,2024-08-15,Exercise or Conversion of Derivative Security,0.0,5470,0.0,17460
META,,2024-08-15,Exercise or Conversion of Derivative Security,0.0,6791,0.0,24251
META,,2024-08-15,Tax Withholding (RSU Vesting),526.76,6080,3202700.8,18171
META,,2024-08-16,Sale,528.919,2991,1581996.73,15180
META,,2024-08-16,Sale,530.061,2149,1139101.09,13031
META,,2024-08-16,Sale,531.1591,2211,1174392.77,10820
META,,2024-08-16,Sale,532.031,5081,2703249.51,5739
META,,2024-08-16,Sale,532.8525,2315,1233553.54,3424
META,,2024-08-16,Gift,0.0,2100,0.0,66329
META,,2024-05-15,Conversion of Security,0.0,5479,0.0,15750
META,,2024-05-15,Conversion of Security,0.0,4720,0.0,20470
META,,2024-05-15,Sale,471.85,5058,2386617.3,15412
META,,2024-05-15,Exercise or Conversion of Derivative Security,0.0,5470,0.0,20882
META,,2024-05-15,Exercise or Conversion of Derivative Security,0.0,6791,0.0,27673
