issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
META,,2025-02-28,Sale,643.56,400,257424.0,308286
META,,2025-02-28,Sale,644.7733,300,193431.99,307986
META,,2025-02-28,Sale,646.0725,200,129214.5,307786
META,,2025-02-28,Sale,647.3301,531,343732.28,307255
META,,2025-02-28,Sale,648.0601,709,459474.61,306546
META,,2025-02-28,Sale,649.5151,734,476744.08,305812
META,,2025-02-28,Sale,650.5445,1310,852213.29,304502
META,,2025-02-28,Sale,651.5655,1422,926526.14,303080
META,,2025-02-28,Sale,652.7188,2215,1445772.14,300865
META,,2025-02-28,Sale,653.836,4915,3213603.94,295950
META,,2025-02-28,Sale,654.7044,4719,3089550.06,291231
META,,2025-02-28,Sale,655.4444,515,337553.87,290716
META,,2025-02-28,Sale,656.305,200,131261.0,290516
META,,2025-02-28,Sale,658.1134,1830,1204347.52,288686
META,,2025-02-27,Sale,663.3295,626,415244.27,328060
META,,2025-02-27,Sale,664.6714,1400,930539.96,326660
META,,2025-02-27,Sale,665.67,500,332835.0,326160
META,,2025-02-27,Sale,666.9934,301,200765.01,325859
META,,2025-02-27,Sale,668.83,500,334415.0,325359
META,,2025-02-27,Sale,670.2357,1400,938329.98,323959
META,,2025-02-27,Sale,670.9567,600,402574.02,323359
META,,2025-02-27,Sale,672.235,400,268894.0,322959
META,,2025-02-27,Sale,673.92,500,336960.0,322459
META,,2025-02-27,Sale,674.8707,1500,1012306.05,320959
META,,2025-02-27,Sale,676.1299,1440,973627.06,319519
META,,2025-02-27,Sale,677.2133,300,203163.99,319219
META,,2025-02-27,Sale,678.6,600,407160.0,318619
META,,2025-02-27,Sale,680.5986,700,476419.02,317919
META,,2025-02-27,Sale,681.5742,1209,824023.21,316710
META,,2025-02-27,Sale,682.3513,800,545881.04,315910
META,,2025-02-27,Sale,683.8139,1682,1150174.98,314228
META,,2025-02-27,Sale,684.9483,2455,1681548.08,311773
META,,2025-02-27,Sale,685.9773,1887,1294439.17,309886
META,,2025-02-27,Sale,687.0589,900,618353.01,308986
META,,2025-02-27,Sale,688.21,300,206463.0,308686
META,,2025-02-26,Sale,658.8958,1200,790674.96,347486
META,,2025-02-26,Sale,659.6966,3640,2401295.62,343846
META,,2025-02-26,Sale,660.4712,478,315705.23,343368
META,,2025-02-26,Sale,661.8014,474,313693.86,342894
META,,2025-02-26,Sale,662.9283,691,458083.46,342203
META,,2025-02-26,Sale,663.938,2693,1787985.03,339510
META,,2025-02-26,Sale,664.9256,3421,2274710.48,336089
META,,2025-02-26,Sale,665.8164,1409,938135.31,334680
META,,2025-02-26,Sale,666.9412,306,204084.01,334374
META,,2025-02-26,Sale,668.2327,2280,1523570.56,332094
