issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
META,,2025-02-15,Conversion of Security,0.0,2400,0.0,49169
META,,2025-02-15,Conversion of Security,0.0,1888,0.0,51057
META,,2025-02-15,Conversion of Security,0.0,1181,0.0,52238
META,,2025-02-15,Conversion of Security,0.0,4103,0.0,56341
META,,2025-02-15,Sale,736.67,4548,3350375.16,51793
META,,2025-02-15,Exercise or Conversion of Derivative Security,0.0,6791,0.0,58584
META,,2025-02-15,Exercise or Conversion of Derivative Security,0.0,2679,0.0,61263
META,,2025-02-15,Tax Withholding (RSU Vesting),736.67,4696,3459402.32,56567
META,,2025-02-15,Conversion of Security,0.0,3005,0.0,59572
META,,2025-02-15,Conversion of Security,0.0,5471,0.0,65043
META,,2025-02-15,Sale,736.67,4005,2950363.35,61038
META,,2025-02-15,Exercise or Conversion of Derivative Security,0.0,6791,0.0,67829
META,,2025-02-15,Exercise or Conversion of Derivative Security,0.0,2679,0.0,70508
META,,2025-02-15,Tax Withholding (RSU Vesting),736.67,4696,3459402.32,65812
META,,2024-11-15,Conversion of Security,0.0,2399,0.0,49168
META,,2024-11-15,Conversion of Security,0.0,1888,0.0,51056
META,,2024-11-15,Conversion of Security,0.0,1180,0.0,52236
META,,2024-11-15,Conversion of Security,0.0,4103,0.0,56339
META,,2024-11-15,Sale,577.16,4748,2740355.68,51591
META,,2024-11-15,Exercise or Conversion of Derivative Security,0.0,6791,0.0,58382
META,,2024-11-15,Exercise or Conversion of Derivative Security,0.0,2680,0.0,61062
META,,2024-11-15,Tax Withholding (RSU Vesting),577.16,4696,2710343.36,56366
META,,2024-11-15,Conversion of Security,0.0,3005,0.0,59371
META,,2024-11-15,Conversion of Security,0.0,5470,0.0,64841
META,,2024-11-15,Sale,577.16,4203,2425803.48,60638
META,,2024-11-15,Exercise or Conversion of Derivative Security,0.0,6791,0.0,67429
META,,2024-11-15,Exercise or Conversion of Derivative Security,0.0,2680,0.0,70109
META,,2024-11-15,Tax Withholding (RSU Vesting),577.16,4696,2710343.36,65413
META,,2024-11-18,Sale,552.5536,3780,2088652.61,61633
META,,2024-11-18,Sale,553.2981,9166,5071530.38,52467
META,,2024-11-18,Sale,554.3649,4106,2276222.28,48361
META,,2024-11-18,Sale,555.2549,1592,883965.8,46769
META,,2024-10-08,Gift,0.0,22988,0.0,46769
META,,2024-10-08,Gift,0.0,22988,0.0,22988
META,,2024-08-27,Sale,516.1329,1185,611617.49,87214
META,,2024-08-27,Sale,517.0759,2479,1281831.16,84735
META,,2024-08-27,Sale,518.0889,3329,1724717.95,81406
META,,2024-08-27,Sale,519.2885,1878,975223.8,79528
META,,2024-08-27,Sale,519.8567,725,376896.11,78803
META,,2024-08-27,Sale,516.1329,1118,577036.58,77685
META,,2024-08-27,Sale,517.0759,2336,1207889.3,75349
META,,2024-08-27,Sale,518.0889,3138,1625762.97,72211
META,,2024-08-27,Sale,519.2885,1770,919140.65,70441
META,,2024-08-27,Sale,519.8567,684,355581.98,69757
META,,2024-08-27,Sale,516.005,1394,719310.97,12982
META,,2024-08-27,Sale,516.958,3963,2048704.55,9019
META,,2024-08-27,Sale,518.0543,4864,2519816.12,4155
META,,2024-08-27,Sale,519.1433,2738,1421414.36,1417
META,,2024-08-27,Sale,519.7305,1417,736458.12,0
META,,2024-08-15,Conversion of Security,0.0,2399,0.0,72156
META,,2024-08-15,Conversion of Security,0.0,1180,0.0,73336
META,,2024-08-15,Conversion of Security,0.0,1888,0.0,75224
META,,2024-08-15,Conversion of Security,0.0,4102,0.0,79326
META,,2024-08-15,Sale,526.76,4747,2500529.72,74579
META,,2024-08-15,Exercise or Conversion of Derivative Security,0.0,6791,0.0,81370
META,,2024-08-15,Exercise or Conversion of Derivative Security,0.0,2679,0.0,84049
META,,2024-08-15,Tax Withholding (RSU Vesting),526.76,4696,2473664.96,79353
META,,2024-08-15,Conversion of Security,0.0,3005,0.0,82358
META,,2024-08-15,Conversion of Security,0.0,5470,0.0,87828
META,,2024-08-15,Sale,526.76,4203,2213972.28,83625
META,,2024-08-15,Exercise or Conversion of Derivative Security,0.0,6791,0.0,90416
META,,2024-08-15,Exercise or Conversion of Derivative Security,0.0,2679,0.0,93095
META,,2024-08-15,Tax Withholding (RSU Vesting),526.76,4696,2473664.96,88399
META,,2024-05-15,Conversion of Security,0.0,2400,0.0,72157
META,,2024-05-15,Conversion of Security,0.0,1180,0.0,73337
META,,2024-05-15,Conversion of Security,0.0,1888,0.0,75225
META,,2024-05-15,Conversion of Security,0.0,4103,0.0,79328
META,,2024-05-15,Sale,471.85,4748,2240343.8,74580
META,,2024-05-15,Exercise or Conversion of Derivative Security,0.0,6791,0.0,81371
META,,2024-05-15,Exercise or Conversion of Derivative Security,0.0,2679,0.0,84050
