issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
META,,2025-03-18,Sale,600.25,921,552830.25,32103
META,,2025-03-11,Sale,595.0,921,547995.0,33024
META,,2025-03-04,Sale,644.0,921,593124.0,33945
META,,2025-02-25,Sale,665.75,921,613155.75,34866
META,,2025-02-15,Exercise or Conversion of Derivative Security,0.0,2951,0.0,30439
META,,2025-02-15,Exercise or Conversion of Derivative Security,0.0,5471,0.0,35910
META,,2025-02-15,Exercise or Conversion of Derivative Security,0.0,6791,0.0,42701
META,,2025-02-15,Exercise or Conversion of Derivative Security,0.0,2679,0.0,45380
META,,2025-02-15,Tax Withholding (RSU Vesting),736.67,8672,6388402.24,36708
META,,2025-02-18,Sale,736.07,921,677920.47,35787
META,,2025-02-11,Sale,713.32,902,643414.64,27488
META,,2025-02-04,Sale,702.24,905,635527.2,28390
META,,2025-01-28,Sale,666.0,905,602730.0,29295
META,,2025-01-21,Sale,618.0,905,559290.0,30200
META,,2025-01-14,Sale,604.54,905,547108.7,31105
META,,2025-01-07,Sale,631.55,905,571552.75,32010
META,,2024-12-31,Sale,591.76,905,535542.8,32915
META,,2024-12-24,Sale,602.47,905,545235.35,33820
META,,2024-12-17,Sale,626.66,905,567127.3,34725
META,,2024-12-10,Sale,618.0,905,559290.0,35630
META,,2024-12-03,Sale,595.0,905,538475.0,36535
META,,2024-11-26,Sale,565.3,905,511596.5,37790
META,,2024-11-27,Gift,0.0,350,0.0,37440
META,,2024-11-19,Sale,552.3,905,499831.5,38695
META,,2024-11-15,Exercise or Conversion of Derivative Security,0.0,2950,0.0,33531
META,,2024-11-15,Exercise or Conversion of Derivative Security,0.0,5470,0.0,39001
META,,2024-11-15,Exercise or Conversion of Derivative Security,0.0,6791,0.0,45792
META,,2024-11-15,Exercise or Conversion of Derivative Security,0.0,2680,0.0,48472
META,,2024-11-15,Tax Withholding (RSU Vesting),577.16,8872,5120563.52,39600
META,,2024-11-05,Sale,567.7,901,511497.7,30581
META,,2024-10-29,Sale,580.1,905,524990.5,31482
META,,2024-10-22,Sale,574.7,905,520103.5,32387
META,,2024-10-15,Sale,589.97,905,533922.85,33292
META,,2024-10-08,Sale,589.89,905,533850.45,34197
META,,2024-10-01,Sale,578.55,905,523587.75,35102
META,,2024-09-24,Sale,567.0,905,513135.0,36007
META,,2024-09-17,Sale,537.72,905,486636.6,36912
META,,2024-09-10,Sale,507.63,905,459405.15,37817
META,,2024-09-03,Sale,520.0,905,470600.0,38722
META,,2024-08-27,Sale,519.05,905,469740.25,39627
META,,2024-08-20,Sale,528.38,905,478183.9,40532
META,,2024-08-15,Exercise or Conversion of Derivative Security,0.0,2950,0.0,36274
META,,2024-08-15,Exercise or Conversion of Derivative Security,0.0,5470,0.0,41744
META,,2024-08-15,Exercise or Conversion of Derivative Security,0.0,6791,0.0,48535
META,,2024-08-15,Exercise or Conversion of Derivative Security,0.0,2679,0.0,51214
META,,2024-08-15,Tax Withholding (RSU Vesting),526.76,8872,4673414.72,42342
META,,2024-08-16,Sale,531.7148,404,214812.78,41938
META,,2024-08-16,Sale,532.6056,501,266835.41,41437
META,,2024-08-05,Sale,451.1519,901,406487.86,33324
META,,2024-07-30,Sale,467.0,905,422635.0,34225
META,,2024-07-23,Sale,489.8,905,443269.0,35130
META,,2024-07-16,Sale,501.42,905,453785.1,36035
META,,2024-07-09,Sale,533.95,905,483224.75,36940
META,,2024-07-02,Sale,500.57,905,453015.85,37845
META,,2024-06-25,Sale,496.99,905,449775.95,38750
