issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
META,,2025-03-17,Sale,607.5,608,369360.0,7446
META,,2025-03-10,Sale,609.0,608,370272.0,8054
META,,2025-03-03,Sale,673.96,608,409767.68,8662
META,,2025-02-24,Sale,686.28,608,417258.24,9270
META,,2025-02-15,Conversion of Security,0.0,4721,0.0,20170
META,,2025-02-15,Conversion of Security,0.0,5471,0.0,25641
META,,2025-02-15,Sale,736.67,4706,3466769.02,20935
META,,2025-02-15,Exercise or Conversion of Derivative Security,0.0,6791,0.0,27726
META,,2025-02-15,Exercise or Conversion of Derivative Security,0.0,2679,0.0,30405
META,,2025-02-15,Tax Withholding (RSU Vesting),736.67,4470,3292914.9,25935
META,,2025-02-18,Sale,736.07,608,447530.56,9878
META,,2025-02-03,Sale,676.0,413,279188.0,15449
META,,2025-01-27,Sale,627.59,413,259194.67,15862
META,,2025-01-21,Sale,618.0,413,255234.0,16275
META,,2025-01-13,Sale,606.77,413,250596.01,16688
META,,2025-01-06,Sale,612.1,413,252797.3,17101
META,,2024-12-30,Sale,589.16,413,243323.08,17514
META,,2024-12-23,Sale,590.0,413,243670.0,17927
META,,2024-12-16,Sale,629.56,413,260008.28,18340
META,,2024-12-09,Sale,623.5,413,257505.5,18753
META,,2024-12-02,Sale,577.49,413,238503.37,19166
META,,2024-11-25,Sale,562.77,413,232424.01,19579
META,,2024-11-15,Conversion of Security,0.0,4720,0.0,15014
META,,2024-11-15,Conversion of Security,0.0,5470,0.0,20484
META,,2024-11-15,Sale,577.16,4891,2822889.56,15593
META,,2024-11-15,Exercise or Conversion of Derivative Security,0.0,6791,0.0,22384
META,,2024-11-15,Exercise or Conversion of Derivative Security,0.0,2680,0.0,25064
META,,2024-11-15,Tax Withholding (RSU Vesting),577.16,4452,2569516.32,20612
META,,2024-11-18,Sale,557.0,620,345340.0,19992
META,,2024-11-01,Sale,567.58,413,234410.54,10294
META,,2024-10-25,Sale,574.16,413,237128.08,10707
META,,2024-10-18,Sale,580.65,413,239808.45,11120
META,,2024-10-11,Sale,584.83,413,241534.79,11533
META,,2024-10-04,Sale,583.73,413,241080.49,11946
META,,2024-09-27,Sale,570.0,413,235410.0,12359
META,,2024-09-20,Sale,560.0,413,231280.0,12772
META,,2024-09-13,Sale,520.57,413,214995.41,13185
META,,2024-09-06,Sale,522.0,413,215586.0,13598
META,,2024-08-30,Sale,521.35,413,215317.55,14011
META,,2024-08-23,Sale,536.92,413,221747.96,14424
META,,2024-08-15,Conversion of Security,0.0,4721,0.0,9868
META,,2024-08-15,Conversion of Security,0.0,5470,0.0,15338
META,,2024-08-15,Sale,526.76,4900,2581124.0,10438
META,,2024-08-15,Exercise or Conversion of Derivative Security,0.0,6791,0.0,17229
META,,2024-08-15,Exercise or Conversion of Derivative Security,0.0,2679,0.0,19908
META,,2024-08-15,Tax Withholding (RSU Vesting),526.76,4452,2345135.52,15456
META,,2024-08-16,Sale,531.4,619,328936.6,14837
META,,2024-08-01,Sale,521.48,412,214849.76,5147
META,,2024-07-25,Sale,463.0,412,190756.0,5559
META,,2024-07-18,Sale,474.86,412,195642.32,5971
META,,2024-07-11,Sale,530.81,412,218693.72,6383
META,,2024-07-05,Sale,512.0,412,210944.0,6795
META,,2024-06-27,Sale,514.41,412,211936.92,7207
META,,2024-06-20,Sale,502.0,412,206824.0,7619
META,,2024-06-13,Sale,505.75,412,208369.0,8031
META,,2024-06-06,Sale,492.98,412,203107.76,8443
META,,2024-05-30,Sale,471.67,412,194328.04,14964
