issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
META,,2025-02-21,Conversion of Security,0.0,3523,0.0,3523
META,,2025-02-21,Sale,700.4656,2120,1484987.07,1403
META,,2025-02-21,Sale,701.42,790,554121.8,613
META,,2025-02-21,Sale,702.6593,493,346411.03,120
META,,2025-02-21,Sale,703.775,120,84453.0,0
META,,2025-02-20,Conversion of Security,0.0,3563,0.0,3563
META,,2025-02-20,Sale,700.4072,1500,1050610.8,2063
META,,2025-02-20,Sale,701.9429,843,591737.86,1220
META,,2025-02-20,Sale,702.9673,677,475908.86,543
META,,2025-02-20,Sale,703.8788,400,281551.52,143
META,,2025-02-20,Sale,705.3528,143,100865.45,0
META,,2025-02-19,Conversion of Security,0.0,19668,0.0,19668
META,,2025-02-19,Sale,700.5481,1124,787416.06,18544
META,,2025-02-19,Sale,701.5243,2139,1500560.48,16405
META,,2025-02-19,Sale,702.5037,6248,4389243.12,10157
META,,2025-02-19,Sale,703.6653,4183,2943431.95,5974
META,,2025-02-19,Sale,704.537,4582,3228188.53,1392
META,,2025-02-19,Sale,705.3784,1292,911348.89,100
META,,2025-02-19,Sale,706.28,100,70628.0,0
META,,2025-02-18,Conversion of Security,0.0,19668,0.0,19668
META,,2025-02-18,Sale,707.2662,569,402434.47,19099
META,,2025-02-18,Sale,708.157,2191,1551571.99,16908
META,,2025-02-18,Sale,709.1169,1562,1107640.6,15346
META,,2025-02-18,Sale,710.1818,728,517012.35,14618
META,,2025-02-18,Sale,711.2543,614,436710.14,14004
META,,2025-02-18,Sale,712.5322,611,435357.17,13393
META,,2025-02-18,Sale,713.597,299,213365.5,13094
META,,2025-02-18,Sale,714.8953,490,350298.7,12604
META,,2025-02-18,Sale,716.0533,2202,1576749.37,10402
META,,2025-02-18,Sale,717.2222,2074,1487518.84,8328
META,,2025-02-18,Sale,718.1319,1942,1394612.15,6386
META,,2025-02-18,Sale,719.0095,780,560827.41,5606
META,,2025-02-18,Sale,720.1317,1404,1011064.91,4202
META,,2025-02-18,Sale,721.5872,522,376668.52,3680
META,,2025-02-18,Sale,723.0668,407,294288.19,3273
META,,2025-02-18,Sale,723.9093,680,492258.32,2593
META,,2025-02-18,Sale,725.1156,461,334278.29,2132
META,,2025-02-18,Sale,726.3898,290,210653.04,1842
META,,2025-02-18,Sale,727.4525,294,213871.04,1548
META,,2025-02-18,Sale,728.3278,256,186451.92,1292
META,,2025-02-18,Sale,729.5928,119,86821.54,1173
META,,2025-02-18,Sale,730.9757,108,78945.38,1065
META,,2025-02-18,Sale,732.6025,200,146520.5,865
META,,2025-02-18,Sale,734.2733,356,261401.29,509
META,,2025-02-18,Sale,735.0911,297,218322.06,212
META,,2025-02-18,Sale,736.6139,212,156162.15,0
META,,2025-02-14,Conversion of Security,0.0,19668,0.0,19668
META,,2025-02-14,Sale,726.6768,190,138068.59,19478
META,,2025-02-14,Sale,727.8686,770,560458.82,18708
META,,2025-02-14,Sale,729.0104,1854,1351585.28,16854
META,,2025-02-14,Sale,730.2069,1665,1215794.49,15189
META,,2025-02-14,Sale,731.0162,1775,1297553.76,13414
META,,2025-02-14,Sale,732.0021,970,710042.04,12444
META,,2025-02-14,Sale,733.3187,613,449524.36,11831
META,,2025-02-14,Sale,734.7063,1825,1340839.0,10006
META,,2025-02-14,Sale,735.6316,1430,1051953.19,8576
META,,2025-02-14,Sale,736.6317,2311,1702355.86,6265
META,,2025-02-14,Sale,737.6214,1993,1470079.45,4272
META,,2025-02-14,Sale,738.7666,2753,2033824.45,1519
META,,2025-02-14,Sale,739.8483,1417,1048365.04,102
META,,2025-02-14,Sale,740.7104,102,75552.46,0
META,,2025-02-13,Conversion of Security,0.0,19668,0.0,19668
META,,2025-02-13,Sale,718.8472,1014,728911.06,18654
META,,2025-02-13,Sale,719.9702,870,626374.07,17784
META,,2025-02-13,Sale,720.994,2035,1467222.79,15749
META,,2025-02-13,Sale,721.948,2119,1529807.81,13630
META,,2025-02-13,Sale,723.0294,3327,2405518.81,10303
META,,2025-02-13,Sale,723.9247,2958,2141369.26,7345
META,,2025-02-13,Sale,725.0749,2667,1933774.76,4678
META,,2025-02-13,Sale,725.9622,1213,880592.15,3465
META,,2025-02-13,Sale,727.0729,1525,1108786.17,1940
META,,2025-02-13,Sale,728.1007,1474,1073220.43,466
META,,2025-02-13,Sale,728.8085,466,339624.76,0
META,,2025-02-12,Conversion of Security,0.0,19668,0.0,19668
META,,2025-02-12,Sale,714.15,200,142830.0,19468
META,,2025-02-12,Sale,715.1588,400,286063.52,19068
META,,2025-02-12,Sale,716.3138,1281,917597.98,17787
META,,2025-02-12,Sale,717.2085,705,505631.99,17082
META,,2025-02-12,Sale,718.2781,2158,1550044.14,14924
META,,2025-02-12,Sale,719.3255,2008,1444405.6,12916
META,,2025-02-12,Sale,720.4214,1634,1177168.57,11282
META,,2025-02-12,Sale,721.5466,1262,910591.81,10020
META,,2025-02-12,Sale,722.8897,1685,1218069.14,8335
META,,2025-02-12,Sale,724.0587,2780,2012883.19,5555
META,,2025-02-12,Sale,725.0124,4161,3016776.6,1394
META,,2025-02-12,Sale,725.8338,1094,794062.18,300
META,,2025-02-12,Sale,726.7,300,218010.0,0
META,,2025-02-11,Conversion of Security,0.0,19668,0.0,19668
META,,2025-02-11,Sale,710.21,100,71021.0,19568
META,,2025-02-11,Sale,712.3459,1287,916789.17,18281
META,,2025-02-11,Sale,713.488,1327,946798.58,16954
META,,2025-02-11,Sale,714.5301,2796,1997826.16,14158
META,,2025-02-11,Sale,715.5964,1751,1253009.3,12407
META,,2025-02-11,Sale,716.5988,2537,1818011.16,9870
META,,2025-02-11,Sale,717.6476,2630,1887413.19,7240
META,,2025-02-11,Sale,718.5948,690,495830.41,6550
META,,2025-02-11,Sale,719.767,1144,823413.45,5406
META,,2025-02-11,Sale,720.8125,2306,1662193.62,3100
META,,2025-02-11,Sale,721.8275,1155,833710.76,1945
META,,2025-02-11,Sale,722.7477,1855,1340696.98,90
META,,2025-02-11,Sale,723.54,90,65118.6,0
META,,2025-02-10,Conversion of Security,0.0,30699,0.0,30699
META,,2025-02-10,Sale,712.2012,586,417349.9,30113
META,,2025-02-10,Sale,713.2125,1382,985659.67,28731
META,,2025-02-10,Sale,714.3081,6640,4743005.78,22091
META,,2025-02-10,Sale,715.1348,7419,5305585.08,14672
META,,2025-02-10,Sale,716.1417,5185,3713194.71,9487
META,,2025-02-10,Sale,717.1652,5368,3849742.79,4119
META,,2025-02-10,Sale,718.2201,2809,2017480.26,1310
META,,2025-02-10,Sale,719.2433,1075,773186.55,235
META,,2025-02-10,Sale,720.6479,235,169352.26,0
META,,2025-02-10,Sale,713.045,192,136904.64,145904
META,,2025-02-10,Sale,714.2541,1199,856390.67,144705
META,,2025-02-10,Sale,715.1752,1461,1044870.97,143244
META,,2025-02-10,Sale,716.5189,727,520909.24,142517
META,,2025-02-10,Sale,717.4789,970,695954.53,141547
META,,2025-02-10,Sale,718.7204,472,339236.03,141075
META,,2025-02-10,Sale,720.38,75,54028.5,141000
META,,2025-02-07,Conversion of Security,0.0,42614,0.0,42614
META,,2025-02-07,Sale,713.0223,1180,841366.31,41434
META,,2025-02-07,Sale,714.466,3693,2638522.94,37741
META,,2025-02-07,Sale,715.4152,9300,6653361.36,28441
META,,2025-02-07,Sale,716.245,8105,5805165.72,20336
META,,2025-02-07,Sale,717.3396,5451,3910218.16,14885
META,,2025-02-07,Sale,718.3871,2413,1733468.07,12472
META,,2025-02-07,Sale,719.3602,807,580523.68,11665
META,,2025-02-07,Sale,720.4534,2447,1762949.47,9218
META,,2025-02-07,Sale,721.4864,3133,2260416.89,6085
META,,2025-02-07,Sale,722.373,3326,2402612.6,2759
META,,2025-02-07,Sale,723.4095,2159,1561841.11,600
META,,2025-02-07,Sale,724.2633,600,434557.98,0
META,,2025-02-07,Sale,712.3624,196,139623.03,158875
META,,2025-02-07,Sale,713.6477,397,283318.14,158478
META,,2025-02-07,Sale,714.8156,1708,1220905.04,156770
META,,2025-02-07,Sale,715.8415,3568,2554122.47,153202
META,,2025-02-07,Sale,716.8448,1981,1420069.55,151221
META,,2025-02-07,Sale,717.8867,971,697067.99,150250
META,,2025-02-07,Sale,719.0378,722,519145.29,149528
META,,2025-02-07,Sale,720.0024,485,349201.16,149043
META,,2025-02-07,Sale,721.2609,1216,877053.25,147827
META,,2025-02-07,Sale,722.1388,683,493220.8,147144
META,,2025-02-07,Sale,723.376,784,567126.78,146360
META,,2025-02-07,Sale,724.2785,264,191209.52,146096
META,,2025-02-06,Conversion of Security,0.0,42614,0.0,42614
META,,2025-02-06,Sale,704.9065,1395,983344.57,41219
META,,2025-02-06,Sale,705.8658,3299,2328651.27,37920
META,,2025-02-06,Sale,706.989,2523,1783733.25,35397
META,,2025-02-06,Sale,707.7555,1870,1323502.78,33527
META,,2025-02-06,Sale,708.9714,5136,3641277.11,28391
META,,2025-02-06,Sale,709.8566,2911,2066392.56,25480
META,,2025-02-06,Sale,710.9536,3508,2494025.23,21972
META,,2025-02-06,Sale,711.9219,6295,4481548.36,15677
META,,2025-02-06,Sale,713.0344,3150,2246058.36,12527
META,,2025-02-06,Sale,714.2379,2817,2012008.16,9710
META,,2025-02-06,Sale,715.1734,4346,3108143.6,5364
META,,2025-02-06,Sale,716.0623,2874,2057963.05,2490
META,,2025-02-06,Sale,717.2546,2300,1649685.58,190
META,,2025-02-06,Sale,718.5521,190,136524.9,0
META,,2025-02-06,Sale,704.9768,789,556226.7,171257
META,,2025-02-06,Sale,706.0864,937,661602.96,170320
META,,2025-02-06,Sale,707.307,871,616064.4,169449
META,,2025-02-06,Sale,708.7908,1426,1010735.68,168023
META,,2025-02-06,Sale,709.5865,935,663463.38,167088
META,,2025-02-06,Sale,710.6923,1290,916793.07,165798
META,,2025-02-06,Sale,711.7984,1583,1126776.87,164215
META,,2025-02-06,Sale,712.7938,1392,992208.97,162823
META,,2025-02-06,Sale,713.9005,406,289843.6,162417
META,,2025-02-06,Sale,715.0097,1589,1136150.41,160828
META,,2025-02-06,Sale,716.068,970,694585.96,159858
META,,2025-02-06,Sale,717.1551,685,491251.24,159173
META,,2025-02-06,Sale,718.25,102,73261.5,159071
META,,2025-02-05,Sale,700.7155,362,253659.01,184659
META,,2025-02-05,Sale,702.1697,633,444473.42,184026
META,,2025-02-05,Sale,703.264,1759,1237041.38,182267
META,,2025-02-05,Sale,704.2008,3283,2311891.23,178984
META,,2025-02-05,Sale,705.0859,2170,1530036.4,176814
META,,2025-02-05,Sale,706.1075,400,282443.0,176414
META,,2025-02-05,Sale,707.269,267,188840.82,176147
META,,2025-02-05,Sale,708.8984,292,206998.33,175855
META,,2025-02-05,Sale,710.2265,1143,811788.89,174712
META,,2025-02-05,Sale,711.3989,488,347162.66,174224
META,,2025-02-05,Sale,712.5457,792,564336.19,173432
META,,2025-02-05,Sale,713.5503,310,221200.59,173122
META,,2025-02-05,Sale,714.7908,592,423156.15,172530
META,,2025-02-05,Sale,716.1986,484,346640.12,172046
META,,2025-02-05,Conversion of Security,0.0,42614,0.0,42614
META,,2025-02-05,Sale,700.4722,670,469316.37,41944
META,,2025-02-05,Sale,701.5151,1160,813757.52,40784
META,,2025-02-05,Sale,702.4978,2401,1686697.22,38383
META,,2025-02-05,Sale,703.5826,6392,4497299.98,31991
META,,2025-02-05,Sale,704.3557,12144,8553695.62,19847
META,,2025-02-05,Sale,705.398,4809,3392258.98,15038
META,,2025-02-05,Sale,706.3017,1243,877933.01,13795
META,,2025-02-05,Sale,707.8706,667,472149.69,13128
META,,2025-02-05,Sale,708.8473,1373,973247.34,11755
META,,2025-02-05,Sale,709.885,1499,1064117.61,10256
META,,2025-02-05,Sale,710.8446,2037,1447990.45,8219
META,,2025-02-05,Sale,711.9374,2661,1894465.42,5558
META,,2025-02-05,Sale,713.0048,1229,876282.9,4329
META,,2025-02-05,Sale,714.0745,1349,963286.5,2980
META,,2025-02-05,Sale,715.1236,1776,1270059.51,1204
META,,2025-02-05,Sale,716.222,1004,719086.89,200
META,,2025-02-05,Sale,717.59,200,143518.0,0
META,,2025-02-03,Sale,675.69,72,48649.68,210899
META,,2025-02-03,Sale,679.82,100,67982.0,210799
META,,2025-02-03,Sale,680.84,100,68084.0,210699
META,,2025-02-03,Sale,682.675,96,65536.8,210603
META,,2025-02-03,Sale,684.4358,296,202593.0,210307
META,,2025-02-03,Sale,685.285,200,137057.0,210107
META,,2025-02-03,Sale,686.2967,300,205889.01,209807
META,,2025-02-03,Sale,686.91,96,65943.36,209711
META,,2025-02-03,Sale,688.5073,388,267140.83,209323
META,,2025-02-03,Sale,689.7238,292,201399.35,209031
META,,2025-02-03,Sale,691.3896,385,266185.0,208646
META,,2025-02-03,Sale,692.6617,563,389968.54,208083
META,,2025-02-03,Sale,693.7107,892,618789.94,207191
META,,2025-02-03,Sale,694.7794,544,377959.99,206647
META,,2025-02-03,Sale,695.5343,496,344985.01,206151
META,,2025-02-03,Sale,697.2446,1807,1259920.99,204344
META,,2025-02-03,Sale,698.2942,1710,1194083.08,202634
META,,2025-02-03,Sale,699.3428,1422,994465.46,201212
META,,2025-02-03,Sale,700.5727,1056,739804.77,200156
META,,2025-02-03,Sale,701.9075,1256,881595.82,198900
META,,2025-02-03,Sale,702.9755,904,635489.85,197996
META,,2025-02-03,Conversion of Security,0.0,35638,0.0,35638
META,,2025-02-03,Sale,675.69,80,54055.2,35558
META,,2025-02-03,Sale,678.0,100,67800.0,35458
META,,2025-02-03,Sale,681.32,200,136264.0,35258
META,,2025-02-03,Sale,682.66,200,136532.0,35058
META,,2025-02-03,Sale,683.8333,300,205149.99,34758
META,,2025-02-03,Sale,684.9153,470,321910.19,34288
META,,2025-02-03,Sale,686.1875,680,466607.5,33608
META,,2025-02-03,Sale,687.6664,430,295696.55,33178
META,,2025-02-03,Sale,688.4963,380,261628.59,32798
META,,2025-02-03,Sale,690.4854,780,538578.61,32018
META,,2025-02-03,Sale,691.5367,600,414922.02,31418
META,,2025-02-03,Sale,692.5752,1150,796461.48,30268
META,,2025-02-03,Sale,693.7342,1306,906016.87,28962
META,,2025-02-03,Sale,694.8524,1165,809503.05,27797
META,,2025-02-03,Sale,695.8326,702,488474.49,27095
META,,2025-02-03,Sale,697.222,2643,1842757.75,24452
META,,2025-02-03,Sale,698.0482,2834,1978268.6,21618
META,,2025-02-03,Sale,699.0759,2298,1606476.42,19320
META,,2025-02-03,Sale,700.1521,5011,3508462.17,14309
META,,2025-02-03,Sale,701.1919,4390,3078232.44,9919
META,,2025-02-03,Sale,702.1235,7004,4917672.99,2915
META,,2025-02-03,Sale,703.0896,2639,1855453.45,276
META,,2025-02-03,Sale,703.7874,276,194245.32,0
META,,2025-02-04,Conversion of Security,0.0,42614,0.0,42614
META,,2025-02-04,Sale,692.3601,877,607199.81,41737
META,,2025-02-04,Sale,693.8814,399,276858.68,41338
META,,2025-02-04,Sale,694.8735,750,521155.12,40588
META,,2025-02-04,Sale,695.8301,1020,709746.7,39568
