date,stock_ticker,issuerTradingSymbol,price,insider_name,insider_cik,relationship,transaction_type,shares,value,shares_total,xml_link
2025-03-18,META,META,600.25,Newstead Jennifer,1780525,,Sale,921,552830.25,32103,https://www.sec.gov/Archives/edgar/data/1326801/000095010325003699/dp226497_4-newstead.xml
2025-03-17,META,META,607.5,Olivan Javier,1564475,,Sale,608,369360.0,7446,https://www.sec.gov/Archives/edgar/data/1326801/000095010325003648/dp226481_4-olivan.xml
2025-03-11,META,META,595.0,Newstead Jennifer,1780525,,Sale,921,547995.0,33024,https://www.sec.gov/Archives/edgar/data/1326801/000095010325003430/dp226247_4-newstead.xml
2025-03-10,META,META,609.0,Olivan Javier,1564475,,Sale,608,370272.0,8054,https://www.sec.gov/Archives/edgar/data/1326801/000095010325003349/dp226184_4-olivan.xml
2025-03-04,META,META,644.0,Newstead Jennifer,1780525,,Sale,921,593124.0,33945,https://www.sec.gov/Archives/edgar/data/1326801/000095010325003130/dp225974_4-newstead.xml
2025-03-03,META,META,673.96,Olivan Javier,1564475,,Sale,608,409767.68,8662,https://www.sec.gov/Archives/edgar/data/1326801/000095010325003069/dp225904_4-olivan.xml
2025-02-28,META,META,643.56,Cox Christopher K,1607459,,Sale,400,257424.0,308286,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002981/dp225825_4-cox.xml
2025-02-28,META,META,644.7733,Cox Christopher K,1607459,,Sale,300,193431.99,307986,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002981/dp225825_4-cox.xml
2025-02-28,META,META,646.0725,Cox Christopher K,1607459,,Sale,200,129214.5,307786,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002981/dp225825_4-cox.xml
2025-02-28,META,META,647.3301,Cox Christopher K,1607459,,Sale,531,343732.28,307255,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002981/dp225825_4-cox.xml
2025-02-28,META,META,648.0601,Cox Christopher K,1607459,,Sale,709,459474.61,306546,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002981/dp225825_4-cox.xml
2025-02-28,META,META,649.5151,Cox Christopher K,1607459,,Sale,734,476744.08,305812,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002981/dp225825_4-cox.xml
2025-02-28,META,META,650.5445,Cox Christopher K,1607459,,Sale,1310,852213.29,304502,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002981/dp225825_4-cox.xml
2025-02-28,META,META,651.5655,Cox Christopher K,1607459,,Sale,1422,926526.14,303080,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002981/dp225825_4-cox.xml
2025-02-28,META,META,652.7188,Cox Christopher K,1607459,,Sale,2215,1445772.14,300865,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002981/dp225825_4-cox.xml
2025-02-28,META,META,653.836,Cox Christopher K,1607459,,Sale,4915,3213603.94,295950,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002981/dp225825_4-cox.xml
