issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
MTDR,,2025-03-04,Purchase,46.6,300,13980.0,116118
MTDR,,2024-06-13,"Grant, Award, or Other Acquisition",0.0,2533,0.0,13416
MTDR,,2023-02-24,Gift,0.0,4043,0.0,10302
MTDR,,2023-02-24,Gift,0.0,4043,0.0,110897
MTDR,,2023-06-09,"Grant, Award, or Other Acquisition",0.0,2621,0.0,12923
MTDR,,2023-03-14,Purchase,49.15,300,14745.0,106854
MTDR,,2022-06-10,"Grant, Award, or Other Acquisition",0.0,2040,0.0,14345
MTDR,,2021-12-14,Purchase,37.0,1000,37000.0,106554
MTDR,,2021-06-04,"Grant, Award, or Other Acquisition",0.0,4043,0.0,12305
MTDR,,2020-04-16,Gift,0.0,26192,0.0,8862
MTDR,,2020-04-16,Gift,0.0,26192,0.0,96692
MTDR,,2020-06-05,"Grant, Award, or Other Acquisition",0.0,8262,0.0,17124
MTDR,,2020-03-13,Purchase,2.1,50000,105000.0,70500
MTDR,,2020-03-13,Purchase,2.0,3000,6000.0,6500
MTDR,,2020-03-16,Purchase,1.95,2500,4875.0,7500
MTDR,,2019-06-06,"Grant, Award, or Other Acquisition",0.0,8395,0.0,35054
MTDR,,2018-12-14,Purchase,17.47,1500,26205.0,20500
MTDR,,2018-11-28,Purchase,21.75,1500,32625.0,3500
MTDR,,2018-06-07,"Grant, Award, or Other Acquisition",0.0,5210,0.0,26659
MTDR,,2017-06-01,"Grant, Award, or Other Acquisition",0.0,5923,0.0,21449
MTDR,,2017-04-11,"Grant, Award, or Other Acquisition",0.0,1399,0.0,15526
MTDR,,2017-02-15,"Grant, Award, or Other Acquisition",0.0,1251,0.0,14127
MTDR,,2016-10-28,"Grant, Award, or Other Acquisition",0.0,1468,0.0,12876
MTDR,,2016-08-03,"Grant, Award, or Other Acquisition",0.0,1747,0.0,11408
MTDR,,2016-04-29,"Grant, Award, or Other Acquisition",0.0,1550,0.0,9661
MTDR,,2016-02-19,"Grant, Award, or Other Acquisition",0.0,2230,0.0,8111
MTDR,,2015-10-29,"Grant, Award, or Other Acquisition",0.0,1000,0.0,5881
MTDR,,2015-07-30,"Grant, Award, or Other Acquisition",0.0,1089,0.0,4881
MTDR,,2015-05-01,"Grant, Award, or Other Acquisition",0.0,901,0.0,3792
MTDR,,2015-02-24,"Grant, Award, or Other Acquisition",0.0,1086,0.0,2891
MTDR,,2014-10-30,"Grant, Award, or Other Acquisition",0.0,995,0.0,1805
MTDR,,2014-08-15,Purchase,25.15,4000,100600.0,19000
MTDR,,2014-07-31,"Grant, Award, or Other Acquisition",0.0,810,0.0,810
