issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
MTDR,,2025-03-03,Purchase,49.27,1000,49270.0,35000
MTDR,,2025-02-21,Purchase,55.17,1300,71721.0,34000
MTDR,,2025-02-14,Tax Withholding (RSU Vesting),57.12,1312,74941.44,87870
MTDR,,2025-02-16,Tax Withholding (RSU Vesting),57.19,1050,60049.5,86820
MTDR,,2025-02-17,Tax Withholding (RSU Vesting),57.19,1527,87329.13,85293
MTDR,,2025-01-07,"Grant, Award, or Other Acquisition",0.0,13711,0.0,94734
MTDR,,2025-01-07,Tax Withholding (RSU Vesting),58.35,5552,323959.2,89182
MTDR,,2024-09-09,Purchase,50.3,1000,50300.0,32700
MTDR,,2024-08-16,Purchase,56.4,1000,56400.0,31700
MTDR,,2024-06-04,Tax Withholding (RSU Vesting),59.21,1640,97104.4,80596
