issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
MTDR,,2025-03-10,Purchase,45.2,300,13560.0,36567
MTDR,,2024-12-13,Purchase,57.49,180,10348.2,36267
MTDR,,2024-10-29,Purchase,50.92,305,15530.6,36087
MTDR,,2024-06-13,"Grant, Award, or Other Acquisition",0.0,2533,0.0,35782
MTDR,,2023-12-12,Purchase,52.23,200,10446.0,33249
MTDR,,2023-06-09,"Grant, Award, or Other Acquisition",0.0,2621,0.0,33049
MTDR,,2023-05-23,Purchase,48.05,225,10811.25,30428
MTDR,,2022-12-15,Purchase,57.3226,200,11464.52,30203
MTDR,,2022-06-10,"Grant, Award, or Other Acquisition",0.0,2040,0.0,30003
MTDR,,2022-05-04,Purchase,51.51,200,10302.0,27963
MTDR,,2021-11-23,Purchase,44.09,230,10140.7,27763
MTDR,,2021-06-04,"Grant, Award, or Other Acquisition",0.0,4043,0.0,27533
MTDR,,2021-05-06,Purchase,27.92,360,10051.2,23490
MTDR,,2021-03-02,Purchase,22.01,450,9904.5,23130
MTDR,,2020-11-17,Purchase,8.93,1123,10028.39,22680
MTDR,,2020-09-04,Purchase,9.4,1100,10340.0,21557
MTDR,,2020-06-05,"Grant, Award, or Other Acquisition",0.0,8262,0.0,20457
MTDR,,2020-05-22,Purchase,8.29,1200,9948.0,12195
MTDR,,2020-03-04,Purchase,9.71,1600,15536.0,10995
MTDR,,2019-11-25,Purchase,14.54,1000,14540.0,9395
MTDR,,2019-08-30,"Grant, Award, or Other Acquisition",0.0,8395,0.0,8395
