issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
MTDR,,2025-03-04,Purchase,45.67,700,31969.0,110447
MTDR,,2025-02-26,Purchase,52.4,1000,52400.0,109747
MTDR,,2025-02-16,Tax Withholding (RSU Vesting),57.19,1050,60049.5,110274
MTDR,,2025-02-17,Tax Withholding (RSU Vesting),57.19,1527,87329.13,108747
MTDR,,2025-01-07,"Grant, Award, or Other Acquisition",0.0,13711,0.0,116876
MTDR,,2025-01-07,Tax Withholding (RSU Vesting),58.35,5552,323959.2,111324
MTDR,,2024-12-13,Purchase,56.6,800,45280.0,102964
MTDR,,2024-09-10,Purchase,49.47,500,24735.0,102164
MTDR,,2024-06-04,Tax Withholding (RSU Vesting),59.21,1640,97104.4,101438
MTDR,,2024-02-16,Tax Withholding (RSU Vesting),58.98,1050,61929.0,104605
MTDR,,2024-02-17,Tax Withholding (RSU Vesting),59.33,1527,90596.91,103078
MTDR,,2024-02-06,Exercise or Conversion of Derivative Security,29.68,4548,134984.64,109076
MTDR,,2024-02-06,Tax Withholding (RSU Vesting),53.74,3421,183844.54,105655
MTDR,,2023-12-31,"Grant, Award, or Other Acquisition",0.0,22250,0.0,113284
MTDR,,2023-12-31,Tax Withholding (RSU Vesting),56.86,8756,497866.16,104528
MTDR,,2023-06-04,Tax Withholding (RSU Vesting),47.33,1640,77621.2,90561
MTDR,,2023-03-15,Purchase,45.78,500,22890.0,92201
MTDR,,2023-02-16,"Grant, Award, or Other Acquisition",0.0,8000,0.0,93228
MTDR,,2023-02-17,Tax Withholding (RSU Vesting),62.03,1527,94719.81,91701
MTDR,,2022-12-31,"Grant, Award, or Other Acquisition",0.0,8750,0.0,88672
MTDR,,2022-12-31,Tax Withholding (RSU Vesting),57.24,3444,197134.56,85228
MTDR,,2022-10-27,Exercise or Conversion of Derivative Security,14.8,9334,138143.2,84391
MTDR,,2022-10-27,Tax Withholding (RSU Vesting),68.14,4903,334090.42,79488
