issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
MTDR,,2025-03-04,Purchase,45.92,2377,109151.84,45756
MTDR,,2025-03-03,Purchase,48.55,2000,97100.0,43379
MTDR,,2025-02-26,Purchase,51.54,2000,103080.0,41379
MTDR,,2025-02-21,Purchase,53.94,6000,323640.0,39379
MTDR,,2025-01-07,"Grant, Award, or Other Acquisition",0.0,59420,0.0,101872
MTDR,,2025-01-07,Tax Withholding (RSU Vesting),58.35,23539,1373500.65,78333
MTDR,,2024-12-06,Purchase,55.18,2000,110360.0,42251
MTDR,,2024-09-09,Purchase,49.97,2500,124925.0,40251
MTDR,,2024-09-06,Purchase,51.47,2500,128675.0,37751
MTDR,,2024-08-02,Purchase,55.96,2000,111920.0,35251
MTDR,,2024-01-16,Gift,0.0,45712,0.0,0
MTDR,,2024-01-16,Gift,0.0,45712,0.0,0
MTDR,,2024-01-16,Gift,0.0,45712,0.0,1302200
MTDR,,2024-01-16,Gift,0.0,45712,0.0,1347912
MTDR,,2023-12-31,"Grant, Award, or Other Acquisition",0.0,110360,0.0,135222
MTDR,,2023-12-31,Tax Withholding (RSU Vesting),56.86,43427,2469259.22,91795
MTDR,,2023-12-06,Purchase,54.3,2000,108600.0,24637
MTDR,,2023-11-16,Purchase,55.4,2000,110800.0,22637
MTDR,,2023-10-19,Gift,0.0,1000,0.0,20637
MTDR,,2023-08-28,Gift,0.0,2000,0.0,22605
MTDR,,2023-01-13,Gift,0.0,196386,0.0,0
MTDR,,2023-01-13,Gift,0.0,196386,0.0,0
MTDR,,2023-01-13,Gift,0.0,196386,0.0,896970
MTDR,,2023-01-13,Gift,0.0,196386,0.0,1093356
MTDR,,2023-08-23,Gift,0.0,81566,0.0,0
MTDR,,2023-08-23,Gift,0.0,81566,0.0,0
MTDR,,2023-08-23,Gift,0.0,81566,0.0,1174922
MTDR,,2023-08-23,Gift,0.0,81566,0.0,1256488
MTDR,,2023-06-01,Purchase,44.4,652,28948.8,176120
MTDR,,2023-05-04,Purchase,42.4,2000,84800.0,175468
MTDR,,2023-03-15,Purchase,44.75,2000,89500.0,173468
MTDR,,2023-03-13,Purchase,48.77,2000,97540.0,171468
MTDR,,2022-08-22,Gift,0.0,350292,0.0,0
MTDR,,2022-08-22,Gift,0.0,350292,0.0,0
MTDR,,2022-08-23,Gift,0.0,350292,0.0,350292
MTDR,,2022-08-23,Gift,0.0,350292,0.0,700584
MTDR,,2022-12-31,"Grant, Award, or Other Acquisition",0.0,278705,0.0,279139
MTDR,,2022-12-31,Tax Withholding (RSU Vesting),57.24,109671,6277568.04,169468
MTDR,,2022-03-11,Gift,0.0,2900,0.0,0
MTDR,,2022-03-11,Gift,0.0,2412,0.0,0
MTDR,,2022-03-11,Gift,0.0,1688,0.0,413899
MTDR,,2022-04-07,Exercise or Conversion of Derivative Security,27.26,108003,2944161.78,108003
MTDR,,2022-04-07,Tax Withholding (RSU Vesting),53.65,75783,4065757.95,32220
MTDR,,2022-04-07,Exercise or Conversion of Derivative Security,29.68,105485,3130794.8,137705
MTDR,,2022-04-07,Tax Withholding (RSU Vesting),53.65,76902,4125792.3,60803
MTDR,,2022-02-25,Other Acquisition or Disposition (See Footnotes),0.0,60000,0.0,1137182
MTDR,,2022-01-13,Gift,0.0,59807,0.0,0
MTDR,,2022-01-13,Gift,0.0,59807,0.0,0
MTDR,,2022-01-13,Gift,0.0,59807,0.0,1137375
MTDR,,2022-01-13,Gift,0.0,59807,0.0,1197182
MTDR,,2021-12-31,"Grant, Award, or Other Acquisition",0.0,226758,0.0,290448
MTDR,,2021-12-31,Tax Withholding (RSU Vesting),36.92,89230,3294371.6,201218
MTDR,,2021-12-15,Exercise or Conversion of Derivative Security,27.26,36683,999978.58,67450
MTDR,,2021-12-15,Tax Withholding (RSU Vesting),36.86,3760,138593.6,63690
MTDR,,2021-08-04,Purchase,28.04,3000,84120.0,34279
MTDR,,2021-05-24,Other Acquisition or Disposition (See Footnotes),0.0,24000,0.0,1077568
MTDR,,2021-05-18,Other Acquisition or Disposition (See Footnotes),0.0,36000,0.0,1141568
MTDR,,2021-05-19,Other Acquisition or Disposition (See Footnotes),0.0,40000,0.0,1101568
