issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
MTDR,,2025-03-05,Purchase,44.67,2000,89340.0,83790
MTDR,,2024-06-13,"Grant, Award, or Other Acquisition",0.0,2533,0.0,81790
MTDR,,2023-12-12,Purchase,52.13,5000,260650.0,79257
MTDR,,2023-06-09,"Grant, Award, or Other Acquisition",0.0,2621,0.0,74257
MTDR,,2023-03-16,Purchase,43.52,4500,195840.0,71636
MTDR,,2022-06-10,"Grant, Award, or Other Acquisition",0.0,2040,0.0,67136
MTDR,,2021-06-04,"Grant, Award, or Other Acquisition",0.0,4043,0.0,65096
MTDR,,2020-08-18,Purchase,9.6,1600,15360.0,61053
MTDR,,2020-06-05,"Grant, Award, or Other Acquisition",0.0,8262,0.0,59453
MTDR,,2020-03-09,Purchase,2.3,21600,49680.0,51191
MTDR,,2020-02-28,Purchase,9.18,5440,49939.2,29591
MTDR,,2019-08-15,Purchase,13.94,3584,49960.96,24151
MTDR,,2019-06-06,"Grant, Award, or Other Acquisition",0.0,8395,0.0,20567
MTDR,,2018-11-16,Purchase,24.93,2000,49860.0,10172
MTDR,,2018-11-19,Purchase,24.18,2000,48360.0,12172
MTDR,,2018-06-07,"Grant, Award, or Other Acquisition",0.0,5210,0.0,8172
MTDR,,2018-02-16,"Grant, Award, or Other Acquisition",0.0,2962,0.0,2962
