Title,Published At,URL,Sentiment,Sentiment Score
Capital One Financial Has Weak Outlook for MTDR Q1 Earnings,2025-03-24T05:12:58Z,https://www.etfdailynews.com/2025/03/24/capital-one-financial-has-weak-outlook-for-mtdr-q1-earnings/,Negative,-0.4404
Q3 EPS Estimates for MTDR Boosted by Capital One Financial,2025-03-23T05:32:53Z,https://www.etfdailynews.com/2025/03/23/q3-eps-estimates-for-mtdr-boosted-by-capital-one-financial/,Positive,0.3612
EverSource Wealth Advisors LLC Acquires 256 Shares of Matador Resources (NYSE:MTDR),2025-03-21T07:45:02Z,https://www.etfdailynews.com/2025/03/21/eversource-wealth-advisors-llc-acquires-256-shares-of-matador-resources-nysemtdr/,Positive,0.6597
"PNC Financial Services Group Inc. Sells 2,076 Shares of Matador Resources (NYSE:MTDR)",2025-03-19T08:02:51Z,https://www.etfdailynews.com/2025/03/19/pnc-financial-services-group-inc-sells-2076-shares-of-matador-resources-nysemtdr/,Positive,0.296
"Zurcher Kantonalbank Zurich Cantonalbank Acquires 10,139 Shares of Matador Resources (NYSE:MTDR)",2025-03-18T09:15:24Z,https://www.etfdailynews.com/2025/03/18/zurcher-kantonalbank-zurich-cantonalbank-acquires-10139-shares-of-matador-resources-nysemtdr/,Positive,0.296
"AlphaQuest LLC Has $215,000 Stock Holdings in Matador Resources (NYSE:MTDR)",2025-03-17T08:40:59Z,https://www.etfdailynews.com/2025/03/17/alphaquest-llc-has-215000-stock-holdings-in-matador-resources-nysemtdr/,Neutral,0.0
Proficio Capital Partners LLC Takes $5.09 Million Position in Matador Resources (NYSE:MTDR),2025-03-17T07:48:46Z,https://www.etfdailynews.com/2025/03/17/proficio-capital-partners-llc-takes-5-09-million-position-in-matador-resources-nysemtdr/,Neutral,0.0
Atria Investments Inc Raises Stake in Matador Resources (NYSE:MTDR),2025-03-16T07:56:58Z,https://www.etfdailynews.com/2025/03/16/atria-investments-inc-raises-stake-in-matador-resources-nysemtdr/,Neutral,0.0
JPMorgan Chase & Co. Has Lowered Expectations for Matador Resources (NYSE:MTDR) Stock Price,2025-03-15T05:24:59Z,https://www.etfdailynews.com/2025/03/15/jpmorgan-chase-co-has-lowered-expectations-for-matador-resources-nysemtdr-stock-price/,Negative,-0.128
M&T Bank Corp Grows Position in Matador Resources (NYSE:MTDR),2025-03-13T07:47:10Z,https://www.etfdailynews.com/2025/03/13/mt-bank-corp-grows-position-in-matador-resources-nysemtdr/,Neutral,0.0
Arizona State Retirement System Grows Position in Matador Resources (NYSE:MTDR),2025-03-12T08:54:56Z,https://www.etfdailynews.com/2025/03/12/arizona-state-retirement-system-grows-position-in-matador-resources-nysemtdr/,Neutral,0.0
Raymond James Issues Pessimistic Forecast for Matador Resources (NYSE:MTDR) Stock Price,2025-03-12T06:34:57Z,https://www.etfdailynews.com/2025/03/12/raymond-james-issues-pessimistic-forecast-for-matador-resources-nysemtdr-stock-price/,Negative,-0.3612
Matador Resources (NYSE:MTDR) Shares Purchased by US Bancorp DE,2025-03-11T07:33:02Z,https://www.etfdailynews.com/2025/03/11/matador-resources-nysemtdr-shares-purchased-by-us-bancorp-de/,Positive,0.296
CEOs At 197 Companies Made Big Stock Sales Lately,2025-03-10T12:30:48Z,https://www.forbes.com/sites/johndorfman/2025/03/10/ceos-at-197-companies-made-big-stock-sales-lately/,Neutral,0.0
Brokerages Set Matador Resources (NYSE:MTDR) Target Price at $75.14,2025-03-10T05:36:53Z,https://www.etfdailynews.com/2025/03/10/brokerages-set-matador-resources-nysemtdr-target-price-at-75-14-2/,Neutral,0.0
Zacks Research Predicts Lower Earnings for Matador Resources,2025-03-09T06:37:09Z,https://www.etfdailynews.com/2025/03/09/zacks-research-predicts-lower-earnings-for-matador-resources/,Negative,-0.296
FY2025 EPS Estimate for Matador Resources Lifted by Analyst,2025-03-07T08:09:07Z,https://www.etfdailynews.com/2025/03/07/fy2025-eps-estimate-for-matador-resources-lifted-by-analyst/,Neutral,0.0
Y Intercept Hong Kong Ltd Trims Holdings in Matador Resources (NYSE:MTDR),2025-03-05T08:58:56Z,https://www.etfdailynews.com/2025/03/05/y-intercept-hong-kong-ltd-trims-holdings-in-matador-resources-nysemtdr/,Neutral,0.0
Sanctuary Advisors LLC Raises Stock Holdings in Matador Resources (NYSE:MTDR),2025-03-03T08:16:48Z,https://www.etfdailynews.com/2025/03/03/sanctuary-advisors-llc-raises-stock-holdings-in-matador-resources-nysemtdr/,Neutral,0.0
