date,stock_ticker,issuerTradingSymbol,price,insider_name,insider_cik,relationship,transaction_type,shares,value,shares_total,xml_link
2025-03-14,MTDR,MTDR,47.49,Stetson Glenn W,2020289,,Purchase,500,23745.0,92180,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000100/wk-form4_1742296881.xml
2025-03-10,MTDR,MTDR,45.2,Ehrman Monika U,1786877,,Purchase,300,13560.0,36567,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000098/wk-form4_1741778973.xml
2025-03-05,MTDR,MTDR,47.98,Macalik Robert T,1647280,,Purchase,1200,57576.0,31000,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000096/wk-form4_1741350233.xml
2025-03-05,MTDR,MTDR,44.67,PARKER TIMOTHY E.,1729498,,Purchase,2000,89340.0,83790,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000094/wk-form4_1741263562.xml
2025-03-04,MTDR,MTDR,46.09,Baty Robert Gaines,1688490,,Purchase,700,32263.0,68317,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000092/wk-form4_1741210276.xml
2025-03-04,MTDR,MTDR,46.6,Baribault Reynald,1610998,,Purchase,300,13980.0,116118,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000091/wk-form4_1741210249.xml
2025-03-04,MTDR,MTDR,45.88,Appel Shelley F,1981193,,Purchase,200,9176.0,58241,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000090/wk-form4_1741210222.xml
2025-03-05,MTDR,MTDR,44.0,Appel Shelley F,1981193,,Purchase,200,8800.0,58441,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000090/wk-form4_1741210222.xml
2025-03-04,MTDR,MTDR,45.92,Foran Joseph Wm,1540655,,Purchase,2377,109151.84,45756,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000086/wk-form4_1741177226.xml
2025-03-04,MTDR,MTDR,45.67,Elsener William Thomas,1934692,,Purchase,700,31969.0,110447,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000084/wk-form4_1741129678.xml
