date,stock_ticker,issuerTradingSymbol,price,insider_name,insider_cik,relationship,transaction_type,shares,value,shares_total,xml_link
2025-03-21,RCG,RCG,2.75,STAHL MURRAY,1207097,,Purchase,356,979.0,67182,https://www.sec.gov/Archives/edgar/data/919567/000143774925008889/rdgdoc.xml
2025-03-21,RCG,RCG,2.75,STAHL MURRAY,1207097,,Purchase,12,33.0,1578,https://www.sec.gov/Archives/edgar/data/919567/000143774925008889/rdgdoc.xml
2025-03-21,RCG,RCG,2.75,STAHL MURRAY,1207097,,Purchase,180,495.0,91128,https://www.sec.gov/Archives/edgar/data/919567/000143774925008889/rdgdoc.xml
2025-03-21,RCG,RCG,2.75,STAHL MURRAY,1207097,,Purchase,180,495.0,276380,https://www.sec.gov/Archives/edgar/data/919567/000143774925008889/rdgdoc.xml
2025-03-21,RCG,RCG,2.75,STAHL MURRAY,1207097,,Purchase,274,753.5,292100,https://www.sec.gov/Archives/edgar/data/919567/000143774925008889/rdgdoc.xml
2025-03-21,RCG,RCG,2.75,STAHL MURRAY,1207097,,Purchase,18,49.5,7320,https://www.sec.gov/Archives/edgar/data/919567/000143774925008889/rdgdoc.xml
2025-03-21,RCG,RCG,2.75,STAHL MURRAY,1207097,,Purchase,254,698.5,37548,https://www.sec.gov/Archives/edgar/data/919567/000143774925008889/rdgdoc.xml
2025-03-20,RCG,RCG,2.72,STAHL MURRAY,1207097,,Purchase,356,968.32,66826,https://www.sec.gov/Archives/edgar/data/919567/000143774925008687/rdgdoc.xml
2025-03-20,RCG,RCG,2.72,STAHL MURRAY,1207097,,Purchase,12,32.64,1566,https://www.sec.gov/Archives/edgar/data/919567/000143774925008687/rdgdoc.xml
2025-03-20,RCG,RCG,2.72,STAHL MURRAY,1207097,,Purchase,180,489.6,90948,https://www.sec.gov/Archives/edgar/data/919567/000143774925008687/rdgdoc.xml
2025-03-20,RCG,RCG,2.72,STAHL MURRAY,1207097,,Purchase,180,489.6,276200,https://www.sec.gov/Archives/edgar/data/919567/000143774925008687/rdgdoc.xml
2025-03-20,RCG,RCG,2.72,STAHL MURRAY,1207097,,Purchase,274,745.28,291826,https://www.sec.gov/Archives/edgar/data/919567/000143774925008687/rdgdoc.xml
2025-03-20,RCG,RCG,2.72,STAHL MURRAY,1207097,,Purchase,18,48.96,7302,https://www.sec.gov/Archives/edgar/data/919567/000143774925008687/rdgdoc.xml
2025-03-20,RCG,RCG,2.72,STAHL MURRAY,1207097,,Purchase,254,690.88,37294,https://www.sec.gov/Archives/edgar/data/919567/000143774925008687/rdgdoc.xml
2025-03-19,RCG,RCG,2.74,STAHL MURRAY,1207097,,Purchase,356,975.44,66470,https://www.sec.gov/Archives/edgar/data/919567/000143774925008529/rdgdoc.xml
2025-03-19,RCG,RCG,2.74,STAHL MURRAY,1207097,,Purchase,12,32.88,1554,https://www.sec.gov/Archives/edgar/data/919567/000143774925008529/rdgdoc.xml
2025-03-19,RCG,RCG,2.74,STAHL MURRAY,1207097,,Purchase,180,493.2,90768,https://www.sec.gov/Archives/edgar/data/919567/000143774925008529/rdgdoc.xml
2025-03-19,RCG,RCG,2.74,STAHL MURRAY,1207097,,Purchase,180,493.2,276020,https://www.sec.gov/Archives/edgar/data/919567/000143774925008529/rdgdoc.xml
2025-03-19,RCG,RCG,2.74,STAHL MURRAY,1207097,,Purchase,276,756.24,291552,https://www.sec.gov/Archives/edgar/data/919567/000143774925008529/rdgdoc.xml
