issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-21,Sale,227.3291,1205.0,273931.57,54431.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-21,Sale,226.4182,2270.0,513969.31,52161.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-21,Sale,224.5391,773.0,173568.72,51388.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-21,Sale,220.519,250.0,55129.75,51138.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-21,Sale,225.658,2900.0,654408.2,48238.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-21,Sale,223.0767,150.0,33461.5,48088.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-21,Sale,219.72,250.0,54930.0,47838.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-21,Sale,221.4967,150.0,33224.5,47688.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-20,Sale,226.8645,1600.0,362983.2,61984.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-20,Sale,224.9699,1050.0,236218.39,60934.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-20,Sale,227.7252,816.0,185823.76,60118.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-20,Sale,230.61,100.0,23061.0,60018.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-20,Sale,226.0312,2882.0,651421.92,57136.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-20,Sale,228.9189,718.0,164363.77,56418.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-20,Sale,229.8978,782.0,179780.08,55636.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-19,Sale,221.0379,350.0,77363.26,71182.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-19,Sale,230.3856,1500.0,345578.4,69682.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-19,Sale,222.47,100.0,22247.0,69582.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-19,Sale,231.5046,975.0,225716.99,68607.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-19,Sale,223.545,200.0,44709.0,68407.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-19,Sale,232.843,400.0,93137.2,68007.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-19,Sale,224.38,50.0,11219.0,67957.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-19,Sale,226.2369,150.0,33935.53,67807.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-19,Sale,227.4512,1230.0,279764.98,66577.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-19,Sale,228.2579,1115.0,254507.56,65462.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-19,Sale,229.5121,1878.0,431023.72,63584.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-18,Sale,217.7476,1850.0,402833.06,77630.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-18,Sale,218.6068,1341.0,293151.72,76289.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-18,Sale,215.8101,1400.0,302134.14,74889.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-18,Sale,213.6202,827.0,176663.91,74062.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-18,Sale,216.7496,1459.0,316237.67,72603.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-18,Sale,214.4085,400.0,85763.4,72203.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-18,Sale,219.336,671.0,147174.46,71532.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-17,Sale,220.1313,1941.0,427274.85,85487.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-17,Sale,221.0031,1707.0,377252.29,83780.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-17,Sale,222.0658,676.0,150116.48,83104.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-17,Sale,218.0794,500.0,109039.7,82604.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-17,Sale,223.061,1283.0,286187.26,81321.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-17,Sale,219.1236,1550.0,339641.58,79771.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-17,Sale,223.9877,291.0,65180.42,79480.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-14,Sale,214.2718,550.0,117849.49,94826.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-14,Sale,220.2766,700.0,154193.62,94126.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-14,Sale,219.5506,1220.0,267851.73,92906.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-14,Sale,218.4104,2922.0,638195.19,89984.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-14,Sale,217.4012,1018.0,221314.42,88966.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-14,Sale,216.4847,589.0,127509.49,88377.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-14,Sale,215.2485,949.0,204270.83,87428.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-13,Sale,213.6503,504.0,107679.75,102820.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-13,Sale,212.448,735.0,156149.28,102085.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-13,Sale,211.5013,550.0,116325.71,101535.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-13,Sale,210.3429,2151.0,452447.58,99384.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-13,Sale,222.96,100.0,22296.0,99284.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-13,Sale,215.85,100.0,21585.0,99184.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-13,Sale,209.6147,1250.0,262018.38,97934.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-13,Sale,214.9307,250.0,53732.68,97684.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-13,Sale,208.2065,2308.0,480540.6,95376.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-12,Sale,231.0733,150.0,34660.99,111122.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-12,Sale,226.1497,1252.0,283139.42,109870.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-12,Sale,227.0236,3169.0,719437.79,106701.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-12,Sale,229.881,423.0,97239.66,106278.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-12,Sale,228.0177,1194.0,272253.13,105084.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-12,Sale,225.1541,400.0,90061.64,104684.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-12,Sale,232.48,50.0,11624.0,104634.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-12,Sale,229.1129,1310.0,300137.9,103324.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-11,Sale,221.6792,600.0,133007.52,118620.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-11,Sale,223.9765,2229.0,499243.62,116391.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-11,Sale,218.3827,550.0,120110.49,115841.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-11,Sale,222.6006,850.0,189210.51,114991.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-11,Sale,217.5667,806.0,175358.76,114185.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-11,Sale,225.8535,272.0,61432.15,113913.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-11,Sale,220.7409,1050.0,231777.95,112863.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-11,Sale,224.882,784.0,176307.49,112079.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-11,Sale,219.554,757.0,166202.38,111322.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-11,Sale,226.84,50.0,11342.0,111272.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-10,Sale,229.69,100.0,22969.0,127068.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-10,Sale,216.6092,701.0,151843.05,126367.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-10,Sale,221.0217,300.0,66306.51,126067.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-10,Sale,225.1967,300.0,67559.01,125767.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-10,Sale,213.59,100.0,21359.0,125667.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-10,Sale,214.6899,832.0,178622.0,124835.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-10,Sale,219.7344,504.0,110746.14,124331.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-10,Sale,217.819,1320.0,287521.08,123011.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-10,Sale,218.7354,624.0,136490.89,122387.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-10,Sale,222.1201,450.0,99954.04,121937.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-10,Sale,223.635,200.0,44727.0,121737.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-10,Sale,227.175,100.0,22717.5,121637.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-10,Sale,215.6394,2317.0,499636.49,119320.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-10,Sale,226.25,100.0,22625.0,119220.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-07,Sale,250.0025,200.0,50000.5,134916.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-07,Sale,243.6667,150.0,36550.0,134766.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-07,Sale,247.514,250.0,61878.5,134516.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-07,Sale,238.3046,1248.0,297404.14,133268.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-07,Sale,241.158,250.0,60289.5,133018.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-07,Sale,233.5333,300.0,70059.99,132718.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-07,Sale,246.4428,305.0,75165.05,132413.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-07,Sale,231.2278,450.0,104052.51,131963.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-07,Sale,240.1765,850.0,204150.02,131113.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-07,Sale,239.1783,2145.0,513037.45,128968.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-07,Sale,242.73,150.0,36409.5,128818.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-07,Sale,229.9957,400.0,91998.28,128418.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-07,Sale,237.074,250.0,59268.5,128168.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-07,Sale,248.49,150.0,37273.5,128018.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-07,Sale,234.8545,250.0,58713.62,127768.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-07,Sale,245.0836,100.0,24508.36,127668.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-07,Sale,232.3156,500.0,116157.8,127168.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-06,Sale,265.9638,546.0,145216.23,142518.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-06,Sale,267.8987,470.0,125912.39,142048.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-06,Sale,251.2282,825.0,207263.26,141223.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-06,Sale,270.95,300.0,81285.0,140923.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-06,Sale,256.6845,200.0,51336.9,140723.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-06,Sale,252.2744,550.0,138750.92,140173.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-06,Sale,264.912,250.0,66228.0,139923.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-06,Sale,269.0442,693.0,186447.63,139230.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-06,Sale,266.8087,318.0,84845.17,138912.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-06,Sale,262.6149,200.0,52522.98,138712.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-06,Sale,269.9892,763.0,206001.76,137949.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-06,Sale,254.93,150.0,38239.5,137799.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-06,Sale,259.8552,100.0,25985.52,137699.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-06,Sale,261.7356,300.0,78520.68,137399.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-06,Sale,250.3383,1433.0,358734.78,135966.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-06,Sale,253.1764,550.0,139247.02,135416.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-06,Sale,258.299,300.0,77489.7,135116.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-05,Sale,272.3779,417.0,113581.58,150595.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-05,Sale,271.1021,450.0,121995.95,150145.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-05,Sale,276.7405,1236.0,342051.26,148909.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-05,Sale,274.556,1962.0,538678.87,146947.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-05,Sale,273.3767,1483.0,405417.65,145464.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-05,Sale,275.4544,1900.0,523363.36,143564.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-05,Sale,270.0042,500.0,135002.1,143064.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-04,Sale,262.8873,150.0,39433.09,158810.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-04,Sale,268.6297,897.0,240960.84,157913.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-04,Sale,271.8225,200.0,54364.5,157713.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-04,Sale,274.9819,565.0,155364.77,157148.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-04,Sale,266.4245,450.0,119891.03,156698.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-04,Sale,269.6594,698.0,188222.26,156000.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-04,Sale,277.3775,200.0,55475.5,155800.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-04,Sale,264.3343,350.0,92517.0,155450.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-04,Sale,272.8239,700.0,190976.73,154750.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-04,Sale,273.6697,1733.0,474269.59,153017.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-04,Sale,265.3352,750.0,199001.4,152267.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-04,Sale,275.7567,305.0,84105.79,151962.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-04,Sale,267.6051,700.0,187323.57,151262.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-04,Sale,270.59,250.0,67647.5,151012.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-03,Sale,279.2345,869.0,242654.78,166039.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-03,Sale,280.392,1144.0,320768.45,164895.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-03,Sale,277.275,100.0,27727.5,164795.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-03,Sale,278.3837,909.0,253050.78,163886.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-03,Sale,284.21,150.0,42631.5,163736.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-03,Sale,275.8467,150.0,41377.0,163586.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-03,Sale,285.4333,150.0,42814.99,163436.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-03,Sale,273.5754,1350.0,369326.79,162086.0
TEAM,"Director, Officer (CEO, Co-Founder), 10% Owner",2025-03-03,Sale,281.4837,1361.0,383099.32,160725.0
