issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
TEAM,"Director, 10% Owner",2025-03-21,Sale,227.3293,1204.0,273704.48,54432.0
TEAM,"Director, 10% Owner",2025-03-21,Sale,220.519,250.0,55129.75,54182.0
TEAM,"Director, 10% Owner",2025-03-21,Sale,221.4967,150.0,33224.5,54032.0
TEAM,"Director, 10% Owner",2025-03-21,Sale,219.72,250.0,54930.0,53782.0
TEAM,"Director, 10% Owner",2025-03-21,Sale,223.0767,150.0,33461.5,53632.0
TEAM,"Director, 10% Owner",2025-03-21,Sale,224.5396,774.0,173793.65,52858.0
TEAM,"Director, 10% Owner",2025-03-21,Sale,225.6581,2899.0,654182.83,49959.0
TEAM,"Director, 10% Owner",2025-03-21,Sale,226.4184,2271.0,514196.19,47688.0
TEAM,"Director, 10% Owner",2025-03-20,Sale,224.9697,1050.0,236218.18,62534.0
TEAM,"Director, 10% Owner",2025-03-20,Sale,226.031,2882.0,651421.34,59652.0
TEAM,"Director, 10% Owner",2025-03-20,Sale,226.8644,1600.0,362983.04,58052.0
TEAM,"Director, 10% Owner",2025-03-20,Sale,229.8982,781.0,179550.49,57271.0
TEAM,"Director, 10% Owner",2025-03-20,Sale,227.7251,816.0,185823.68,56455.0
TEAM,"Director, 10% Owner",2025-03-20,Sale,230.61,100.0,23061.0,56355.0
TEAM,"Director, 10% Owner",2025-03-20,Sale,228.9197,719.0,164593.26,55636.0
TEAM,"Director, 10% Owner",2025-03-19,Sale,224.38,50.0,11219.0,71482.0
TEAM,"Director, 10% Owner",2025-03-19,Sale,226.2368,150.0,33935.52,71332.0
TEAM,"Director, 10% Owner",2025-03-19,Sale,227.4514,1231.0,279992.67,70101.0
TEAM,"Director, 10% Owner",2025-03-19,Sale,228.2574,1114.0,254278.74,68987.0
TEAM,"Director, 10% Owner",2025-03-19,Sale,221.0379,350.0,77363.26,68637.0
TEAM,"Director, 10% Owner",2025-03-19,Sale,229.5117,1878.0,431022.97,66759.0
TEAM,"Director, 10% Owner",2025-03-19,Sale,230.3856,1500.0,345578.4,65259.0
TEAM,"Director, 10% Owner",2025-03-19,Sale,222.47,100.0,22247.0,65159.0
TEAM,"Director, 10% Owner",2025-03-19,Sale,231.5046,975.0,225716.99,64184.0
TEAM,"Director, 10% Owner",2025-03-19,Sale,223.545,200.0,44709.0,63984.0
TEAM,"Director, 10% Owner",2025-03-19,Sale,232.843,400.0,93137.2,63584.0
TEAM,"Director, 10% Owner",2025-03-18,Sale,213.6205,828.0,176877.77,78652.0
TEAM,"Director, 10% Owner",2025-03-18,Sale,218.6068,1341.0,293151.72,77311.0
TEAM,"Director, 10% Owner",2025-03-18,Sale,214.4085,400.0,85763.4,76911.0
TEAM,"Director, 10% Owner",2025-03-18,Sale,215.8101,1400.0,302134.14,75511.0
TEAM,"Director, 10% Owner",2025-03-18,Sale,216.7496,1459.0,316237.67,74052.0
TEAM,"Director, 10% Owner",2025-03-18,Sale,217.7476,1850.0,402833.06,72202.0
TEAM,"Director, 10% Owner",2025-03-18,Sale,219.336,670.0,146955.12,71532.0
TEAM,"Director, 10% Owner",2025-03-17,Sale,221.0031,1708.0,377473.29,85720.0
TEAM,"Director, 10% Owner",2025-03-17,Sale,223.0607,1284.0,286409.94,84436.0
TEAM,"Director, 10% Owner",2025-03-17,Sale,219.1235,1550.0,339641.42,82886.0
